代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10896118.039999999105930
真實報酬,896118.039999999105930

夏普值報酬,0.080911804000000
夏普值風險,0.027962661643945
夏普值,2.893565892627359

二次趨勢線,33.183058906083858 x^2 + 13132.946015519344655 x + 10000000.000000000000000
二次加權預期報酬,15898.200924359663986
風險,54982.696314043787424
二次加權趨勢值,0.289149168559398
一次趨勢線,14688.302352565278852 x + 10000000.000000000000000
一次預期報酬,14688.302352565278852
一次風險,56874.412403288595669
一次趨勢值,0.258258533704270
找到最佳解世代,2710
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](1),DIS[6](8),KO[14](12),MMM[16](3),MSFT[18](15),
Stock#,AAPL[0](1),DIS[6](8),KO[14](12),MMM[16](3),MSFT[18](15),
張數,17219,18853,47846,11232,31959,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,13.149999999906868,73.760000000009313,37.200000000186265,142.399999999906868,5.780000000027940,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1997761.529999999795109,2025640.080000000074506,1992823.100000000093132,2003032.639999999897555,1991051.479999999981374,10010308.830000000074506
FS( 3 ),2007920.739999999990687,2024508.899999999906868,1997607.700000000186265,1996181.120000000111759,1991051.479999999981374,10017269.939999999478459
FS( 4 ),2030305.439999999944121,2054673.700000000186265,1997129.240000000223517,2002021.759999999776483,2008309.340000000083819,10092439.480000000447035
FS( 5 ),2048901.959999999729916,2042984.840000000083819,1977033.920000000158325,1991239.040000000037253,2001917.540000000037253,10062077.300000000745058
FS( 6 ),2050968.239999999990687,2043361.899999999906868,1963637.040000000037253,1983488.959999999962747,2001278.359999999869615,10042734.500000000000000
FS( 7 ),2061988.399999999906868,2063346.080000000074506,1964115.500000000000000,1998202.879999999655411,2019494.989999999990687,10107147.849999999627471
FS( 8 ),2053378.899999999906868,2027336.850000000093132,1959330.900000000372529,1993148.479999999981374,2000958.770000000018626,10034153.900000000372529
FS( 9 ),2049762.909999999916181,2037328.939999999944121,1955981.680000000400469,1992586.879999999655411,2003835.080000000074506,10039495.490000000223517
FS( 10 ),2066293.149999999906868,2035632.169999999925494,1972249.320000000065193,1991126.719999999739230,1998402.050000000046566,10063703.410000000149012
FS( 11 ),2066120.959999999729916,2039214.239999999990687,1975598.540000000037253,2004942.080000000074506,1997443.280000000027940,10083319.099999999627471
FS( 12 ),2062504.969999999972060,2022623.600000000093132,1968421.640000000130385,2007076.159999999916181,1991051.479999999981374,10051677.850000001490116
FS( 13 ),2066293.149999999906868,2029787.739999999990687,1977033.920000000158325,2004942.080000000074506,2005113.440000000176951,10083170.330000000074506
FS( 14 ),2067670.669999999925494,2019607.120000000111759,1982296.980000000214204,2005166.719999999739230,2012144.420000000158325,10086885.910000000149012
FS( 15 ),2065776.579999999841675,2034312.460000000195578,2004784.600000000093132,1976637.439999999944121,2030041.460000000195578,10111552.540000000968575
FS( 16 ),2098664.869999999646097,2036951.880000000121072,2015310.719999999972060,1985173.759999999776483,2035154.899999999906868,10171256.129999998956919
FS( 17 ),2099698.009999999776483,2037328.939999999944121,2000478.460000000195578,1986184.639999999897555,2054010.709999999962747,10177700.759999999776483
FS( 18 ),2099870.200000000186265,2060706.659999999916181,1983253.900000000372529,1993597.759999999776483,2102268.799999999813735,10239697.320000000298023
FS( 19 ),2094360.119999999878928,2091625.580000000074506,1979904.680000000400469,1970459.839999999850988,2081495.449999999953434,10217845.669999999925494
FS( 20 ),2089538.799999999813735,2086158.210000000195578,1988995.420000000158325,1963720.639999999897555,2066155.130000000121072,10194568.199999999254942
FS( 21 ),2216959.399999999906868,2098412.660000000149012,1974163.160000000149012,1967651.839999999850988,2031959.000000000000000,10289146.060000000521541
FS( 22 ),2213171.219999999739230,2085404.090000000083819,1980861.600000000093132,1956532.159999999916181,2018855.810000000055879,10254824.880000000819564
FS( 23 ),2222641.669999999925494,2079559.659999999916181,1987560.040000000037253,1966191.679999999701977,2035154.899999999906868,10291107.949999999254942
