代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11108984.990000002086163
真實報酬,1108984.990000002086163

夏普值報酬,0.102198499000000
夏普值風險,0.034847970824062
夏普值,2.932695838043871

二次趨勢線,31.375581673422545 x^2 + 18157.647553753497050 x + 10000000.000000000000000
二次加權預期報酬,20730.445250974145893
風險,104483.939543921354925
二次加權趨勢值,0.198407959553055
一次趨勢線,19604.750601178879151 x + 10000000.000000000000000
一次預期報酬,19604.750601178879151
一次風險,105329.348881557001732
一次趨勢值,0.186128090692220
找到最佳解世代,1698
找到最佳解實驗#,1
找到最佳解次數,24

stock[index](rank)
投資組合檔數,4
BA[2](7),PFE[20](5),UNH[23](1),WBA[27](3),
Stock#,BA[2](7),PFE[20](5),UNH[23](1),WBA[27](3),
張數,19836,82808,26354,38473,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,68.919999999925494,26.479999999981374,59.560000000055879,24.459999999962747,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2496231.160000000149012,2507452.720000000204891,2503162.479999999981374,2510002.979999999981374,10016849.340000001713634
FS( 3 ),2464096.839999999850988,2487578.799999999813735,2524772.759999999776483,2526161.639999999664724,10002610.039999999105930
FS( 4 ),2471237.799999999813735,2487578.799999999813735,2535577.899999999906868,2564249.910000000149012,10058644.410000000149012
FS( 5 ),2468659.120000000111759,2477641.840000000316650,2467057.500000000000000,2574637.620000000111759,9987996.080000001937151
FS( 6 ),2472427.959999999962747,2500828.080000000074506,2497101.060000000055879,2607724.399999999906868,10078081.500000000000000
FS( 7 ),2486709.879999999888241,2510765.040000000037253,2521873.819999999832362,2596951.959999999962747,10116300.699999999254942
FS( 8 ),2496826.240000000223517,2519045.840000000316650,2521610.280000000260770,2594643.580000000074506,10132125.940000001341105
FS( 9 ),2549590.000000000000000,2519045.840000000316650,2527408.160000000149012,2576176.539999999571592,10172220.539999999105930
FS( 10 ),2556135.880000000353903,2512421.200000000186265,2506588.500000000000000,2575022.350000000093132,10150167.929999999701977
FS( 11 ),2547408.039999999571592,2510765.040000000037253,2542429.939999999944121,2560402.609999999869615,10161005.629999998956919
FS( 12 ),2591840.679999999701977,2533123.200000000186265,2587758.819999999832362,2618496.839999999850988,10331219.539999999105930
FS( 13 ),2610684.880000000353903,2520702.000000000000000,2552708.000000000000000,2608109.130000000353903,10292204.010000001639128
FS( 14 ),2612470.119999999646097,2520702.000000000000000,2552444.459999999962747,2590796.280000000260770,10276412.859999999403954
FS( 15 ),2633893.000000000000000,2521530.080000000074506,2548754.899999999906868,2600414.530000000260770,10304592.510000001639128
FS( 16 ),2670192.880000000353903,2502484.239999999757856,2553762.160000000149012,2605800.750000000000000,10332240.030000001192093
FS( 17 ),2674160.080000000074506,2523186.239999999757856,2580116.160000000149012,2608878.589999999850988,10386341.070000000298023
FS( 18 ),2673565.000000000000000,2575355.280000000260770,2585650.500000000000000,2634270.770000000018626,10468841.550000000745058
FS( 19 ),2665233.880000000353903,2579495.679999999701977,2599354.580000000074506,2639656.989999999757856,10483741.130000000819564
FS( 20 ),2626156.959999999497086,2588604.560000000055879,2610686.800000000279397,2607339.669999999925494,10432787.990000000223517
FS( 21 ),2623975.000000000000000,2614275.040000000037253,2630979.379999999888241,2568097.209999999962747,10437326.629999998956919
FS( 22 ),2617825.839999999850988,2629180.479999999981374,2656542.759999999776483,2592335.199999999720603,10495884.279999999329448
FS( 23 ),2604932.439999999944121,2622555.840000000316650,2626762.740000000223517,2612341.160000000149012,10466592.179999999701977
