代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10916444.219999998807907
真實報酬,916444.219999998807907

夏普值報酬,0.082944422000000
夏普值風險,0.055817674795581
夏普值,1.485988484897738

二次趨勢線,1352.550923007389201 x^2 + -58621.775236431421945 x + 10000000.000000000000000
二次加權預期報酬,48680.597988821449690
風險,201190.951667849207297
二次加權趨勢值,0.241962163731843
一次趨勢線,1731.547462469737638 x + 10000000.000000000000000
一次預期報酬,1731.547462469737638
一次風險,573883.666655316599645
一次趨勢值,0.003017244718884
找到最佳解世代,2096
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](2),CSCO[4](1),MRK[17](6),PG[21](4),
Stock#,BA[2](2),CSCO[4](1),MRK[17](6),PG[21](4),
張數,6945,51292,31557,26789,
FS( 47 ),2805510.550000000279397,2440501.279999999795109,2420791.929999999701977,2632605.549999999813735,10299409.309999998658895
FS( 48 ),2852528.200000000651926,2456401.799999999813735,2477910.099999999627471,2659126.660000000149012,10445966.759999999776483
FS( 49 ),2851555.900000000372529,2436397.919999999925494,2493688.599999999627471,2658590.879999999888241,10440233.300000000745058
FS( 50 ),2846277.700000000186265,2482560.719999999739230,2491164.040000000037253,2637695.459999999962747,10457697.919999999925494
FS( 51 ),2902879.450000000651926,2535391.479999999981374,2518618.629999999888241,2638231.240000000223517,10595120.800000000745058
FS( 52 ),2891003.500000000000000,2546675.719999999739230,2500631.139999999664724,2678682.629999999888241,10616992.989999998360872
FS( 53 ),2927742.550000000279397,2545649.879999999888241,2506626.970000000204891,2659662.439999999944121,10639681.839999999850988
FS( 54 ),2900170.900000000372529,2534365.639999999664724,2519249.770000000018626,2673056.939999999944121,10626843.250000000000000
FS( 55 ),2945105.050000000279397,2570270.040000000037253,2548913.349999999627471,2685647.770000000018626,10749936.209999999031425
FS( 56 ),2964689.950000000186265,2605148.600000000093132,2536606.119999999646097,2667431.250000000000000,10773875.919999999925494
FS( 57 ),2963995.450000000186265,2625152.479999999981374,2547966.639999999664724,2674396.390000000130385,10811510.959999999031425
FS( 58 ),3024208.600000000093132,2646182.200000000186265,2544179.800000000279397,2649750.509999999776483,10864321.110000001266599
FS( 59 ),3055600.000000000000000,2655414.760000000242144,2565322.990000000223517,2640106.469999999739230,10916444.219999998807907
