代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12206140.050000000745058
真實報酬,2206140.050000000745058

夏普值報酬,0.211914005000000
夏普值風險,0.066456792858017
夏普值,3.188748597193780

二次趨勢線,654.560061797206572 x^2 + -1523.833379802345007 x + 10000000.000000000000000
二次加權預期報酬,52150.091687568594352
風險,79543.065147416316904
二次加權趨勢值,0.655620846278923
一次趨勢線,28665.753860649292619 x + 10000000.000000000000000
一次預期報酬,28665.753860649292619
一次風險,289009.987744087819010
一次趨勢值,0.099186031889085
找到最佳解世代,1531
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](1),IBM[10](14),MSFT[18](2),V[25](6),
Stock#,AAPL[0](1),IBM[10](14),MSFT[18](2),V[25](6),
張數,45110,13196,98892,102291,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,3.799999999813735,17.800000000279397,10.239999999757856,7.959999999962747,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2511277.500000000000000,2502771.160000000149012,2494066.479999999515712,2485679.260000000242144,9993794.400000000372529
FS( 3 ),2532479.199999999720603,2518342.440000000409782,2541534.639999999664724,2457037.779999999795109,10049394.060000000521541
FS( 4 ),2519397.299999999813735,2546054.040000000037253,2537578.959999999962747,2438625.399999999906868,10041655.699999999254942
FS( 5 ),2507217.599999999627471,2560701.600000000558794,2531645.439999999944121,2482610.529999999795109,10082175.169999999925494
FS( 6 ),2517592.899999999906868,2528107.480000000447035,2511867.039999999571592,2449877.409999999683350,10007444.830000000074506
FS( 7 ),2536539.099999999627471,2567431.560000000521541,2541534.639999999664724,2485679.260000000242144,10131184.560000000521541
FS( 8 ),2525261.599999999627471,2536025.080000000540167,2522745.159999999683350,2478518.890000000130385,10062550.730000000447035
FS( 9 ),2505413.199999999720603,2522433.200000000186265,2547468.159999999683350,2452946.140000000130385,10028260.700000001117587
FS( 10 ),2449927.899999999906868,2490366.920000000391155,2530656.519999999552965,2464198.149999999906868,9935149.490000000223517
FS( 11 ),2441808.100000000093132,2474003.880000000353903,2527689.759999999776483,2450900.319999999832362,9894402.060000000521541
FS( 12 ),2455341.099999999627471,2422407.520000000018626,2571202.239999999757856,2491816.719999999739230,9940767.579999998211861
FS( 13 ),2463009.799999999813735,2413434.240000000223517,2524723.000000000000000,2521481.109999999869615,9922648.150000000372529
FS( 14 ),2551425.399999999906868,2470836.840000000316650,2574169.000000000000000,2592061.899999999906868,10188493.140000000596046
FS( 15 ),2555034.199999999720603,2394695.920000000391155,2547468.159999999683350,2575695.339999999850988,10072893.619999999180436
FS( 16 ),2568567.199999999720603,2402217.640000000130385,2552412.759999999776483,2571603.700000000186265,10094801.300000000745058
FS( 17 ),2599241.999999999534339,2437978.800000000279397,2574169.000000000000000,2620703.379999999888241,10232093.179999999701977
FS( 18 ),2619992.599999999627471,2440618.000000000000000,2575157.919999999459833,2606382.640000000130385,10242151.160000000149012
FS( 19 ),2594731.000000000000000,2427949.840000000316650,2553401.679999999701977,2575695.339999999850988,10151777.859999999403954
FS( 20 ),2610519.499999999534339,2456849.080000000540167,2573180.079999999608845,2638092.850000000093132,10278641.509999999776483
FS( 21 ),2610068.399999999906868,2426498.280000000260770,2567246.560000000055879,2596153.540000000037253,10199966.780000001192093
FS( 22 ),2650216.299999999813735,2458432.600000000558794,2647349.079999999608845,2634001.209999999962747,10389999.190000001341105
FS( 23 ),2664200.399999999906868,2448403.640000000130385,2709651.039999999571592,2586947.350000000093132,10409202.429999999701977
FS( 24 ),2693972.999999999534339,2436791.160000000149012,2737340.799999999813735,2606382.640000000130385,10474487.599999999627471
FS( 25 ),2721941.200000000186265,2408815.640000000130385,2779864.359999999869615,2575695.339999999850988,10486316.539999999105930
FS( 26 ),2717881.299999999813735,2396279.440000000409782,2743274.319999999832362,2555237.140000000130385,10412672.200000001117587
FS( 27 ),2727354.399999999906868,2392584.560000000521541,2753163.519999999552965,2552168.409999999683350,10425270.890000000596046
FS( 28 ),2722843.399999999906868,2405912.520000000018626,2741296.479999999515712,2534778.939999999944121,10404831.339999999850988
FS( 29 ),2715625.799999999813735,2382555.600000000558794,2768986.239999999757856,2592061.899999999906868,10459229.540000000968575
FS( 30 ),2705250.499999999534339,2364213.160000000149012,2793709.239999999757856,2576718.250000000000000,10439891.150000000372529
FS( 31 ),2736827.500000000000000,2375297.800000000279397,2794698.159999999683350,2621726.290000000037253,10528549.750000000000000
