代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10832728.820000000298023
真實報酬,832728.820000000298023

夏普值報酬,0.074572882000000
夏普值風險,0.051929897267049
夏普值,1.436029838774945

二次趨勢線,1137.326678249938595 x^2 + -58004.102695723297074 x + 10000000.000000000000000
二次加權預期報酬,41322.427204771338438
風險,188319.710203481488861
二次加權趨勢值,0.219426990197266
一次趨勢線,-2136.185332835090321 x + 10000000.000000000000000
一次預期報酬,-2136.185332835090321
一次風險,578979.018029686179943
一次趨勢值,-1236806486.334278821945190
找到最佳解世代,1739
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
INTC[11](1),TRV[22](2),WMT[28](3),
Stock#,INTC[11](1),TRV[22](2),WMT[28](3),
張數,149880,61038,63347,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,1.800000000279397,47.819999999832362,13.860000000335276,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3255395.399999999906868,3305865.899999999441206,3273786.820000000298023,9835049.119999999180436
FS( 3 ),3268884.600000000093132,3309528.179999999701977,3248448.020000000484288,9826861.800000000745058
FS( 4 ),3124999.800000000279397,3253983.600000000093132,3173698.560000000521541,9552682.960000000894070
FS( 5 ),3116007.000000000000000,3208815.479999999981374,3221208.810000000521541,9546032.290000000968575
FS( 6 ),3014088.600000000093132,2965273.859999999869615,3098949.100000000558794,9078312.560000000521541
FS( 7 ),3087529.800000000279397,3155102.039999999571592,3219308.400000000372529,9461941.240000000223517
FS( 8 ),2987110.200000000186265,2993351.339999999850988,3066642.129999999888241,9047104.669999999925494
FS( 9 ),3111510.600000000558794,3136790.639999999664724,3150260.169999999925494,9398562.410000000149012
FS( 10 ),3095023.800000000279397,3120920.759999999776483,3151527.110000000335276,9367472.670000001788139
FS( 11 ),3130995.000000000465661,3190504.080000000074506,3166096.919999999925494,9487597.000000000000000
FS( 12 ),3116007.000000000000000,3172803.059999999590218,3288990.100000000558794,9577801.160000000149012
FS( 13 ),3098021.400000000372529,3186231.419999999925494,3265551.709999999962747,9549805.530000001192093
FS( 14 ),2963129.400000000372529,3039129.839999999850988,3280754.990000000223517,9283015.230000000447035
FS( 15 ),2876199.000000000465661,3018987.299999999813735,3313061.959999999962747,9208249.260000001639128
FS( 16 ),2904676.200000000186265,2998234.379999999888241,3306093.790000000037253,9209005.370000001043081
FS( 17 ),2954136.600000000558794,3012273.120000000111759,3370707.730000000447035,9337118.450000001117587
FS( 18 ),2967625.800000000279397,3022039.199999999720603,3380843.250000000000000,9370509.250000000000000
FS( 19 ),2910671.400000000372529,2929261.439999999944121,3338400.760000000707805,9178334.600000001490116
