代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11838217.919999999925494
真實報酬,1838217.919999999925494

夏普值報酬,0.175121792000000
夏普值風險,0.052062210932689
夏普值,3.363702556282385

二次趨勢線,246.315830667499739 x^2 + 14614.336926727573882 x + 10000000.000000000000000
二次加權預期報酬,35469.077256575881620
風險,135789.446539024327649
二次加權趨勢值,0.261206435114105
一次趨勢線,26344.401051743523567 x + 10000000.000000000000000
一次預期報酬,26344.401051743523567
一次風險,175672.897986047930317
一次趨勢值,0.149962807887622
找到最佳解世代,1894
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](2),VZ[26](3),WBA[27](1),
Stock#,MCD[15](2),VZ[26](3),WBA[27](1),
張數,20611,62668,49295,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,122.080000000074506,22.080000000074506,5.099999999627471,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3364661.720000000204891,3372813.840000000316650,3363895.899999999441206,10101372.460000000894070
FS( 3 ),3374967.220000000204891,3402267.799999999813735,3353543.949999999720603,10130779.969999998807907
FS( 4 ),3378264.979999999981374,3384094.080000000074506,3361431.149999999441206,10123791.210000000894070
FS( 5 ),3402379.850000000093132,3391614.239999999757856,3391501.099999999627471,10185496.189999999478459
FS( 6 ),3393104.900000000372529,3429215.040000000037253,3388543.399999999441206,10210864.339999999850988
FS( 7 ),3395578.220000000204891,3444882.040000000037253,3469387.199999999254942,10309848.459999999031425
FS( 8 ),3347348.479999999981374,3443002.000000000000000,3474316.699999999720603,10264668.179999999701977
FS( 9 ),3315195.320000000298023,3418561.479999999981374,3464457.699999999720603,10198215.500000000000000
FS( 10 ),3259545.619999999646097,3427961.680000000167638,3472837.849999999627471,10160346.149999998509884
FS( 11 ),3251919.550000000279397,3408534.600000000093132,3494034.699999999254942,10154489.849999999627471
FS( 12 ),3280981.060000000055879,3352760.080000000074506,3513752.699999999720603,10147494.839999999850988
FS( 13 ),3314164.770000000018626,3380960.680000000167638,3593117.649999999441206,10288244.099999999627471
FS( 14 ),3407120.380000000353903,3410414.640000000130385,3598540.099999999627471,10416076.120000001043081
FS( 15 ),3366104.490000000223517,3355266.799999999813735,3559104.099999999627471,10280476.390000000596046
FS( 16 ),3429998.589999999850988,3324559.479999999981374,3559597.049999999348074,10314156.119999999180436
FS( 17 ),3416601.439999999944121,3330199.600000000093132,3596568.299999999348074,10343370.339999999850988
FS( 18 ),3432471.910000000149012,3358400.200000000186265,3638469.049999999813735,10429342.160000000149012
FS( 19 ),3448136.270000000018626,3345866.600000000093132,3593610.600000000093132,10387614.470000000670552
FS( 20 ),3435357.449999999720603,3374067.200000000186265,3571920.799999999348074,10381346.449999999254942
FS( 21 ),3404647.060000000055879,3410414.640000000130385,3622694.649999999441206,10437757.349999999627471
FS( 22 ),3393929.339999999850988,3402267.799999999813735,3637976.099999999627471,10434174.239999998360872
FS( 23 ),3417425.880000000353903,3448015.440000000409782,3615300.399999999906868,10480742.720000000670552
FS( 24 ),3433296.350000000093132,3443002.000000000000000,3574385.549999999813735,10450684.899999998509884
FS( 25 ),3458029.550000000279397,3448015.440000000409782,3655229.350000000093132,10561275.339999999850988
FS( 26 ),3500488.210000000428408,3446135.400000000372529,3626145.299999999813735,10572769.910000000149012
FS( 27 ),3470396.150000000372529,3404774.520000000018626,3564526.549999999813735,10439698.219999998807907
FS( 28 ),3359096.750000000000000,3342106.520000000018626,3495020.600000000093132,10196224.869999999180436
FS( 29 ),3376616.100000000093132,3367173.719999999739230,3623187.599999999627471,10366978.419999999925494
FS( 30 ),3373524.449999999720603,3359026.880000000353903,3683327.499999999534339,10415879.830000000074506
FS( 31 ),3381768.850000000093132,3365293.680000000167638,3760227.699999999720603,10507291.230000000447035
FS( 32 ),3437418.550000000279397,3381587.360000000335276,3794734.199999999720603,10613741.109999999403954
FS( 33 ),3438242.990000000223517,3424828.279999999795109,3775016.199999999720603,10638088.469999998807907
FS( 34 ),3452258.470000000204891,3440495.279999999795109,3812973.349999999161810,10705728.099999999627471
FS( 35 ),3434533.009999999776483,3445508.719999999739230,3827761.850000000093132,10707804.580000000074506
FS( 36 ),3651360.729999999981374,3585258.360000000335276,3808536.799999999813735,11045156.890000000596046
FS( 37 ),3655482.930000000167638,3598418.640000000130385,3657694.099999999627471,10911596.669999999925494
FS( 38 ),3613436.490000000223517,3536377.319999999832362,3733608.399999999441206,10883423.210000000894070
FS( 39 ),3572832.820000000298023,3478722.759999999776483,3757762.949999999720603,10809319.529999999329448
FS( 40 ),3570565.609999999869615,3539510.719999999739230,3786846.999999999068677,10896924.329999998211861
FS( 41 ),3678979.470000000204891,3646046.319999999832362,3884451.099999999627471,11209477.890000000596046
FS( 42 ),3646207.979999999981374,3577738.200000000186265,3932267.249999999534339,11156214.429999999701977
FS( 43 ),3604573.759999999776483,3512563.479999999981374,3938675.600000000093132,11055813.839999999850988
FS( 44 ),3643116.330000000074506,3548910.920000000391155,3909098.599999999627471,11101126.849999999627471
FS( 45 ),3718140.369999999646097,3585258.360000000335276,3942126.249999999534339,11245525.980000000447035
FS( 46 ),3765957.890000000130385,3585258.360000000335276,3973182.099999999161810,11324399.349999999627471
FS( 47 ),3797698.830000000074506,3612832.279999999795109,4037758.549999999348074,11448290.659999998286366
FS( 48 ),3823050.359999999869615,3651686.440000000409782,4063884.899999999441206,11538622.699999999254942
FS( 49 ),3832531.419999999925494,3663593.360000000335276,4061420.149999999441206,11557545.929999999701977
FS( 50 ),3800172.150000000372529,3679887.040000000037253,4032829.049999999813735,11512889.240000000223517
FS( 51 ),3792752.189999999944121,3676126.959999999962747,4038251.499999999534339,11507131.650000000372529
FS( 52 ),3789454.430000000167638,3693674.000000000000000,4018533.499999999534339,11501662.929999999701977
FS( 53 ),3783477.240000000223517,3702447.520000000018626,4056490.649999999906868,11542416.410000000149012
FS( 54 ),3866539.570000000298023,3773262.360000000335276,4067828.499999999534339,11707631.429999999701977
FS( 55 ),3848608.000000000000000,3798956.239999999757856,4038251.499999999534339,11685816.740000000223517
FS( 56 ),3786568.890000000130385,3726261.360000000335276,3933253.149999999906868,11446084.400000000372529
FS( 57 ),3766164.000000000000000,3707460.959999999962747,3931774.299999999813735,11405400.259999999776483
FS( 58 ),3749881.310000000055879,3674873.600000000093132,3983534.049999999813735,11408289.960000000894070
FS( 59 ),3790278.869999999646097,3708087.640000000130385,4027406.599999999627471,11525774.109999999403954
FS( 60 ),3805531.009999999776483,3800836.279999999795109,4117123.499999999534339,11723491.789999999105930
FS( 61 ),3871898.430000000167638,3763862.160000000149012,4172333.899999999441206,11808095.489999998360872
FS( 62 ),3900959.939999999944121,3725634.680000000167638,4182685.849999999161810,11809281.469999998807907
FS( 63 ),3885501.689999999944121,3778902.479999999981374,4173812.749999999534339,11838217.919999999925494
