代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10601160.810000002384186
真實報酬,601160.810000002384186

夏普值報酬,0.051416081000000
夏普值風險,0.022656936758874
夏普值,2.269330649027964

二次趨勢線,349.056387311436197 x^2 + -10913.234933305346203 x + 10000000.000000000000000
二次加權預期報酬,17243.980309817179659
風險,105077.130479424406076
二次加權趨勢值,0.164107834227485
一次趨勢線,4924.116854626765416 x + 10000000.000000000000000
一次預期報酬,4924.116854626765416
一次風險,177774.786964357743273
一次趨勢值,0.027698623290231
找到最佳解世代,2220
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](3),HD[9](5),MCD[15](4),PG[21](2),TRV[22](1),
Stock#,BA[2](3),HD[9](5),MCD[15](4),PG[21](2),TRV[22](1),
張數,37230,71428,31476,31791,38022,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,4.400000000139698,16.000000000000000,14.959999999962747,28.190000000176951,42.800000000046566,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2002233.800000000279397,2023571.239999999990687,1967264.959999999962747,2008901.480000000214204,2001901.100000000093132,10003872.580000000074506
FS( 3 ),2001861.500000000232831,1995000.040000000037253,1950582.679999999934807,1988873.150000000139698,1955894.479999999981374,9892211.849999999627471
FS( 4 ),2035740.800000000046566,2005714.239999999990687,1938621.800000000046566,1990144.790000000270084,1940685.679999999934807,9910907.310000000521541
FS( 5 ),2078183.000000000232831,2015714.159999999916181,1949323.639999999897555,1986011.960000000195578,1922815.340000000083819,9952048.099999999627471
FS( 6 ),2072226.199999999953434,1976428.760000000009313,1907775.319999999832362,1966937.360000000102445,1898101.040000000037253,9821468.679999999701977
FS( 7 ),2065152.500000000000000,1967857.400000000139698,1907460.560000000055879,1978700.030000000260770,1904945.000000000000000,9824115.490000002086163
FS( 8 ),2048026.699999999953434,1999285.719999999972060,1921624.759999999776483,1978700.030000000260770,1930039.520000000018626,9877676.730000000447035
FS( 9 ),2069992.400000000139698,2034999.719999999972060,1940825.119999999878928,1981879.130000000353903,1927758.200000000186265,9955454.570000000298023
FS( 10 ),2086745.900000000139698,2062142.360000000102445,1955933.600000000093132,2003179.100000000093132,1939925.240000000223517,10047926.200000001117587
FS( 11 ),2072598.500000000232831,2072856.560000000055879,1951526.959999999962747,1974885.110000000102445,1916731.819999999832362,9988598.950000001117587
FS( 12 ),2052494.300000000279397,2068570.880000000121072,1964746.880000000121072,1976156.750000000000000,1889736.200000000186265,9951705.010000001639128
FS( 13 ),2027922.500000000000000,2057142.400000000139698,1949008.880000000121072,1958035.880000000353903,1839547.160000000149012,9831656.820000000298023
FS( 14 ),1989575.600000000093132,2046428.199999999953434,1956877.880000000121072,1956764.239999999990687,1830421.880000000121072,9780067.800000000745058
FS( 15 ),2021593.400000000139698,2068570.880000000121072,1972301.119999999878928,1948816.489999999990687,1850573.540000000037253,9861855.429999999701977
