代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10981896.050000000745058
真實報酬,981896.050000000745058

夏普值報酬,0.089489605000000
夏普值風險,0.027817237355006
夏普值,3.217055808164058

二次趨勢線,-77.724125278879939 x^2 + 21284.799218717253098 x + 10000000.000000000000000
二次加權預期報酬,14911.420945849100463
風險,55616.085193577549944
二次加權趨勢值,0.268113458434702
一次趨勢線,17700.010904025482887 x + 10000000.000000000000000
一次預期報酬,17700.010904025482887
一次風險,64665.664846119936556
一次趨勢值,0.273715749248769
找到最佳解世代,1885
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CVX[5](1),INTC[11](2),KO[14](7),MCD[15](9),UNH[23](21),
Stock#,CVX[5](1),INTC[11](2),KO[14](7),MCD[15](9),UNH[23](21),
張數,17995,83507,53763,21500,28272,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,35.699999999953434,7.350000000093132,16.399999999906868,70.000000000000000,38.720000000204891,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1994421.549999999813735,1989144.090000000083819,2015053.639999999664724,2001505.000000000000000,1993497.440000000409782,9993621.719999998807907
FS( 3 ),1970848.099999999860302,1964091.989999999990687,2022042.829999999841675,2012040.000000000000000,2002261.760000000009313,9971284.679999999701977
FS( 4 ),2002339.349999999860302,2003340.280000000027940,2044623.290000000037253,2041280.000000000000000,2003675.360000000335276,10095258.280000001192093
FS( 5 ),2016375.449999999953434,2021711.820000000065193,2040322.250000000000000,2062350.000000000000000,2017528.640000000130385,10158288.160000000149012
FS( 6 ),2009897.250000000000000,2028392.380000000121072,2073655.309999999823049,2039560.000000000000000,1971728.000000000000000,10123232.939999999478459
FS( 7 ),2043907.799999999813735,2043423.639999999897555,2077418.719999999972060,2049880.000000000000000,1996607.360000000335276,10211237.519999999552965
FS( 8 ),2016015.550000000046566,2050104.200000000186265,2070429.529999999795109,2040205.000000000000000,1985864.000000000000000,10162618.279999999329448
FS( 9 ),2024653.150000000139698,2062630.250000000000000,2077956.349999999860302,2052459.999999999767169,2013287.840000000083819,10230987.589999999850988
FS( 10 ),2042108.300000000046566,2067640.670000000158325,2093009.989999999990687,2059340.000000000000000,2078596.160000000149012,10340695.120000001043081
