代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11527990.779999999329448
真實報酬,1527990.779999999329448

夏普值報酬,0.144099078000000
夏普值風險,0.049405680846816
夏普值,2.916649978912013

二次趨勢線,-50.810009752587874 x^2 + 29691.990178260257380 x + 10000000.000000000000000
二次加權預期報酬,25322.329339537696796
風險,162509.281603830750100
二次加權趨勢值,0.155820818907249
一次趨勢線,27234.203659995517228 x + 10000000.000000000000000
一次預期報酬,27234.203659995517228
一次風險,164231.176767066441244
一次趨勢值,0.165828463243751
找到最佳解世代,1944
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),CSCO[4](2),INTC[11](9),UNH[23](5),
Stock#,BA[2](1),CSCO[4](2),INTC[11](9),UNH[23](5),
張數,29325,120019,116658,42394,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,43.750000000000000,4.229999999981374,19.060000000055879,25.819999999832362,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2465983.000000000000000,2546807.409999999683350,2503499.740000000223517,2617431.379999999888241,10133721.530000001192093
FS( 3 ),2473900.750000000000000,2544407.029999999795109,2455669.959999999962747,2614463.799999999813735,10088441.539999999105930
FS( 4 ),2491202.500000000000000,2525203.989999999757856,2466169.180000000167638,2629725.639999999664724,10112301.309999998658895
FS( 5 ),2526979.000000000000000,2473595.819999999832362,2442837.580000000074506,2632693.219999999739230,10076105.620000001043081
FS( 6 ),2543987.500000000000000,2468795.060000000055879,2460336.280000000260770,2623790.479999999981374,10096909.320000000298023
FS( 7 ),2557477.000000000000000,2516802.659999999683350,2537330.560000000055879,2636084.739999999757856,10247694.960000000894070
FS( 8 ),2575365.250000000000000,2576812.159999999683350,2596826.140000000130385,2645835.359999999869615,10394838.910000000149012
FS( 9 ),2596186.000000000000000,2603216.340000000316650,2546663.199999999720603,2669999.939999999478459,10416065.479999998584390
FS( 10 ),2606743.000000000000000,2585213.489999999757856,2529164.500000000000000,2672119.639999999664724,10393240.629999998956919
FS( 11 ),2544574.000000000000000,2526404.180000000167638,2494167.100000000093132,2611072.279999999795109,10176217.559999998658895
FS( 12 ),2548093.000000000000000,2539606.270000000018626,2557162.420000000391155,2662792.959999999962747,10307654.649999998509884
FS( 13 ),2542228.000000000000000,2475996.199999999720603,2558329.000000000000000,2629725.639999999664724,10206278.839999999850988
FS( 14 ),2525512.750000000000000,2469995.250000000000000,2594492.979999999981374,2530523.679999999701977,10120524.660000000149012
FS( 15 ),2579470.750000000000000,2455592.970000000204891,2617824.580000000074506,2545361.579999999608845,10198249.880000000819564
FS( 16 ),2549559.250000000000000,2471195.439999999944121,2669154.100000000093132,2510598.500000000000000,10200507.289999999105930
