代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11554553.080000000074506
真實報酬,1554553.080000000074506

夏普值報酬,0.146755308000000
夏普值風險,0.060522211958813
夏普值,2.424817323264224

二次趨勢線,913.711851751775612 x^2 + -27422.821393281530618 x + 10000000.000000000000000
二次加權預期報酬,48719.832919366439455
風險,138987.448770187271293
二次加權趨勢值,0.350534047142081
一次趨勢線,15404.680522027649204 x + 10000000.000000000000000
一次預期報酬,15404.680522027649204
一次風險,423974.961079171567690
一次趨勢值,0.036333939350610
找到最佳解世代,2053
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
GS[8](2),MMM[16](1),
Stock#,GS[8](2),MMM[16](1),
張數,40048,56022,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,7.200000000186265,36.500000000000000,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4935923.200000000186265,4984313.839999999850988,9920237.039999999105930
FS( 3 ),4969163.040000000037253,5019607.699999999254942,9988770.739999998360872
FS( 4 ),5056067.200000000186265,5090195.419999999925494,10146262.620000001043081
FS( 5 ),4724870.240000000223517,5007282.859999999403954,9732153.099999999627471
FS( 6 ),4616340.160000000149012,4960784.599999999627471,9577124.759999999776483
FS( 7 ),4651582.400000000372529,4975350.320000000298023,9626932.720000000670552
FS( 8 ),4695234.719999999739230,4996078.459999999962747,9691313.179999999701977
FS( 9 ),4664397.759999999776483,4990476.259999999776483,9654874.019999999552965
FS( 10 ),4575090.719999999739230,4891317.320000000298023,9466408.039999999105930
FS( 11 ),4623148.320000000298023,4931092.939999999478459,9554241.259999999776483
FS( 12 ),4639167.520000000484288,4957983.500000000000000,9597151.019999999552965
FS( 13 ),4737685.599999999627471,5017927.040000000037253,9755612.640000000596046
FS( 14 ),4729275.520000000484288,4987114.939999999478459,9716390.460000000894070
FS( 15 ),4713656.800000000745058,4982633.179999999701977,9696289.980000000447035
FS( 16 ),4818182.080000000074506,5057702.660000000149012,9875884.740000000223517
FS( 17 ),4843412.320000000298023,5047058.480000000447035,9890470.800000000745058
FS( 18 ),4742090.879999999888241,5059383.320000000298023,9801474.199999999254942
FS( 19 ),4778935.040000000037253,5094116.959999999962747,9873052.000000000000000
FS( 20 ),4754906.240000000223517,5078430.800000000745058,9833337.040000000968575
FS( 21 ),4717261.120000000111759,5095237.400000000372529,9812498.519999999552965
FS( 22 ),4741690.400000000372529,5058823.099999999627471,9800513.500000000000000
FS( 23 ),4668803.040000000037253,5048739.140000000596046,9717542.179999999701977
FS( 24 ),4690829.440000000409782,5084593.220000000670552,9775422.660000000149012
FS( 25 ),4693632.800000000745058,5095237.400000000372529,9788870.200000001117587
FS( 26 ),4668402.559999999590218,5126609.720000000670552,9795012.280000001192093
FS( 27 ),4686023.680000000633299,5146777.640000000596046,9832801.320000000298023
FS( 28 ),4760112.480000000447035,5248177.459999999962747,10008289.940000001341105
FS( 29 ),4729275.520000000484288,5216805.140000000596046,9946080.660000000149012
FS( 30 ),4745695.200000000186265,5182071.500000000000000,9927766.699999999254942
FS( 31 ),4780136.480000000447035,5169746.660000000149012,9949883.140000000596046
FS( 32 ),4945534.719999999739230,5211763.160000000149012,10157297.879999998956919
FS( 33 ),5116940.160000000149012,5257701.199999999254942,10374641.359999999403954
FS( 34 ),5096115.200000000186265,5211202.939999999478459,10307318.140000000596046
FS( 35 ),5195033.759999999776483,5273387.359999999403954,10468421.119999999180436
FS( 36 ),5143772.320000000298023,5215684.699999999254942,10359457.019999999552965
FS( 37 ),5107729.120000000111759,5220726.679999999701977,10328455.800000000745058
FS( 38 ),5092510.879999999888241,5214004.040000000037253,10306514.919999999925494
FS( 39 ),5072887.360000000335276,5189914.580000000074506,10262801.940000001341105
FS( 40 ),5026832.160000000149012,5141735.660000000149012,10168567.820000000298023
FS( 41 ),5108530.080000000074506,5201679.199999999254942,10310209.279999999329448
FS( 42 ),5272726.879999999888241,5309801.660000000149012,10582528.539999999105930
FS( 43 ),5243892.320000000298023,5303639.240000000223517,10547531.560000000521541
FS( 44 ),5386863.679999999701977,5342854.640000000596046,10729718.320000000298023
FS( 45 ),5376851.679999999701977,5349577.279999999329448,10726428.959999999031425
FS( 46 ),5328393.600000000558794,5350137.500000000000000,10678531.100000001490116
FS( 47 ),5379254.559999999590218,5401117.519999999552965,10780372.079999998211861
FS( 48 ),5501400.959999999962747,5428008.080000000074506,10929409.039999999105930
FS( 49 ),5491789.440000000409782,5393834.660000000149012,10885624.100000001490116
FS( 50 ),5451741.440000000409782,5438652.259999999776483,10890393.699999999254942
FS( 51 ),5430115.520000000484288,5450416.879999999888241,10880532.400000000372529
FS( 52 ),5650379.520000000484288,5467783.699999999254942,11118163.219999998807907
FS( 53 ),5647175.679999999701977,5494674.259999999776483,11141849.939999999478459
FS( 54 ),5784940.799999999813735,5531648.779999999329448,11316589.579999998211861
FS( 55 ),5845012.799999999813735,5564701.759999999776483,11409714.559999998658895
FS( 56 ),5829394.080000000074506,5573665.279999999329448,11403059.359999999403954
FS( 57 ),5805365.280000000260770,5583749.240000000223517,11389114.519999999552965
FS( 58 ),5785341.280000000260770,5635289.480000000447035,11420630.760000001639128
FS( 59 ),5772926.400000000372529,5638650.800000000745058,11411577.200000001117587
FS( 60 ),5891068.000000000000000,5703636.320000000298023,11594704.320000000298023
FS( 61 ),5893070.400000000372529,5647054.099999999627471,11540124.500000000000000
