代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11196229.039999999105930
真實報酬,1196229.039999999105930

夏普值報酬,0.110922904000000
夏普值風險,0.028753475827980
夏普值,3.857721572988375

二次趨勢線,-27.160811946414896 x^2 + 18393.774366559959162 x + 10000000.000000000000000
二次加權預期報酬,16166.587786953938121
風險,120799.706622894664179
二次加權趨勢值,0.133829694118561
一次趨勢線,17141.064722885035735 x + 10000000.000000000000000
一次預期報酬,17141.064722885035735
一次風險,121348.641021401039325
一次趨勢值,0.141254690440761
找到最佳解世代,1811
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](3),HD[9](2),V[25](1),
Stock#,BA[2](3),HD[9](2),V[25](1),
張數,47034,58695,103745,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,33.419999999925494,43.950000000186265,6.149999999906868,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3382718.700000000186265,3318659.250000000000000,3309471.649999999906868,10010850.599999999627471
FS( 3 ),3425049.299999999813735,3383810.700000000186265,3359269.250000000000000,10168130.250000000000000
FS( 4 ),3428341.680000000167638,3360919.649999999906868,3364456.500000000000000,10153718.830000000074506
FS( 5 ),3343210.139999999664724,3363267.450000000186265,3337482.800000000279397,10043961.390000000596046
FS( 6 ),3352146.599999999627471,3329224.350000000093132,3410104.299999999813735,10091476.250000000000000
FS( 7 ),3337566.059999999590218,3348593.700000000186265,3461976.799999999813735,10148137.559999998658895
FS( 8 ),3366727.139999999664724,3421962.450000000186265,3500362.450000000186265,10289053.039999999105930
FS( 9 ),3352616.939999999944121,3490048.650000000372529,3481688.350000000093132,10324354.939999999478459
FS( 10 ),3288650.700000000186265,3457766.399999999906868,3472351.299999999813735,10218769.399999998509884
FS( 11 ),3313578.720000000204891,3454831.650000000372529,3467164.050000000279397,10235575.420000001788139
FS( 12 ),3287710.020000000018626,3490635.600000000093132,3496212.650000000372529,10274559.269999999552965
FS( 13 ),3285358.319999999832362,3479483.550000000279397,3491025.399999999906868,10255868.269999999552965
FS( 14 ),3291002.399999999906868,3487700.850000000093132,3501399.899999999906868,10280104.150000000372529
FS( 15 ),3293824.439999999944121,3485940.000000000000000,3469238.949999999720603,10249004.389999998733401
FS( 16 ),3263252.339999999850988,3505309.350000000093132,3489987.950000000186265,10258550.640000000596046
FS( 17 ),3304171.919999999925494,3473027.100000000093132,3437078.000000000000000,10214278.019999999552965
FS( 18 ),3297116.819999999832362,3514700.550000000279397,3473388.749999999534339,10285207.119999999180436
FS( 19 ),3273599.819999999832362,3543461.100000000093132,3482725.799999999813735,10299787.719999998807907
FS( 20 ),3292883.760000000242144,3555200.100000000093132,3546010.250000000000000,10394095.109999999403954
FS( 21 ),3270307.439999999944121,3541113.300000000279397,3527336.149999999906868,10338757.890000000596046
FS( 22 ),3285828.659999999683350,3625634.100000000558794,3592695.500000000000000,10504159.259999999776483
FS( 23 ),3289591.379999999888241,3623873.250000000465661,3622781.550000000279397,10536247.180000001564622
FS( 24 ),3334273.680000000167638,3709567.950000000186265,3638343.299999999813735,10682185.929999999701977
FS( 25 ),3319222.799999999813735,3632090.550000000279397,3597882.750000000000000,10549197.099999999627471
FS( 26 ),3322515.180000000167638,3577504.200000000186265,3547047.699999999720603,10447068.080000000074506
FS( 27 ),3308404.979999999981374,3506483.250000000465661,3563646.899999999906868,10378536.130000000819564
FS( 28 ),3331451.639999999664724,3463635.899999999906868,3606182.349999999627471,10401270.889999998733401
FS( 29 ),3379426.319999999832362,3495918.150000000372529,3608257.250000000000000,10483602.720000000670552
FS( 30 ),3398239.919999999925494,3559895.700000000186265,3627968.799999999813735,10586105.419999999925494
FS( 31 ),3456091.740000000223517,3572221.650000000372529,3661167.199999999720603,10689481.589999999850988
FS( 32 ),3463146.839999999850988,3603330.000000000000000,3697477.950000000186265,10763955.789999999105930
FS( 33 ),3492778.260000000242144,3627394.950000000186265,3679841.299999999813735,10800015.510000001639128
FS( 34 ),3481019.760000000242144,3632677.500000000000000,3630043.700000000186265,10743741.960000000894070
FS( 35 ),3466439.220000000204891,3641481.750000000000000,3605144.899999999906868,10713066.870000001043081
FS( 36 ),3425049.299999999813735,3624460.200000000186265,3543935.349999999627471,10593445.849999999627471
FS( 37 ),3419875.559999999590218,3596873.550000000279397,3539785.549999999813735,10556535.660000000149012
FS( 38 ),3364845.780000000260770,3549917.549999999813735,3567796.700000000186265,10482561.030000001192093
FS( 39 ),3344621.159999999683350,3524091.750000000000000,3587508.249999999534339,10456222.160000000149012
FS( 40 ),3313108.379999999888241,3602743.050000000279397,3598920.199999999720603,10514772.629999998956919
FS( 41 ),3329570.280000000260770,3654394.649999999906868,3731713.799999999813735,10715679.730000000447035
FS( 42 ),3294765.119999999646097,3640307.850000000558794,3719264.399999999906868,10654338.370000001043081
FS( 43 ),3311697.359999999869615,3661438.050000000279397,3670504.250000000000000,10643640.660000000149012
FS( 44 ),3387422.099999999627471,3675524.850000000093132,3731713.799999999813735,10794661.750000000000000
FS( 45 ),3297587.159999999683350,3638547.000000000465661,3697477.950000000186265,10633613.109999999403954
FS( 46 ),3338506.740000000223517,3572221.650000000372529,3685028.550000000279397,10595757.940000001341105
FS( 47 ),3445273.919999999925494,3578091.150000000372529,3706814.999999999534339,10730181.070000000298023
FS( 48 ),3465968.879999999888241,3589830.149999999906868,3715114.600000000093132,10770914.629999998956919
FS( 49 ),3450447.659999999683350,3720133.050000000279397,3694365.599999999627471,10864947.309999998658895
FS( 50 ),3353087.280000000260770,3608025.600000000093132,3630043.700000000186265,10591157.580000001937151
FS( 51 ),3341328.780000000260770,3595112.700000000186265,3631081.149999999906868,10567523.630000000819564
FS( 52 ),3328629.599999999627471,3646177.350000000093132,3701627.750000000000000,10676435.699999999254942
FS( 53 ),3384600.059999999590218,3717198.300000000279397,3777361.599999999627471,10879160.959999999031425
FS( 54 ),3411879.780000000260770,3745958.850000000093132,3796035.700000000186265,10953875.330000001937151
FS( 55 ),3440570.520000000018626,3761806.500000000465661,3804335.300000000279397,11006713.320000000298023
FS( 56 ),3468320.579999999608845,3804653.849999999627471,3841683.500000000000000,11114658.929999999701977
FS( 57 ),3493248.599999999627471,3795849.600000000093132,3818859.600000000093132,11107958.799999998882413
FS( 58 ),3503596.079999999608845,3765915.149999999906868,3807447.650000000372529,11076959.879999998956919
FS( 59 ),3484782.479999999981374,3805240.800000000279397,3819897.049999999813735,11109921.330000000074506
FS( 60 ),3486193.500000000000000,3770610.750000000000000,3843758.399999999441206,11100563.649999998509884
FS( 61 ),3493718.939999999944121,3819327.599999999627471,3883181.500000000000000,11196229.039999999105930
