代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10887908.970000000670552
真實報酬,887908.970000000670552

夏普值報酬,0.080090897000000
夏普值風險,0.037264472920014
夏普值,2.149256133902953

二次趨勢線,666.048826145441467 x^2 + -23824.334036653548537 x + 10000000.000000000000000
二次加權預期報酬,30791.669707272649248
風險,101748.024531355389627
二次加權趨勢值,0.302626707978823
一次趨勢線,6895.137432639860890 x + 10000000.000000000000000
一次預期報酬,6895.137432639860890
一次風險,300476.483327773283236
一次趨勢值,0.022947344684936
找到最佳解世代,2257
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](5),IBM[10](2),KO[14](1),MCD[15](23),UNH[23](4),WMT[28](24),
Stock#,AAPL[0](5),IBM[10](2),KO[14](1),MCD[15](23),UNH[23](4),WMT[28](24),
張數,15820,12259,39308,14174,14311,27117,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,29.000000000000000,54.950000000186265,6.800000000046566,87.080000000074506,6.940000000176951,55.179999999934807,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1624901.199999999953434,1665440.100000000093132,1672562.199999999953434,1689627.880000000121072,1669814.420000000158325,1706256.820000000065193,10028606.619999999180436
FS( 3 ),1593103.000000000000000,1657103.979999999981374,1663521.360000000102445,1678288.680000000167638,1652784.330000000074506,1723340.529999999795109,9968145.879999998956919
FS( 4 ),1525868.000000000000000,1628785.690000000409782,1636005.760000000009313,1639451.919999999925494,1604126.930000000167638,1763473.689999999944121,9797715.990000000223517
FS( 5 ),1533936.199999999953434,1613707.120000000111759,1631681.879999999888241,1636900.600000000093132,1576506.700000000186265,1723069.359999999869615,9715805.860000001266599
FS( 6 ),1558773.600000000093132,1633321.520000000018626,1634433.439999999944121,1654051.140000000130385,1568206.320000000065193,1741508.919999999925494,9790298.940000001341105
FS( 7 ),1581396.199999999953434,1629276.050000000279397,1655659.760000000009313,1664681.640000000130385,1606559.800000000279397,1725238.719999999972060,9862816.170000001788139
FS( 8 ),1540738.800000000046566,1608067.979999999981374,1645046.600000000093132,1631797.960000000195578,1563197.470000000204891,1679139.820000000065193,9667992.630000000819564
FS( 9 ),1574435.399999999906868,1629398.640000000130385,1646225.840000000083819,1653058.960000000195578,1585093.300000000279397,1710053.199999999953434,9798269.339999999850988
FS( 10 ),1536625.599999999860302,1594092.720000000204891,1631288.800000000046566,1632648.400000000139698,1563769.910000000149012,1679410.989999999990687,9637840.419999999925494
FS( 11 ),1529190.199999999953434,1570555.440000000409782,1647798.160000000149012,1665532.080000000074506,1611139.320000000065193,1696494.699999999953434,9720713.900000000372529
FS( 12 ),1531246.800000000046566,1493936.690000000176951,1626571.840000000083819,1641152.800000000046566,1642766.630000000353903,1649853.459999999962747,9585532.219999998807907
FS( 13 ),1523495.000000000000000,1506808.640000000130385,1626964.920000000158325,1670351.240000000223517,1624305.440000000176951,1678055.139999999897555,9629984.380000000819564
FS( 14 ),1604493.400000000139698,1501782.450000000186265,1653301.280000000027940,1678288.680000000167638,1636183.570000000065193,1700019.909999999916181,9774073.290000000968575
FS( 15 ),1573169.800000000046566,1496633.670000000158325,1657232.079999999841675,1689627.880000000121072,1622588.120000000111759,1720628.830000000074506,9759884.379999998956919
FS( 16 ),1581870.799999999813735,1502885.760000000242144,1654087.439999999944121,1707061.900000000139698,1630888.500000000000000,1735543.179999999934807,9812341.580000000074506
FS( 17 ),1477933.400000000139698,1482903.590000000083819,1654480.520000000251457,1713298.460000000195578,1607561.570000000065193,1734187.330000000074506,9670368.870000001043081
FS( 18 ),1488532.800000000046566,1498349.930000000167638,1673348.360000000102445,1734701.199999999953434,1593966.120000000111759,1741508.919999999925494,9730411.330000001937151
FS( 19 ),1539947.800000000046566,1529855.560000000288710,1687106.160000000149012,1754544.800000000046566,1648061.700000000186265,1799539.299999999813735,9959059.320000000298023
FS( 20 ),1525551.600000000093132,1530345.920000000158325,1690250.800000000046566,1766309.219999999972060,1658508.730000000214204,1830452.679999999934807,10001422.950000001117587
FS( 21 ),1494702.600000000093132,1507176.410000000149012,1668238.320000000065193,1756954.380000000121072,1629743.620000000111759,1813097.799999999813735,9869917.129999998956919
FS( 22 ),1524286.000000000000000,1528997.430000000167638,1679244.560000000055879,1721802.860000000102445,1613572.190000000176951,1797098.769999999785796,9865005.810000000521541
FS( 23 ),1528241.000000000000000,1564916.300000000279397,1671776.040000000037253,1710321.919999999925494,1634323.140000000130385,1801166.320000000065193,9910748.720000000670552
FS( 24 ),1487425.399999999906868,1576194.580000000074506,1668238.320000000065193,1635766.680000000167638,1598831.860000000102445,1816894.179999999934807,9783355.020000001415610
FS( 25 ),1503087.200000000186265,1556702.770000000251457,1676493.000000000000000,1644979.780000000027940,1574503.160000000149012,1814182.479999999981374,9769952.390000000596046
FS( 26 ),1502770.799999999813735,1521029.080000000074506,1702043.199999999953434,1658586.820000000065193,1590817.700000000186265,1784624.949999999953434,9759876.550000000745058
FS( 27 ),1491380.399999999906868,1473464.160000000149012,1672562.199999999953434,1666099.040000000270084,1613429.080000000074506,1784082.610000000102445,9701021.490000000223517
FS( 28 ),1482363.000000000000000,1444778.100000000093132,1667059.079999999841675,1654618.100000000093132,1583089.760000000242144,1771337.619999999646097,9603249.659999998286366
FS( 29 ),1486950.799999999813735,1483884.310000000288710,1694574.679999999934807,1671626.900000000139698,1600262.960000000195578,1794658.240000000223517,9731961.890000000596046
FS( 30 ),1528873.800000000046566,1504724.610000000102445,1704401.679999999934807,1689344.400000000139698,1647918.590000000316650,1787065.479999999981374,9862332.560000000521541
FS( 31 ),1552287.400000000139698,1545914.850000000093132,1709511.720000000204891,1681690.440000000176951,1692998.240000000223517,1792760.049999999813735,9975166.700000001117587
FS( 32 ),1522862.200000000186265,1623759.500000000000000,1714228.679999999934807,1660854.660000000149012,1680833.890000000130385,1738797.219999999972060,9941340.150000000372529
FS( 33 ),1519381.800000000046566,1631482.670000000391155,1720517.960000000195578,1651783.300000000046566,1684125.420000000158325,1753440.399999999906868,9960735.550000000745058
FS( 34 ),1532670.599999999860302,1639941.380000000353903,1727200.320000000065193,1667941.660000000149012,1735501.910000000149012,1779743.889999999897555,10083003.760000001639128
FS( 35 ),1498024.800000000046566,1623146.550000000279397,1717373.320000000065193,1657027.680000000167638,1733784.590000000316650,1802793.340000000083819,10032154.280000001192093
FS( 36 ),1520331.000000000000000,1628050.150000000372529,1726021.079999999841675,1659295.520000000018626,1720189.140000000130385,1820148.219999999972060,10074039.110000001266599
