代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10731242.540000000968575
真實報酬,731242.540000000968575

夏普值報酬,0.064424254000000
夏普值風險,0.028633706261324
夏普值,2.249944642584362

二次趨勢線,545.852373793590118 x^2 + -21013.314275236945832 x + 10000000.000000000000000
二次加權預期報酬,23746.580375837449537
風險,91117.846009860484628
二次加權趨勢值,0.260613934763863
一次趨勢線,4162.462281925952084 x + 10000000.000000000000000
一次預期報酬,4162.462281925952084
一次風險,248976.266201636608457
一次趨勢值,0.016718309521739
找到最佳解世代,2157
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](7),MSFT[18](2),UNH[23](1),
Stock#,MCD[15](7),MSFT[18](2),UNH[23](1),
張數,34574,89702,44700,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,53.660000000149012,6.680000000167638,54.000000000465661,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3337827.620000000577420,3310907.500000000000000,3357024.000000000000000,10005760.120000001043081
FS( 3 ),3313971.560000000055879,3240939.940000000409782,3318582.000000000465661,9873494.500000000000000
FS( 4 ),3332295.779999999795109,3266056.500000000000000,3420051.000000000465661,10018404.279999999329448
FS( 5 ),3298759.000000000000000,3207750.200000000186265,3380268.000000000465661,9886778.200000001117587
FS( 6 ),3300487.699999999720603,3187118.740000000223517,3400830.000000000465661,9888437.439999999478459
FS( 7 ),3312242.859999999869615,3232866.760000000242144,3339144.000000000465661,9884254.620000001043081
FS( 8 ),3278706.080000000074506,3137782.639999999664724,3305172.000000000465661,9721661.720000000670552
FS( 9 ),3292189.939999999944121,3209544.240000000223517,3308748.000000000465661,9810483.179999999701977
FS( 10 ),3300487.699999999720603,3297452.200000000186265,3345402.000000000465661,9943342.900000000372529
FS( 11 ),3321232.100000000093132,3309113.460000000428408,3252426.000000000465661,9882772.560000000521541
FS( 12 ),3282163.480000000447035,3263365.440000000409782,3241698.000000000465661,9787227.920000001788139
FS( 13 ),3287349.580000000074506,3244528.020000000484288,3270306.000000000465661,9802184.600000001490116
FS( 14 ),3280434.779999999795109,3222999.540000000037253,3281034.000000000931323,9784469.320000000298023
FS( 15 ),3295647.339999999850988,3234660.800000000279397,3272094.000000000465661,9802403.140000000596046
FS( 16 ),3264876.480000000447035,3301937.300000000279397,3200574.000000000000000,9767388.780000001192093
FS( 17 ),3252429.839999999850988,3231969.740000000223517,3202809.000000000931323,9687209.580000001937151
FS( 18 ),3256232.980000000447035,3253498.220000000670552,3205491.000000000000000,9715223.200000001117587
FS( 19 ),3220621.760000000242144,3288482.000000000000000,3185376.000000000465661,9694480.759999999776483
FS( 20 ),3243094.859999999869615,3306422.399999999906868,3254214.000000000465661,9803732.259999999776483
FS( 21 ),3255887.240000000223517,3394330.360000000335276,3230970.000000000465661,9881188.600000001490116
FS( 22 ),3216127.140000000130385,3272335.639999999664724,3162132.000000000465661,9650595.779999999329448
FS( 23 ),3218547.320000000298023,3260674.380000000353903,3151851.000000000465661,9631073.700000001117587
FS( 24 ),3235488.580000000074506,3213132.320000000298023,3165708.000000000000000,9614329.900000000372529
FS( 25 ),3282509.220000000204891,3245425.040000000037253,3167943.000000000465661,9695878.259999999776483
FS( 26 ),3316391.740000000223517,3279511.800000000279397,3189846.000000000465661,9785750.540000000968575
FS( 27 ),3279743.300000000279397,3301040.279999999795109,3117432.000000000465661,9698216.580000000074506
FS( 28 ),3296338.820000000298023,3334230.020000000484288,3156768.000000000465661,9787337.840000001713634
FS( 29 ),3280780.520000000018626,3361140.620000000111759,3139782.000000000465661,9781704.140000000596046
FS( 30 ),3300487.699999999720603,3373698.899999999906868,3183141.000000000000000,9857328.599999999627471
FS( 31 ),3311551.380000000353903,3374595.919999999925494,3286398.000000000465661,9972546.300000000745058
FS( 32 ),3319849.140000000130385,3356655.520000000484288,3300255.000000000465661,9976760.660000000149012
FS( 33 ),3303599.359999999869615,3364728.700000000186265,3287739.000000000465661,9956068.060000000521541
FS( 34 ),3310514.160000000149012,3386257.180000000167638,3284610.000000000465661,9981382.339999999850988
FS( 35 ),3334715.960000000428408,3406888.639999999664724,3299361.000000000465661,10040966.599999999627471
FS( 36 ),3336444.660000000149012,3380875.060000000055879,3397701.000000000465661,10115021.720000000670552
FS( 37 ),3340593.540000000502914,3367419.760000000242144,3366858.000000000000000,10074872.300000000745058
FS( 38 ),3315354.520000000018626,3361140.620000000111759,3399936.000000000465661,10076432.140000000596046
FS( 39 ),3287349.580000000074506,3396124.399999999906868,3398148.000000000465661,10081622.980000000447035
FS( 40 ),3289769.760000000242144,3436490.300000000279397,3454023.000000000465661,10180284.060000000521541
FS( 41 ),3261073.339999999850988,3388948.240000000223517,3446424.000000000000000,10096446.580000000074506
FS( 42 ),3283892.180000000167638,3445460.500000000000000,3492465.000000000465661,10221818.679999999701977
FS( 43 ),3285275.140000000130385,3418549.899999999906868,3486207.000000000465661,10190033.040000000968575
FS( 44 ),3304636.580000000074506,3422137.979999999981374,3470562.000000000465661,10197337.560000000521541
FS( 45 ),3301870.660000000149012,3399712.479999999981374,3459834.000000000931323,10161418.140000000596046
FS( 46 ),3291498.460000000428408,3392536.320000000298023,3481290.000000000465661,10165325.780000001192093
FS( 47 ),3415273.380000000353903,3410476.720000000670552,3476820.000000000465661,10302571.100000001490116
FS( 48 ),3412853.199999999720603,3432902.220000000670552,3468774.000000000000000,10314530.419999999925494
FS( 49 ),3366524.040000000502914,3398815.460000000428408,3442401.000000000465661,10207741.500000001862645
FS( 50 ),3373784.580000000074506,3381772.080000000540167,3383844.000000000465661,10139401.660000000149012
FS( 51 ),3374476.060000000055879,3413167.779999999795109,3431226.000000000465661,10218870.839999999850988
FS( 52 ),3364449.600000000093132,3547720.779999999795109,3486654.000000000465661,10398825.380000000819564
FS( 53 ),3322615.060000000055879,3522604.220000000670552,3574266.000000000000000,10419486.280000001192093
FS( 54 ),3339902.060000000055879,3617688.339999999850988,3644445.000000000465661,10602036.400000000372529
FS( 55 ),3300833.439999999944121,3602439.000000000000000,3635952.000000000465661,10539225.439999999478459
FS( 56 ),3325380.980000000447035,3632937.680000000167638,3633270.000000000465661,10591589.660000000149012
