代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11191498.589999999850988
真實報酬,1191498.589999999850988

夏普值報酬,0.110449859000000
夏普值風險,0.035673650444617
夏普值,3.096118777400529

二次趨勢線,261.375193792389609 x^2 + 3331.216038363826556 x + 10000000.000000000000000
二次加權預期報酬,25460.982446119480301
風險,59840.615797090780688
二次加權趨勢值,0.425479953823558
一次趨勢線,15778.437865579311620 x + 10000000.000000000000000
一次預期報酬,15778.437865579311620
一次風險,132546.114205420599319
一次趨勢值,0.119041119840947
找到最佳解世代,1994
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](2),CSCO[4](5),MCD[15](8),TRV[22](1),VZ[26](9),
Stock#,AAPL[0](2),CSCO[4](5),MCD[15](8),TRV[22](1),VZ[26](9),
張數,26528,92721,21204,24044,42274,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,54.080000000074506,8.030000000027940,38.720000000204891,20.079999999841675,17.059999999823049,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2013264.000000000000000,2023180.250000000000000,2013994.640000000363216,2022360.919999999925494,2024941.659999999683350,10097741.470000000670552
FS( 3 ),2017508.479999999981374,2027816.300000000046566,2014842.800000000046566,2028612.359999999869615,2002959.179999999934807,10091739.119999999180436
FS( 4 ),2011407.039999999804422,2023180.250000000000000,2026717.040000000270084,2029333.679999999934807,2006341.099999999860302,10096979.109999999403954
FS( 5 ),2010345.920000000158325,2014835.360000000102445,2025020.720000000204891,2018033.000000000000000,1993236.159999999683350,10061471.160000000149012
FS( 6 ),2012202.879999999888241,2011126.520000000251457,2018659.520000000251457,2014426.399999999906868,1988163.279999999795109,10044578.599999999627471
FS( 7 ),2031568.320000000065193,2003708.840000000083819,2094569.840000000316650,2009617.599999999860302,1974212.859999999869615,10113677.459999999031425
FS( 8 ),2033690.560000000055879,2023180.250000000000000,2093085.560000000055879,2006011.000000000000000,1959839.699999999720603,10115807.070000000298023
FS( 9 ),2011141.760000000242144,1995363.949999999953434,2064672.200000000186265,1985814.040000000037253,1945889.279999999795109,10002881.230000000447035
FS( 10 ),1988592.959999999962747,1979601.380000000121072,2069125.040000000270084,1987497.119999999646097,1948002.979999999748543,9972819.480000000447035
FS( 11 ),1996286.080000000074506,1994436.740000000223517,2069549.120000000111759,2008655.840000000083819,1957726.000000000000000,10026653.780000001192093
FS( 12 ),2013794.560000000055879,2005563.260000000009313,2063399.960000000195578,2018513.879999999888241,1974212.859999999869615,10075484.519999999552965
FS( 13 ),2013264.000000000000000,2005563.260000000009313,2037743.120000000111759,2000480.879999999888241,1959839.699999999720603,10016890.959999999031425
FS( 14 ),2003713.920000000158325,2024107.459999999962747,2048345.120000000111759,2001202.199999999953434,1995772.599999999860302,10073141.300000000745058
FS( 15 ),2019365.440000000176951,2006490.469999999972060,2024384.600000000093132,2014426.399999999906868,1983090.399999999674037,10047757.310000000521541
FS( 16 ),2043505.920000000158325,2000000.000000000000000,2039439.440000000409782,2016349.919999999925494,1987317.799999999813735,10086613.080000000074506
FS( 17 ),2065524.160000000149012,2071395.169999999925494,2033714.360000000102445,2020437.399999999906868,1996195.339999999850988,10187266.429999999701977
FS( 18 ),2045628.160000000149012,2069540.750000000000000,2032230.080000000307336,2006011.000000000000000,1987317.799999999813735,10140727.789999999105930
FS( 19 ),2036873.920000000158325,2041724.449999999953434,2039015.360000000102445,2007453.639999999664724,2016064.119999999646097,10141131.490000000223517
FS( 20 ),2034486.399999999906868,2070467.959999999962747,2061915.680000000167638,2019475.639999999664724,2004650.139999999897555,10190995.820000000298023
FS( 21 ),2034221.120000000344589,2078812.850000000093132,2078666.840000000316650,2046164.479999999748543,2010991.239999999757856,10248856.529999999329448
FS( 22 ),2052790.719999999972060,2141863.129999999888241,2075910.320000000298023,2029093.239999999757856,2018600.559999999823049,10318257.970000000670552
FS( 23 ),2056239.360000000102445,2131663.820000000298023,2069337.080000000307336,2035344.679999999934807,2021559.739999999757856,10314144.679999999701977
FS( 24 ),2041914.239999999990687,2140935.919999999925494,2070821.360000000102445,2043279.199999999953434,2034241.939999999711290,10331192.660000000149012
FS( 25 ),2015386.239999999990687,2105701.940000000409782,2075274.200000000186265,2048568.879999999888241,2030860.019999999785796,10275791.280000001192093
FS( 26 ),1983817.920000000158325,2118682.879999999888241,2057038.760000000242144,2043760.079999999841675,2034241.939999999711290,10237541.580000000074506
FS( 27 ),1983817.920000000158325,2127027.770000000484288,2079727.040000000270084,2037268.199999999953434,2038046.599999999860302,10265887.530000001192093
FS( 28 ),2009815.360000000102445,2143717.549999999813735,2085452.120000000111759,2063476.159999999683350,2028323.579999999608845,10330784.769999999552965
FS( 29 ),1983817.920000000158325,2100138.679999999701977,2108352.440000000409782,2043519.639999999664724,2006763.839999999850988,10242592.519999999552965
FS( 30 ),1969227.520000000251457,2082521.690000000176951,2105383.880000000353903,2050973.279999999795109,1989854.239999999757856,10197960.610000001266599
FS( 31 ),1977185.920000000158325,2118682.879999999888241,2122771.160000000149012,2055782.079999999841675,1998309.040000000037253,10272731.080000000074506
FS( 32 ),1962860.800000000046566,2122391.719999999739230,2138038.040000000037253,2065159.239999999757856,1983513.139999999897555,10271962.939999999478459
FS( 33 ),1966840.000000000000000,2135372.660000000149012,2138038.040000000037253,2086558.399999999906868,1991122.459999999962747,10317931.559999998658895
FS( 34 ),1989388.800000000046566,2152062.440000000409782,2125739.720000000204891,2084154.000000000000000,2012259.459999999962747,10363604.420000001788139
FS( 35 ),2012998.719999999972060,2169679.429999999701977,2113441.400000000372529,2077421.679999999934807,2028323.579999999608845,10401864.809999998658895
FS( 36 ),2015120.959999999962747,2180805.950000000186265,2106020.000000000000000,2089203.239999999757856,2025787.139999999897555,10416937.290000000968575
FS( 37 ),1988592.959999999962747,2178951.530000000260770,2101991.240000000223517,2119017.799999999813735,2005072.879999999888241,10393626.410000000149012
FS( 38 ),2151740.160000000149012,2163188.959999999962747,2117046.080000000074506,2130078.040000000037253,1956457.779999999795109,10518511.019999999552965
FS( 39 ),2167656.959999999962747,2132591.030000000260770,2135917.640000000130385,2123345.719999999739230,1942084.619999999646097,10501595.970000000670552
FS( 40 ),2251485.440000000409782,2134445.450000000186265,2127011.960000000428408,2155324.240000000223517,1969985.459999999962747,10638252.550000000745058
FS( 41 ),2244853.440000000409782,2147426.389999999664724,2152244.720000000204891,2185619.679999999701977,1977172.040000000037253,10707316.269999999552965
FS( 42 ),2236364.479999999981374,2142790.339999999850988,2149700.240000000223517,2177925.599999999627471,1975481.079999999608845,10682261.740000000223517
FS( 43 ),2241670.080000000074506,2133518.240000000223517,2140794.560000000055879,2183936.599999999627471,1996195.339999999850988,10696114.820000000298023
FS( 44 ),2245649.280000000260770,2127027.770000000484288,2150760.440000000409782,2188024.080000000074506,1991967.939999999711290,10703429.509999999776483
FS( 45 ),2277482.879999999888241,2128882.190000000409782,2144611.280000000260770,2179608.679999999701977,2003381.919999999925494,10733966.950000001117587
FS( 46 ),2252811.840000000316650,2106629.150000000372529,2140582.520000000484288,2161094.799999999813735,2006763.839999999850988,10667882.150000000372529
FS( 47 ),2244853.440000000409782,2120537.299999999813735,2161998.560000000055879,2189707.159999999217689,2033396.459999999962747,10750492.920000001788139
FS( 48 ),2228406.080000000074506,2134445.450000000186265,2161786.520000000484288,2193794.639999999664724,2049883.319999999832362,10768316.010000001639128
FS( 49 ),2219121.280000000260770,2134445.450000000186265,2182566.440000000409782,2195237.279999999329448,2049460.579999999608845,10780831.029999999329448
FS( 50 ),2246710.399999999906868,2150208.020000000484288,2181082.160000000149012,2213029.839999999850988,2035932.899999999674037,10826963.320000000298023
FS( 51 ),2250159.040000000037253,2119610.089999999850988,2195288.840000000316650,2233948.120000000111759,2022827.959999999962747,10821834.050000000745058
FS( 52 ),2250689.600000000093132,2114974.040000000037253,2184686.840000000316650,2227696.679999999701977,2029591.799999999813735,10807638.960000000894070
FS( 53 ),2231589.440000000409782,2242001.809999999590218,2173448.720000000204891,2220964.360000000335276,2027478.099999999860302,10895482.430000001564622
FS( 54 ),2264484.160000000149012,2259618.799999999813735,2187019.280000000260770,2226013.599999999627471,2074402.239999999757856,11011538.080000000074506
FS( 55 ),2291277.440000000409782,2257764.379999999888241,2164755.080000000074506,2230581.959999999962747,2077784.159999999683350,11022163.019999999552965
FS( 56 ),2291808.000000000000000,2236438.549999999813735,2152880.840000000316650,2228177.559999999590218,2056647.159999999683350,10965952.109999999403954
FS( 57 ),2297909.440000000409782,2269818.110000000335276,2174720.960000000428408,2232745.919999999925494,2078629.639999999897555,11053824.070000002160668
FS( 58 ),2301358.080000000074506,2260546.009999999776483,2172388.520000000484288,2236352.519999999552965,2090466.359999999869615,11061111.489999998360872
FS( 59 ),2327355.520000000018626,2273526.950000000186265,2162846.720000000204891,2232745.919999999925494,2102725.820000000298023,11099200.930000001564622
FS( 60 ),2371126.719999999739230,2291143.940000000409782,2170480.160000000149012,2247893.639999999664724,2097652.939999999478459,11178297.400000000372529
FS( 61 ),2364760.000000000000000,2301343.250000000000000,2148003.919999999925494,2247172.319999999366701,2102725.820000000298023,11164005.309999998658895
FS( 62 ),2408000.640000000130385,2288362.309999999590218,2148852.080000000074506,2262560.479999999515712,2101880.339999999850988,11209655.849999997764826
FS( 63 ),2398981.120000000111759,2282799.049999999813735,2150760.440000000409782,2246931.879999999888241,2112026.099999999627471,11191498.589999999850988
