代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10884490.900000000372529
真實報酬,884490.900000000372529

夏普值報酬,0.079749090000000
夏普值風險,0.032854796772481
夏普值,2.427319534260460

二次趨勢線,152.171257164513264 x^2 + 7073.590084452715018 x + 10000000.000000000000000
二次加權預期報酬,20160.318200600857381
風險,94661.787146595801460
二次加權趨勢值,0.212972085234140
一次趨勢線,14434.432291480323329 x + 10000000.000000000000000
一次預期報酬,14434.432291480323329
一次風險,118351.982530486100586
一次趨勢值,0.121961896901576
找到最佳解世代,2036
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
KO[14](2),TRV[22](1),
Stock#,KO[14](2),TRV[22](1),
張數,110180,37585,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,31.599999999627471,67.450000000186265,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5029748.599999999627471,4966925.200000000186265,9996673.800000000745058
FS( 3 ),5024239.599999999627471,4987221.100000000558794,10011460.699999999254942
FS( 4 ),5007712.599999999627471,4953770.450000000186265,9961483.050000000745058
FS( 5 ),4988982.000000000000000,4942119.100000000558794,9931101.100000001490116
FS( 6 ),4940502.799999999813735,4924454.150000000372529,9864956.949999999254942
FS( 7 ),5088144.000000000000000,4956401.400000000372529,10044545.400000000372529
FS( 8 ),5073820.599999999627471,4988348.650000000372529,10062169.250000000000000
FS( 9 ),5092551.199999999254942,4998872.450000000186265,10091423.649999998509884
FS( 10 ),5035257.599999999627471,5001127.549999999813735,10036385.149999998509884
FS( 11 ),4991185.599999999627471,5043222.750000000000000,10034408.349999999627471
FS( 12 ),5003305.399999999441206,5071787.350000000558794,10075092.750000000000000
FS( 13 ),5019832.399999999441206,4996241.500000000000000,10016073.899999998509884
FS( 14 ),5016527.000000000000000,4936105.500000000931323,9952632.500000000000000
FS( 15 ),5014323.399999999441206,5050363.900000000372529,10064687.300000000745058
FS( 16 ),5060599.000000000000000,5070283.950000000186265,10130882.949999999254942
FS( 17 ),5071617.000000000000000,5072163.200000000186265,10143780.199999999254942
FS( 18 ),5138826.799999999813735,5073290.750000000000000,10212117.550000000745058
FS( 19 ),5135521.399999999441206,5124782.200000000186265,10260303.599999999627471
FS( 20 ),5132215.999999999068677,5145453.950000000186265,10277669.949999999254942
FS( 21 ),5163066.399999999441206,5155226.049999999813735,10318292.449999999254942
FS( 22 ),5147641.199999999254942,5187549.150000000372529,10335190.349999999627471
FS( 23 ),5131114.199999999254942,5142071.299999999813735,10273185.500000000000000
FS( 24 ),5088144.000000000000000,5134178.450000000186265,10222322.449999999254942
FS( 25 ),5121197.999999999068677,5131171.650000000372529,10252369.649999998509884
FS( 26 ),5120096.199999999254942,5126661.450000000186265,10246757.649999998509884
FS( 27 ),5128910.599999999627471,5107117.250000000000000,10236027.849999999627471
FS( 28 ),5142132.200000000186265,5081183.600000000558794,10223315.800000000745058
FS( 29 ),5138826.799999999813735,5091331.550000000745058,10230158.350000001490116
FS( 30 ),5146539.399999999441206,5122151.250000000000000,10268690.649999998509884
FS( 31 ),5149844.799999999813735,5176273.650000000372529,10326118.449999999254942
FS( 32 ),5178491.599999999627471,5141319.599999999627471,10319811.199999999254942
FS( 33 ),5172982.599999999627471,5199576.350000000558794,10372558.949999999254942
FS( 34 ),5209342.000000000000000,5106741.400000000372529,10316083.400000000372529
FS( 35 ),5231377.999999999068677,5221751.500000000000000,10453129.500000000000000
FS( 36 ),5222563.599999999627471,5134554.300000000745058,10357117.900000000372529
FS( 37 ),5311809.399999999441206,5187173.299999999813735,10498982.699999999254942
