代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11034384.240000000223517
真實報酬,1034384.240000000223517

夏普值報酬,0.094738424000000
夏普值風險,0.035768388308929
夏普值,2.648663484128787

二次趨勢線,356.578762809068792 x^2 + -4046.115199420352837 x + 10000000.000000000000000
二次加權預期報酬,26144.220051747470279
風險,84703.180792462968384
二次加權趨勢值,0.308656886402002
一次趨勢線,12934.895489313839789 x + 10000000.000000000000000
一次預期報酬,12934.895489313839789
一次風險,182229.664347326906864
一次趨勢值,0.070981283621640
找到最佳解世代,2215
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
JNJ[12](1),MSFT[18](10),VZ[26](8),
Stock#,JNJ[12](1),MSFT[18](10),VZ[26](8),
張數,29563,65863,64951,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,104.750000000000000,6.569999999832362,47.680000000167638,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3331559.219999999739230,3278666.709999999962747,3291764.360000000335276,9901991.289999999105930
FS( 3 ),3317664.609999999869615,3284594.379999999888241,3302156.520000000484288,9904416.510000001639128
FS( 4 ),3337176.189999999944121,3289204.789999999571592,3302156.520000000484288,9928538.500000000000000
FS( 5 ),3333037.369999999646097,3318843.139999999664724,3320342.799999999813735,9972224.309999998658895
FS( 6 ),3362009.109999999869615,3297766.979999999981374,3317744.760000000242144,9977521.849999999627471
FS( 7 ),3390093.959999999962747,3360336.830000000074506,3347622.220000000204891,10098054.009999999776483
FS( 8 ),3381225.060000000055879,3362312.719999999739230,3322291.330000000074506,10065830.109999999403954
FS( 9 ),3377086.240000000223517,3392609.699999999720603,3343075.649999999906868,10112772.589999999850988
FS( 10 ),3357279.030000000260770,3364288.609999999869615,3308651.620000000111759,10030220.260000001639128
FS( 11 ),3383294.469999999739230,3413685.859999999869615,3327487.410000000149012,10124468.740000000223517
FS( 12 ),3365261.040000000037253,3326746.699999999720603,3306053.580000000074506,9998062.320000000298023
FS( 13 ),3358165.919999999925494,3346505.600000000093132,3272928.570000000298023,9977601.089999999850988
FS( 14 ),3336289.299999999813735,3314232.729999999981374,3223565.810000000521541,9874088.839999999850988
FS( 15 ),3330081.069999999832362,3333991.629999999888241,3225514.339999999850988,9889588.039999999105930
