代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11590588.529999999329448
真實報酬,1590588.529999999329448

夏普值報酬,0.150358853000000
夏普值風險,0.049507385755591
夏普值,3.037099428806315

二次趨勢線,156.110981918442263 x^2 + 18072.612923487155058 x + 10000000.000000000000000
二次加權預期報酬,31290.009392581923748
風險,155693.125988132407656
二次加權趨勢值,0.200972324205033
一次趨勢線,25506.937479729105689 x + 10000000.000000000000000
一次預期報酬,25506.937479729105689
一次風險,170968.183208194677718
一次趨勢值,0.149191136041191
找到最佳解世代,2191
找到最佳解實驗#,1
找到最佳解次數,28

stock[index](rank)
投資組合檔數,4
HD[9](8),JPM[13](9),MCD[15](1),V[25](3),
Stock#,HD[9](8),JPM[13](9),MCD[15](1),V[25](3),
張數,22110,40683,26746,36252,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,22.300000000279397,29.649999999906868,51.379999999888241,62.080000000074506,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2575395.100000000558794,2545564.959999999962747,2568737.220000000204891,2523926.320000000298023,10213623.600000001490116
FS( 3 ),2578048.300000000279397,2550040.089999999850988,2567934.839999999850988,2552202.880000000353903,10248226.110000001266599
FS( 4 ),2529848.500000000465661,2502034.149999999906868,2536909.479999999515712,2507250.399999999906868,10076042.529999999329448
FS( 5 ),2574289.600000000558794,2569567.929999999701977,2588529.259999999776483,2556915.640000000130385,10289302.429999999701977
FS( 6 ),2519899.000000000465661,2529698.589999999850988,2552422.160000000149012,2523201.279999999795109,10125221.029999999329448
FS( 7 ),2531396.200000000186265,2549226.429999999701977,2547607.879999999888241,2546040.040000000037253,10174270.550000000745058
FS( 8 ),2552400.700000000186265,2545158.129999999888241,2605379.239999999757856,2565253.600000000093132,10268191.669999999925494
FS( 9 ),2536702.600000000558794,2537835.189999999944121,2593611.000000000000000,2538064.600000000093132,10206213.390000000596046
FS( 10 ),2568762.100000000558794,2586654.790000000037253,2626241.119999999646097,2556190.600000000093132,10337848.609999999403954
FS( 11 ),2605022.500000000000000,2609437.270000000018626,2639614.119999999646097,2573591.560000000055879,10427665.449999999254942
FS( 12 ),2607012.400000000372529,2548819.599999999627471,2616880.020000000018626,2572504.000000000000000,10345216.019999999552965
FS( 13 ),2545325.500000000465661,2479251.669999999925494,2595750.679999999701977,2530089.160000000149012,10150417.009999999776483
FS( 14 ),2577606.100000000093132,2500000.000000000000000,2618484.780000000260770,2565978.640000000130385,10262069.519999999552965
FS( 15 ),2560360.300000000279397,2478031.179999999701977,2599762.580000000074506,2546765.080000000074506,10184919.140000000596046
FS( 16 ),2568541.000000000465661,2467046.770000000018626,2604576.859999999869615,2572141.479999999981374,10212306.110000001266599
FS( 17 ),2572299.700000000186265,2449959.909999999683350,2602169.720000000204891,2546402.560000000055879,10170831.890000000596046
