代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11433150.390000000596046
真實報酬,1433150.390000000596046

夏普值報酬,0.134615039000000
夏普值風險,0.041770113452676
夏普值,3.222759716765274

二次趨勢線,452.555861485831770 x^2 + -7999.173619098382005 x + 10000000.000000000000000
二次加權預期報酬,31524.038283997586404
風險,49819.959019795576751
二次加權趨勢值,0.632759217474903
一次趨勢線,14231.337592056803260 x + 10000000.000000000000000
一次預期報酬,14231.337592056803260
一次風險,223479.296888876764569
一次趨勢值,0.063680787393622
找到最佳解世代,3335
找到最佳解實驗#,1
找到最佳解次數,39

stock[index](rank)
投資組合檔數,5
AXP[1](3),CAT[3](1),IBM[10](10),INTC[11](2),MCD[15](22),
Stock#,AXP[1](3),CAT[3](1),IBM[10](10),INTC[11](2),MCD[15](22),
FS( 39 ),2069685.109999999869615,2198403.260000000242144,2007845.479999999981374,2044566.199999999720603,2028822.260000000009313,10349322.309999998658895
FS( 40 ),2080947.350000000093132,2201763.030000000260770,2017342.639999999897555,2061622.399999999906868,1991041.729999999981374,10352717.150000000372529
FS( 41 ),2099717.750000000000000,2201939.860000000335276,2004955.039999999804422,2065473.800000000046566,2000129.830000000307336,10372216.280000001192093
FS( 42 ),2114968.700000000186265,2214494.790000000037253,2004955.039999999804422,2081429.599999999860302,2044791.350000000325963,10460639.480000000447035
FS( 43 ),2122476.860000000335276,2205299.629999999888241,1996971.919999999925494,2095184.599999999860302,2034275.120000000344589,10454208.130000000819564
FS( 44 ),2124353.900000000372529,2205476.459999999962747,2018719.039999999804422,2148003.799999999813735,2037910.360000000335276,10534463.559999998658895
FS( 45 ),2145235.970000000670552,2219446.030000000260770,2020370.719999999739230,2166710.600000000093132,2036612.060000000288710,10588375.380000000819564
FS( 46 ),2135381.509999999776483,2241196.120000000111759,2016241.519999999785796,2164509.800000000279397,2041156.110000000335276,10598485.059999998658895
FS( 47 ),2138900.959999999962747,2235183.900000000372529,2019544.879999999888241,2174963.600000000093132,2061799.080000000307336,10630392.419999999925494
FS( 48 ),2148051.530000000260770,2244555.890000000130385,2016241.519999999785796,2180465.600000000093132,2072185.479999999981374,10661500.019999999552965
FS( 49 ),2151336.349999999627471,2243671.740000000223517,2028766.759999999543652,2193120.200000000186265,2078936.640000000130385,10695831.690000001341105
FS( 50 ),2156028.950000000186265,2266836.470000000204891,2044044.799999999813735,2181566.000000000000000,2084908.820000000298023,10733385.039999999105930
