代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11467789.329999998211861
真實報酬,1467789.329999998211861

夏普值報酬,0.138078933000000
夏普值風險,0.042647398180583
夏普值,3.237687148353765

二次趨勢線,53.986223787849596 x^2 + 21705.768783522486046 x + 10000000.000000000000000
二次加權預期報酬,26132.639134126155113
風險,72307.480446211178787
二次加權趨勢值,0.361409898019693
一次趨勢線,24195.718763591336028 x + 10000000.000000000000000
一次預期報酬,24195.718763591336028
一次風險,75851.964428700637654
一次趨勢值,0.318986053239726
找到最佳解世代,1840
找到最佳解實驗#,1
找到最佳解次數,39

stock[index](rank)
投資組合檔數,5
CSCO[4](1),CVX[5](8),PG[21](9),TRV[22](3),VZ[26](13),
Stock#,CSCO[4](1),CVX[5](8),PG[21](9),TRV[22](3),VZ[26](13),
張數,46565,18068,21910,17040,35701,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,33.249999999767169,53.080000000074506,55.199999999953434,15.199999999953434,29.979999999981374,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1912457.799999999813735,1961695.839999999850988,1985977.599999999860302,1964045.600000000093132,2007140.199999999953434,9831317.039999999105930
FS( 3 ),1998603.049999999813735,2002348.839999999850988,2026511.099999999860302,2022322.400000000139698,2012138.339999999850988,10061923.730000000447035
FS( 4 ),2012106.899999999906868,2028366.760000000242144,2018404.400000000139698,2015847.199999999953434,2024990.699999999953434,10099715.960000000894070
FS( 5 ),2028404.649999999906868,2019513.439999999944121,2025853.799999999813735,2008008.800000000046566,2084254.360000000102445,10166035.049999998882413
FS( 6 ),2017229.049999999813735,2046615.439999999944121,1992769.699999999953434,2022322.400000000139698,2036772.029999999795109,10115708.619999999180436
FS( 7 ),2013503.849999999860302,2049867.680000000167638,1997589.899999999906868,2049416.000000000000000,2056407.580000000074506,10166785.009999999776483
FS( 8 ),2025145.099999999860302,2033425.800000000279397,2010735.899999999906868,2052824.000000000000000,2071402.000000000000000,10193532.800000000745058
