代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10865127.869999999180436
真實報酬,865127.869999999180436

夏普值報酬,0.077812787000000
夏普值風險,0.027239534556532
夏普值,2.856612209673088

二次趨勢線,103.110015116656371 x^2 + 7673.087838878568618 x + 10000000.000000000000000
二次加權預期報酬,16540.549138911017508
風險,105083.287960863875924
二次加權趨勢值,0.157404183480357
一次趨勢線,12660.735081730768798 x + 10000000.000000000000000
一次預期報酬,12660.735081730768798
一次風險,115582.985847325122450
一次趨勢值,0.109538051720298
找到最佳解世代,2036
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
KO[14](4),TRV[22](2),VZ[26](1),WMT[28](5),
Stock#,KO[14](4),TRV[22](2),VZ[26](1),WMT[28](5),
張數,71839,42793,65053,42502,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,2.800000000279397,32.939999999944121,13.209999999962747,32.359999999869615,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2484913.810000000521541,2482454.869999999646097,2515612.720000000204891,2508075.379999999888241,9991056.780000001192093
FS( 3 ),2487068.979999999981374,2503423.439999999944121,2537080.209999999962747,2524651.159999999683350,10052223.789999999105930
FS( 4 ),2469827.620000000577420,2438806.010000000242144,2516913.779999999795109,2506375.299999999813735,9931922.710000000894070
FS( 5 ),2471264.400000000372529,2433670.849999999627471,2528623.319999999832362,2544202.080000000074506,9977760.650000000372529
FS( 6 ),2488505.760000000242144,2443513.240000000223517,2551391.870000000111759,2540376.899999999906868,10023787.769999999552965
FS( 7 ),2497126.439999999944121,2465337.669999999925494,2543585.510000000242144,2553552.520000000018626,10059602.139999998733401
FS( 8 ),2520114.919999999925494,2465337.669999999925494,2557897.169999999925494,2579053.719999999739230,10122403.480000000447035
FS( 9 ),2523706.870000000577420,2499572.069999999832362,2568305.649999999906868,2592654.359999999869615,10184238.949999999254942
FS( 10 ),2522270.090000000316650,2522680.290000000037253,2567655.120000000111759,2596054.520000000018626,10208660.020000001415610
