代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,15573685.043749999000
真實報酬,5573685.043749999300

夏普值報酬,0.548668504375
夏普值風險,0.145197935924
夏普值,3.778762424430

預期報酬,48794.956127043843
風險,466223.255927148510
起點值,0.104660064694
找到最佳解世代,2986
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,5
1301(3),2347(18),2412(25),2454(26),3231(42),
Stock#,1301(3),2347(18),2412(25),2454(26),3231(42),
張數,74,111,45,12,195,
分配資金,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,
剩餘資金,634.959000000000,5822.340499999767,14925.293750000234,84714.601999999999,354.560000000000,
FS( 1 ),1997154.959000000000,1997162.340499999900,1997175.293750000000,1997274.602000000000,1997154.560000000100,9985921.755249999500
FS( 2 ),2071570.339499999800,2090018.779999999800,1965107.382500000300,2041377.884000000100,2067914.941250000100,10235989.327250000000
FS( 3 ),2216705.262999999800,2109910.368500000300,1961075.303750000200,2166700.865000000200,2211576.413750000300,10665968.214000002000
FS( 4 ),2168081.379999999400,1977299.778499999800,1941810.927499999800,2049501.775999999800,2087328.653750000100,10224022.515749998000
FS( 5 ),2200497.301999999700,1977299.778499999800,1953459.155000000300,2089882.298000000000,2036853.001250000200,10257991.534750000000
FS( 6 ),2170291.556499999500,1945252.219250000100,1972723.531250000500,2073753.983000000000,2003849.690000000200,10165870.980000000000
FS( 7 ),2209338.007999999900,1913204.659999999900,2003636.135000000200,2114134.504999999900,2056266.713750000300,10296580.021749999000
FS( 8 ),2209338.007999999900,1973984.513749999500,2018868.432500000100,2219267.224999999600,2036853.001250000200,10458311.180499999000
FS( 9 ),2174711.909500000100,2022608.396749999600,1999604.056249999900,2089882.298000000000,2091211.396250000000,10378018.056750000000
FS( 10 ),2089988.477000000200,1961828.542999999400,1976755.610000000300,1984749.578000000000,1953374.037499999900,9966696.245500000200
FS( 11 ),2078200.868999999900,2095544.221249999700,1988403.837499999900,2029192.045999999900,1897074.271249999800,10088415.244999999000
FS( 12 ),2131245.104999999500,2106595.103749999800,1988403.837499999900,2004939.838999999700,1908722.498750000000,10139906.383999998000
FS( 13 ),2184289.340999999500,2170690.222249999600,1984371.758750000000,2106010.612999999900,1912605.241250000000,10357967.176250000000
FS( 14 ),2131245.104999999500,2127591.780499999900,1984371.758750000000,2057506.199000000000,1844657.247500000100,10145372.090750000000
FS( 15 ),2188709.693999999200,2174005.487000000200,1984371.758750000000,2025249.568999999900,1852422.732499999900,10224759.241250001000
FS( 16 ),2209338.007999999900,2077862.809249999700,1976755.610000000300,2122258.397000000300,1848539.989999999800,10234754.814250000000
FS( 17 ),2209338.007999999900,2174005.487000000200,1980339.679999999900,2106010.612999999900,1928136.211249999900,10397829.999249998000
FS( 18 ),2182079.164500000000,2204947.957999999200,1991987.907500000400,2073753.983000000000,1972787.750000000000,10425556.763000000000
FS( 19 ),2145242.889500000000,2159639.339749999800,1972723.531250000500,2073753.983000000000,1916487.983749999900,10267847.727250000000
FS( 20 ),2177658.811500000300,2138642.663000000200,1984371.758750000000,2150572.549999999800,1980553.234999999900,10431799.018250000000
FS( 21 ),2200497.301999999700,2124276.515750000700,1972723.531250000500,2292023.845999999900,2108683.737499999800,10698204.932500001000
FS( 22 ),2223335.792499999500,2272358.341250000100,1976755.610000000300,2308152.160999999800,2147511.162500000600,10928113.067249998000
FS( 23 ),2253541.538000000200,2347504.342249999800,1984371.758750000000,2372904.358999999700,2188279.958749999800,11146601.956750000000
FS( 24 ),2182079.164500000000,2204947.957999999200,1972723.531250000500,2287961.899999999900,2108683.737499999800,10756396.291249998000
FS( 25 ),2218915.439499999900,2353029.783499999900,1991987.907500000400,2437537.087999999500,2188279.958749999800,11189750.177250000000
FS( 26 ),2209338.007999999900,2349714.518749999800,1976755.610000000300,2429532.665000000000,2147511.162500000600,11112851.964250002000
FS( 27 ),2218915.439499999900,2254676.929250000500,1988403.837499999900,2316276.052999999800,2056266.713750000300,10834538.973000001000
FS( 28 ),2213758.361000000000,2217103.928750000000,1999604.056249999900,2368842.412999999700,2098976.881250000600,10898285.640250001000
FS( 29 ),2209338.007999999900,2303300.812250000000,2011252.283750000200,2413284.881000000100,2131980.192500000400,11069156.177500000000
FS( 30 ),2168081.379999999400,2240310.782000000100,2007668.213750000100,2356656.574999999700,2083445.911250000100,10856162.862000000000
FS( 31 ),2186499.517499999600,2257992.193999999700,2026932.589999999900,2441599.034000000000,2147511.162500000600,11060534.498000000000
FS( 32 ),2154083.595499999800,2245836.223249999800,2034548.738750000300,2445660.980000000000,2120331.964999999900,11000461.502499999000
FS( 33 ),2172501.732999999500,2245836.223249999800,2057397.185000000500,2437537.087999999500,2116449.222500000100,11029721.451749999000
FS( 34 ),2190919.870499999700,2286724.488500000000,2076661.561250000300,2445660.980000000000,2120331.964999999900,11120298.865249999000
FS( 35 ),2195340.223499999800,2333138.194999999800,2092341.867500000200,2542669.807999999700,2128097.450000000700,11291587.544000002000
FS( 36 ),2140822.536500000400,2251361.664500000000,2130870.620000000600,2437537.087999999500,2003849.690000000200,10964441.598999999000
FS( 37 ),2143032.713000000000,2263517.635249999800,2130870.620000000600,2465851.241000000400,2071797.683750000100,11075069.893000001000
FS( 38 ),2168081.379999999400,2419335.078499999800,2130870.620000000600,2514355.655000000300,2131980.192500000400,11364622.926000001000
FS( 39 ),2227756.145499999600,2529843.903499999500,2130870.620000000600,2494165.393999999900,2196045.443750000600,11578681.506749999000
FS( 40 ),2232176.498499999800,2494481.079500000000,2130870.620000000600,2494165.393999999900,2199928.186250000300,11551621.778250001000
FS( 41 ),2269012.773500000100,2564101.639249999100,2130870.620000000600,2445660.980000000000,2170807.617500000200,11580453.630249999000
FS( 42 ),2274169.852000000000,2667979.934749999500,2130870.620000000600,2453784.872000000400,2322234.575000000700,11849039.853750004000
FS( 43 ),2425935.304999999700,2581783.051250000000,2130870.620000000600,2502289.285999999800,2481427.017500000100,12122305.279750001000
FS( 44 ),2407517.167499999500,2553050.756750000200,2130870.620000000600,2534545.916000000200,2512488.957499999600,12138473.417750001000
FS( 45 ),2448773.795499999500,2616040.787000000000,2130870.620000000600,2558798.122999999700,2473661.532500000200,12228144.858000001000
FS( 46 ),2485610.070499999900,2590623.757249999800,2130870.620000000600,2554855.646000000200,2553257.753750000100,12315217.847500000000
FS( 47 ),2540864.482999999500,2578467.786499999900,2130870.620000000600,2595236.168000000100,2636736.717500000300,12482175.774999999000
FS( 48 ),2504028.207999999600,2587308.492500000200,2130870.620000000600,2562860.069000000100,2784280.932500000100,12569348.322000001000
FS( 49 ),2444353.442499999400,2581783.051250000000,2130870.620000000600,2575045.906999999200,2663915.915000000000,12395968.935750000000
FS( 50 ),2467191.932999999700,2555260.933249999800,2189111.757500000300,2518417.600999999800,2529961.298750000100,12259943.523499999000
FS( 51 ),2549705.188999999800,2633722.198999999600,2165815.302500000200,2575045.906999999200,2704684.711250000200,12628973.308749998000
FS( 52 ),2549705.188999999800,2633722.198999999600,2125942.523750000200,2680178.626999999900,2891056.351250000300,12880604.890000001000
FS( 53 ),2545284.836000000100,2683451.170250000000,2122358.453750000300,2829753.815000000400,2935707.889999999200,13116556.164999999000
FS( 54 ),2526866.698499999900,2726549.612000000200,2116086.331250000300,2781249.401000000100,2863877.153750000100,13014629.196500001000
FS( 55 ),2485610.070499999900,2651403.611000000000,2089205.806250000100,2704430.833999999800,2830873.842500000300,12761524.164250001000
FS( 56 ),2416357.873499999800,2540894.785999999800,2056053.158750000400,2619488.375000000000,2848346.183749999900,12481140.377000000000
FS( 57 ),2352262.754999999400,2485640.373499999800,2069493.421249999900,2663930.842999999900,2906587.321250000000,12477914.713999998000
FS( 58 ),2389099.029999999800,2546420.227250000000,2043060.905000000300,2635616.690000000400,3081310.733749999200,12695507.585999999000
FS( 59 ),2481189.717499999800,2596149.198499999900,2036340.773749999900,2663930.842999999900,3073545.248750000300,12851155.781500001000
FS( 60 ),2444353.442499999400,2540894.785999999800,2036340.773749999900,2676116.681000000300,3046366.051249999600,12744071.734499998000
FS( 61 ),2467191.932999999700,2610515.345749999900,2082485.675000000300,2538607.862000000200,3054131.536250000400,12752932.352000000000
FS( 62 ),2485610.070499999900,2685661.346750000000,2099061.998750000300,2546731.754000000200,2982300.799999999800,12799365.969999999000
FS( 63 ),2518025.992499999700,2697817.317499999900,2079349.613750000300,2457727.348999999900,2990066.285000000100,12742986.557750000000
FS( 64 ),2577700.757999999900,2798380.348249999800,2092789.876250000200,2623550.321000000000,3149258.727499999600,13241680.030999999000
FS( 65 ),2623377.738999999600,2760807.347750000200,2079349.613750000300,2583050.330000000100,3102665.817500000400,13149250.848000001000
FS( 66 ),2623377.738999999600,2746441.200499999800,2112502.261250000000,2607302.537000000000,3145375.984999999900,13234999.722749999000
FS( 67 ),2610116.679999999700,2737600.494500000000,2092789.876250000200,2700368.887999999800,3190027.523750000200,13330903.462500000000
FS( 68 ),2600539.248499999800,2772963.318500000100,2062773.289999999800,2647802.527999999900,3261858.260000000200,13345936.645000000000
FS( 69 ),2623377.738999999600,2865790.731499999800,2079349.613750000300,2696306.941999999800,3380281.906250000000,13645106.932500001000
FS( 70 ),2582121.111000000000,2697817.317499999900,2036340.773749999900,2599298.113999999600,3157024.212500000400,13072601.528750001000
FS( 71 ),2614537.032999999800,2737600.494500000000,2046196.966250000500,2667992.788999999900,3098783.075000000700,13165110.357750000000
FS( 72 ),2641795.876499999800,2772963.318500000100,2043060.905000000300,2655926.419999999900,3221089.463750000100,13334835.983750001000
FS( 73 ),2604959.601499999400,2796170.171749999700,2016180.380000000100,2615426.429000000000,3316216.654999999800,13348953.237249998000
FS( 74 ),2623377.738999999600,2755281.906500000000,2016180.380000000100,2599298.113999999600,3300685.685000000100,13294823.824500000000
FS( 75 ),2582121.111000000000,2749756.465249999400,1989747.863750000300,2631554.743999999900,3327864.882500000300,13281045.066500001000
FS( 76 ),2522446.345499999800,2601674.639750000100,1956595.216250000500,2655926.419999999900,3125962.272500000400,12862604.894000001000
FS( 77 ),2485610.070499999900,2599464.463250000000,1959731.277499999900,2736687.463999999700,3069662.506250000600,12851155.781500001000
FS( 78 ),2508448.560999999800,2604989.904499999700,2049333.027499999900,2688183.049999999800,3118196.787500000100,12969151.330499997000
FS( 79 ),2683789.229999999500,2784014.200999999900,2105782.130000000400,2870134.336999999800,3331747.625000000000,13775467.523000000000
FS( 80 ),2867233.879499999300,2917729.879250000700,2099061.998750000300,3064151.992999999800,3562770.803750000400,14510948.554250002000
FS( 81 ),2909227.232999999500,2859160.202000000000,2062773.289999999800,3270355.486999999700,3520060.636250000400,14621576.848250000000
FS( 82 ),2991740.488999999600,3055865.910500000700,2082485.675000000300,3359240.423000000000,3762732.042500000400,15252064.540000001000
FS( 83 ),2968901.998499999800,2987350.439000000200,2095925.937500000200,3306793.531999999200,3729728.731250000700,15088700.638250001000
FS( 84 ),2964481.645499999600,3091228.734500000700,2065909.351250000100,3318859.900999999600,3729728.731250000700,15170208.363500001000
FS( 85 ),2946063.507999999900,3003926.762749999800,2052917.097500000600,3322921.847000000500,3675370.336250000200,15001199.551500000000
FS( 86 ),2899649.801499999600,2830427.907499999700,2032756.703750000300,3161160.821000000000,3419109.331249999800,14343104.564999998000
FS( 87 ),2858393.173500000000,2833743.172249999800,2039476.835000000200,3165222.767000000500,3411343.846249999900,14308179.794000000000
FS( 88 ),2817136.545499999500,2842583.878250000500,2019764.450000000200,3165222.767000000500,3452112.642500000500,14296820.283250000000
FS( 89 ),2885652.016999999500,3039289.586749999800,2026484.581250000300,3181470.550999999500,3502588.294999999500,14635485.030999999000
FS( 90 ),2867233.879499999300,3062496.439999999900,2006324.187500000500,3258169.648999999700,3626836.055000000200,14821060.210999999000
FS( 91 ),2830397.604499999400,3050340.469250000100,2046196.966250000500,3294607.694000000100,3809324.952499999700,15030867.686500002000
FS( 92 ),2798718.407999999800,3062496.439999999900,2043060.905000000300,3343112.108000000000,4055879.101250000300,15303266.962250000000
FS( 93 ),2825977.251499999800,3102279.616999999600,2026484.581250000300,3343112.108000000000,3968517.395000000000,15266370.952750001000
FS( 94 ),2807559.113999999600,3079072.763749999900,2026484.581250000300,3452306.773999999700,3991813.850000000100,15357237.083000001000
FS( 95 ),2817136.545499999500,3016082.733500000100,2039476.835000000200,3326983.793000000100,3904452.143749999800,15104132.050749999000
FS( 96 ),2959324.566999999300,3009452.203999999900,2065909.351250000100,3278479.379000000200,3857859.233749999700,15171024.734999999000
FS( 97 ),2899649.801499999600,3091228.734500000700,2072629.482500000200,3318859.900999999600,4055879.101250000300,15438247.020750001000
FS( 98 ),2932065.723499999800,3189581.588750000100,2102646.068750000100,3375488.206999999500,4335436.561249998400,15935218.149249997000
FS( 99 ),2885652.016999999500,3091228.734500000700,2109366.200000000200,3375488.206999999500,4335436.561249998400,15797171.719749998000
FS( 100 ),2885652.016999999500,3062496.439999999900,2116086.331250000300,3383612.098999999900,4294667.765000000600,15742514.652249999000
FS( 101 ),2789140.976499999400,2987350.439000000200,2132662.654999999800,3326983.793000000100,4104413.382500000300,15340551.245999999000
FS( 102 ),2775879.917499999500,2992875.880249999900,2149238.978750000200,3375488.206999999500,3964634.652500000300,15258117.636000000000
FS( 103 ),2830397.604499999400,2975194.468249999900,2135798.716250000100,3375488.206999999500,3976282.880000000400,15293161.876000000000
FS( 104 ),2761882.132999999900,2868000.907999999400,2105782.130000000400,3294607.694000000100,3916100.371250000300,14946373.236250000000
FS( 105 ),2757461.779999999800,2755281.906500000000,2109366.200000000200,3173346.658999999500,3762732.042500000400,14558188.588000000000
FS( 106 ),2761882.132999999900,2714393.641249999900,2105782.130000000400,3229974.964999999900,3896686.658749999900,14708719.527999999000
FS( 107 ),2817136.545499999500,2900048.467249999800,2122358.453750000300,3229974.964999999900,3949103.682500000100,15018622.114000000000
FS( 108 ),2761882.132999999900,2900048.467249999800,2149238.978750000200,3157218.344000000000,3718080.503749999700,14686468.426750001000
FS( 109 ),2761882.132999999900,2842583.878250000500,2172087.425000000300,3064151.992999999800,3976282.880000000400,14816988.309250003000
FS( 110 ),2752304.701499999500,2905573.908499999900,2178807.556250000400,2922700.697000000600,4079175.556250000800,14838562.419500001000
FS( 111 ),2757461.779999999800,2905573.908499999900,2125942.523750000200,2938829.012000000100,4325729.705000000100,15053536.929250000000
FS( 112 ),2739043.642499999600,2824902.466250000100,2135798.716250000100,3060090.047000000700,4255840.340000000800,15015675.212000001000
FS( 113 ),2775879.917499999500,2911099.349750000100,2149238.978750000200,3149094.452000000000,4215071.543750000200,15200384.241749998000
FS( 114 ),2743463.995499999700,3016082.733500000100,2172087.425000000300,3165222.767000000500,4374263.986250000100,15471120.907250002000
FS( 115 ),2623377.738999999600,3009452.203999999900,2172087.425000000300,3116718.353000000100,4325729.705000000100,15247365.426000001000
FS( 116 ),2688209.582999999600,3068021.881249999600,2182391.626250000200,3209665.234999999900,4238367.998749998400,15386656.324249998000
FS( 117 ),2632955.170499999500,3108910.146499999300,2185527.687500000000,3250165.225999999300,4215071.543750000200,15392629.774249997000
FS( 118 ),2665371.092499999800,3143167.882249999800,2175671.495000000600,3237979.387999999800,4294667.765000000600,15516857.622750001000
FS( 119 ),2641795.876499999800,3091228.734500000700,2172087.425000000300,3161160.821000000000,4294667.765000000600,15360940.622000001000
FS( 120 ),2692629.935999999800,3102279.616999999600,2189111.757500000300,3254227.172000000700,4335436.561249998400,15573685.043749999000
