代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11812873.199999999000
真實報酬,1812873.199999999300

夏普值報酬,0.172587320000
夏普值風險,0.042340285602
夏普值,4.076196406036

預期報酬,13355.098088646815
風險,83698.530736038883
起點值,0.159561917888
找到最佳解世代,3915
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,3
2412(25),3045(42),4904(44),
Stock#,2412(25),3045(42),4904(44),
張數,37,37,55,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,13779.367249999999,50091.037750000003,22571.878750000000,
FS( 1 ),3328609.367250000100,3328661.037750000100,3328621.878750000100,9985893.283750001300
FS( 2 ),3333832.833000000100,3327414.424500000200,3283876.463750000100,9945124.721250001300
FS( 3 ),3330517.568250000000,3297577.041750000300,3269092.175000000300,9897187.785000000100
FS( 4 ),3347462.254750000300,3297577.041750000300,3283876.463750000100,9928916.760250002100
FS( 5 ),3354092.784250000500,3297577.041750000300,3304136.415000000000,9955807.241000000400
FS( 6 ),3374352.735500000400,3324099.159750000100,3309064.511250000900,10007517.406500001000
FS( 7 ),3407873.745750000200,3363882.336750000200,3323848.800000000300,10095605.882500000000
FS( 8 ),3424818.432250000100,3363882.336750000200,3353964.943750000600,10142666.712750001000
FS( 9 ),3458339.442500000800,3360567.072000000200,3363821.136250000900,10182728.650750002000
FS( 10 ),3407873.745750000200,3314153.365500000300,3368749.232500000400,10090777.343750000000
FS( 11 ),3374352.735500000400,3314153.365500000300,3403245.906250000500,10091753.007250002000
FS( 12 ),3424818.432250000100,3314153.365500000300,3433362.050000000300,10172334.847750001000
FS( 13 ),3424818.432250000100,3280632.355250000000,3413649.665000000000,10119101.452500001000
FS( 14 ),3390929.059250000400,3280632.355250000000,3388461.617500000200,10060024.032000000000
FS( 15 ),3390929.059250000400,3357251.807250000100,3413649.665000000000,10161831.531500001000
FS( 16 ),3441394.756000000500,3377511.758500000500,3488118.675000000300,10307026.189500002000
FS( 17 ),3441394.756000000500,3324099.159750000100,3467858.723750000400,10233353.639500001000
FS( 18 ),3441394.756000000500,3353936.542500000000,3507831.060000000100,10303163.358500000000
FS( 19 ),3458339.442500000800,3367197.601500000300,3433362.050000000300,10258900.094000002000
FS( 20 ),3475284.129000000200,3380827.023250000100,3438290.146249999800,10294402.298500000000
FS( 21 ),3458339.442500000800,3377511.758500000500,3438290.146249999800,10274142.347250002000
FS( 22 ),3475284.129000000200,3377511.758500000500,3497974.867500000200,10350771.755000001000
FS( 23 ),3475284.129000000200,3367197.601500000300,3488118.675000000300,10330601.405500000000
FS( 24 ),3475284.129000000200,3367197.601500000300,3472786.819999999800,10315269.550500000000
FS( 25 ),3525381.463000000500,3350621.277749999900,3522615.348750000400,10398619.089500001000
FS( 26 ),3542326.149500000300,3380827.023250000100,3493046.771249999800,10416200.944000000000
FS( 27 ),3559270.836000000100,3430555.994500000000,3458002.531250000500,10447830.361750001000
FS( 28 ),3525381.463000000500,3447132.318250000000,3483190.578750000300,10455705.359999999000
FS( 29 ),3542326.149500000300,3413979.670749999600,3453074.435000000100,10409381.255249999000
FS( 30 ),3508805.139250000000,3413979.670749999600,3458002.531250000500,10380788.341250001000
FS( 31 ),3508805.139250000000,3447132.318250000000,3413649.665000000000,10369588.122499999000
FS( 32 ),3475284.129000000200,3380827.023250000100,3408174.002499999900,10264286.154750001000
FS( 33 ),3525381.463000000500,3447132.318250000000,3453074.435000000100,10425589.216250001000
FS( 34 ),3525381.463000000500,3464077.004750000800,3478262.482500000400,10467721.950250002000
FS( 35 ),3559270.836000000100,3497229.652250000300,3493046.771249999800,10549548.259500001000
FS( 36 ),3559270.836000000100,3497229.652250000300,3478262.482500000400,10534763.970750000000
FS( 37 ),3575847.159750000100,3513805.976000000300,3522615.348750000400,10612269.484500000000
FS( 38 ),3575847.159750000100,3447132.318250000000,3507831.060000000100,10530811.538000001000
FS( 39 ),3575847.159750000100,3497229.652250000300,3517687.252499999900,10590765.064500000000
FS( 40 ),3542326.149500000300,3480653.328499999800,3453074.435000000100,10476054.913000001000
FS( 41 ),3559270.836000000100,3447132.318250000000,3517687.252499999900,10524091.406749999000
FS( 42 ),3575847.159750000100,3464077.004750000800,3497974.867500000200,10537900.032000002000
FS( 43 ),3575847.159750000100,3480653.328499999800,3517687.252499999900,10574188.740750000000
FS( 44 ),3575847.159750000100,3480653.328499999800,3522615.348750000400,10579116.837000001000
FS( 45 ),3609368.170000000400,3480653.328499999800,3532471.541249999800,10622494.039750000000
FS( 46 ),3626312.856499999800,3464077.004750000800,3562587.685000000500,10652978.546250001000
FS( 47 ),3643257.543000000100,3530382.299750000200,3607488.117500000200,10781128.960250000000
