代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,14331331.976250000000
真實報酬,4331331.976250000300

夏普值報酬,0.424433197625
夏普值風險,0.098580460479
夏普值,4.305449533943

預期報酬,33344.898354072924
風險,168375.049322275910
起點值,0.198039427387
找到最佳解世代,2946
找到最佳解實驗#,3
找到最佳解次數,37

投資組合檔數,8
1216(2),1301(3),1326(5),1722(7),2412(24),2498(27),2892(38),3045(40),
Stock#,1216(2),1301(3),1326(5),1722(7),2412(24),2498(27),2892(38),3045(40),
張數,63,27,24,19,24,3,139,27,
FS( 7 ),1305468.160999999800,1355958.172249999800,1296718.585999999900,1287956.319000000100,1277203.148000000000,1436893.727000000200,1291140.768250000000,1250513.857249999900,10501852.738750000000
FS( 8 ),1299823.250749999900,1359721.445750000000,1279276.112000000000,1286632.204250000000,1277203.148000000000,1502541.942500000100,1286989.220499999800,1246481.778500000000,10538669.102250000000
FS( 9 ),1294805.552750000000,1343055.520250000100,1274019.475999999800,1283794.815499999800,1277203.148000000000,1478468.938999999800,1284221.521999999600,1238148.815749999800,10473717.789249998000
FS( 10 ),1308604.222249999900,1354076.535500000000,1314161.060000000100,1258447.476000000300,1284849.164000000100,1487220.043250000100,1307746.959249999600,1240299.257749999900,10555404.717999998000
FS( 11 ),1308604.222249999900,1371817.681999999800,1303647.788000000200,1258447.476000000300,1273380.140000000100,1535366.050249999900,1311898.507000000000,1236267.179000000000,10599429.044499999000
FS( 12 ),1294805.552750000000,1361871.887750000000,1286205.313999999800,1256934.202000000300,1275291.644000000100,1522224.460250000000,1314666.205499999900,1250513.857249999900,10562513.123499999000
FS( 13 ),1301704.887500000200,1342249.104499999900,1286205.313999999800,1244260.532249999900,1279114.652000000000,1524404.769499999900,1321585.451749999800,1266910.977500000000,10566435.688999999000
FS( 14 ),1310485.858999999900,1346281.183250000000,1307231.858000000000,1249935.309750000000,1282937.660000000100,1548477.772999999600,1321585.451749999800,1270943.056250000100,10637878.150999999000
FS( 15 ),1307349.797749999900,1359990.250999999900,1310576.990000000000,1255610.087250000100,1290583.676000000000,1511293.046750000000,1307746.959249999600,1273093.498249999900,10616244.306250000000
FS( 16 ),1301704.887500000200,1348162.820000000100,1303647.788000000200,1251259.424500000200,1288672.172000000000,1500361.633250000200,1304979.260749999700,1270943.056250000100,10569731.042250002000
FS( 17 ),1308604.222249999900,1369936.045250000000,1308904.423999999900,1321815.824749999900,1303964.203999999900,1491610.529000000100,1300827.713000000000,1285189.734500000000,10690852.696750000000
FS( 18 ),1310485.858999999900,1350313.261999999900,1286205.313999999800,1318978.436000000000,1300141.196000000000,1533155.873750000000,1311898.507000000000,1297554.775999999800,10708733.223750001000
FS( 19 ),1308604.222249999900,1324776.763249999800,1258249.567999999500,1343001.660750000000,1294406.683999999900,1535366.050249999900,1300827.713000000000,1295404.334000000000,10660636.995499998000
FS( 20 ),1334947.136749999600,1332572.115499999800,1288116.817999999500,1334489.494500000000,1294406.683999999900,1568966.706499999900,1311898.507000000000,1295404.334000000000,10760801.796249999000
FS( 21 ),1350627.442999999500,1346281.183250000000,1274019.475999999800,1304980.651499999900,1305875.708000000300,1658000.978750000000,1304979.260749999700,1299705.217999999900,10844469.919250000000
FS( 22 ),1328047.801999999900,1328540.036749999700,1260161.072000000200,1290793.707750000100,1313521.724000000200,1701338.358500000100,1300827.713000000000,1295404.334000000000,10818634.748000002000
FS( 23 ),1339964.834749999900,1346281.183250000000,1277603.545999999900,1318978.436000000000,1324990.748000000100,1751873.745500000000,1339575.491999999600,1303737.296750000000,11003005.282250000000
FS( 24 ),1351881.867499999900,1358108.614249999900,1284532.747999999900,1364187.496749999900,1330725.260000000000,1689301.856750000000,1339575.491999999600,1291372.255249999900,11009685.590499999000
FS( 25 ),1371325.447250000000,1365903.966499999900,1293134.516000000100,1364187.496749999900,1334548.268000000200,1691691.236750000400,1335423.944249999900,1287340.176499999800,11043555.052000001000
FS( 26 ),1350627.442999999500,1355958.172249999800,1305559.292000000100,1409396.557499999900,1332636.764000000000,1735028.616500000000,1339575.491999999600,1287340.176499999800,11116122.513749998000
FS( 27 ),1378224.781999999900,1365903.966499999900,1308904.423999999900,1402208.506000000100,1334548.268000000200,1737417.996500000100,1335423.944249999900,1287340.176499999800,11149972.063750001000
FS( 28 ),1378224.781999999900,1373699.318749999900,1310576.990000000000,1416395.449749999900,1323079.244000000200,1730219.989250000100,1388010.215749999700,1285189.734500000000,11205395.723999999000
FS( 29 ),1378224.781999999900,1375580.955499999700,1298391.151999999800,1429069.119500000000,1307787.212000000300,1735028.616500000000,1374171.723249999600,1264760.535500000200,11163014.096250001000
FS( 30 ),1366307.749249999600,1381494.670999999900,1296718.585999999900,1391048.110249999900,1309698.716000000000,1703727.738499999700,1343727.039750000000,1252664.299249999900,11045386.909999998000
FS( 31 ),1371325.447250000000,1389558.828499999800,1277603.545999999900,1375158.733250000300,1312804.910000000100,1691691.236750000400,1361717.079999999800,1250513.857249999900,11030373.639000000000
FS( 32 ),1385124.116749999800,1397354.180749999800,1291461.950000000000,1408261.602000000200,1316866.856000000100,1706146.985750000000,1375555.572499999800,1268792.614250000100,11149563.878000000000
FS( 33 ),1397041.149499999800,1397354.180749999800,1286205.313999999800,1411098.990749999900,1320928.802000000100,1785564.003499999900,1382474.818749999900,1277125.577000000000,11257792.836250000000
FS( 34 ),1492377.411499999900,1389558.828499999800,1274019.475999999800,1418287.042249999900,1335265.082000000200,1756682.372750000100,1379707.120249999700,1274975.135000000000,11320872.468249999000
FS( 35 ),1464780.072499999800,1387408.386500000000,1286205.313999999800,1465387.695500000100,1343388.974000000200,1759101.619999999900,1364484.778499999500,1283308.097750000200,11354064.938750001000
FS( 36 ),1476697.105249999800,1412944.885249999800,1274019.475999999800,1465387.695500000100,1337176.586000000100,1751873.745500000000,1335423.944249999900,1289221.813249999900,11342745.251000000000
FS( 37 ),1461016.798999999900,1399235.817499999900,1274019.475999999800,1494139.901499999900,1335265.082000000200,1775946.749000000100,1339575.491999999600,1291372.255249999900,11370571.572249997000
FS( 38 ),1453490.251999999900,1407031.169749999900,1288116.817999999500,1494139.901499999900,1335265.082000000200,1836099.390500000200,1393545.612750000100,1295404.334000000000,11503092.560500000000
FS( 39 ),1451608.615250000000,1399235.817499999900,1274019.475999999800,1486951.850000000100,1324990.748000000100,1826482.135999999900,1390777.914249999900,1305618.933499999800,11459685.490499998000
FS( 40 ),1410212.606750000300,1371817.681999999800,1265417.707999999900,1431149.871250000100,1319017.298000000200,1819254.261499999800,1343727.039750000000,1295404.334000000000,11256000.801250001000
FS( 41 ),1377597.569749999800,1379613.034249999800,1268762.839999999900,1431149.871250000100,1329052.694000000100,1800019.752500000200,1324353.150249999900,1295404.334000000000,11205953.246000001000
FS( 42 ),1394532.300500000100,1383645.112999999900,1279276.112000000000,1468225.084249999800,1331203.136000000200,1787983.250749999900,1328504.697999999900,1295404.334000000000,11268774.028500000000
FS( 43 ),1455371.888749999900,1409181.611749999700,1274019.475999999800,1465387.695500000100,1337176.586000000100,1787983.250749999900,1339575.491999999600,1285189.734500000000,11353885.735249998000
FS( 44 ),1451608.615250000000,1409181.611749999700,1286205.313999999800,1444012.700250000000,1347450.920000000200,1694110.484000000200,1343727.039750000000,1291372.255249999900,11267668.940250000000
