代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10995912.179999999701977
真實報酬,995912.179999999701977

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,51172.298930313598248
風險,38574.998270405172661
起點值,1.326566460783826
找到最佳解世代,1421
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](12),CAT[3](1),MSFT[18](4),NKE[19](2),UTX[24](10),
Stock#,AAPL[0](12),CAT[3](1),MSFT[18](4),NKE[19](2),UTX[24](10),
張數,34042,21281,74710,82644,26788,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,32.500000000000000,11.619999999878928,13.300000000046566,15.199999999953434,7.920000000158325,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2010553.020000000018626,2018514.469999999739230,2047067.300000000046566,2029751.839999999850988,2010447.320000000065193,10116333.949999999254942
FS( 3 ),2033020.739999999990687,2032772.739999999757856,2067986.100000000093132,2028098.959999999962747,1991159.960000000195578,10153038.500000000000000
FS( 4 ),2054126.780000000027940,2037880.179999999934807,2100111.400000000372529,2024793.199999999953434,1979641.120000000344589,10196552.680000001564622
FS( 5 ),2051063.000000000000000,2066396.719999999739230,2072468.699999999953434,2032231.159999999916181,1984998.719999999972060,10207158.300000000745058
FS( 6 ),2058211.820000000065193,2127260.379999999888241,2079939.699999999953434,2034710.479999999981374,2036699.560000000288710,10336821.940000001341105
FS( 7 ),2054807.619999999878928,2120450.459999999962747,2070974.500000000000000,2028098.959999999962747,2054647.520000000251457,10328979.060000000521541
FS( 8 ),2049360.900000000139698,2169396.759999999776483,2091893.300000000046566,2047933.520000000018626,2069113.040000000037253,10427697.519999999552965
FS( 9 ),2041531.239999999990687,2180888.500000000000000,2110570.799999999813735,2031404.719999999739230,2038038.960000000195578,10402434.220000000670552
FS( 10 ),2065360.640000000130385,2199828.589999999850988,2111317.900000000372529,2050412.839999999850988,2063755.440000000409782,10490675.410000000149012
FS( 11 ),2086807.099999999860302,2218768.679999999701977,2109076.599999999627471,2084296.879999999888241,2078756.719999999972060,10577705.979999998584390
FS( 12 ),2080339.119999999878928,2250477.370000000111759,2100858.500000000000000,2099172.799999999813735,2067773.640000000130385,10598621.429999999701977
FS( 13 ),2043914.179999999934807,2248136.459999999962747,2219647.400000000372529,2102478.560000000521541,2054379.640000000130385,10668556.240000002086163
FS( 14 ),2078637.020000000018626,2263671.589999999850988,2221141.599999999627471,2098346.360000000335276,2058933.600000000093132,10720730.169999999925494
FS( 15 ),2044595.020000000018626,2261969.110000000335276,2192004.700000000186265,2111569.400000000372529,2083578.560000000288710,10693716.790000000968575
FS( 16 ),2172252.520000000018626,2320704.669999999925494,2208440.900000000372529,2132230.400000000372529,2080096.120000000344589,10913724.610000001266599
FS( 17 ),2162380.340000000316650,2368799.729999999515712,2203958.299999999813735,2114048.719999999739230,2073667.000000000000000,10922854.089999999850988
FS( 18 ),2175316.299999999813735,2368161.299999999813735,2183786.599999999627471,2109916.520000000484288,2079292.480000000214204,10916473.199999999254942
FS( 19 ),2203230.739999999757856,2349646.830000000074506,2212176.400000000372529,2136362.599999999627471,2079024.600000000093132,10980441.169999999925494
FS( 20 ),2219911.319999999832362,2322194.339999999850988,2206199.600000000558794,2148759.200000000186265,2098847.719999999739230,10995912.179999999701977
