代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10638462.470000000670552
真實報酬,638462.470000000670552

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,31950.347947735197522
風險,22318.543501630279934
起點值,1.431560618881844
找到最佳解世代,2994
找到最佳解實驗#,4
找到最佳解次數,10

stock[index](rank)
投資組合檔數,9
AAPL[0](17),AXP[1](4),IBM[10](10),MCD[15](11),PFE[20](7),UNH[23](8),VZ[26](2),WBA[27](16),WMT[28](14),
Stock#,AAPL[0](17),AXP[1](4),IBM[10](10),MCD[15](11),PFE[20](7),UNH[23](8),VZ[26](2),WBA[27](16),WMT[28](14),
張數,18066,17814,5475,11612,40566,20760,23782,26890,15488,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,52.000000000000000,51.820000000065193,178.750000000000000,74.839999999850988,8.260000000009313,35.800000000046566,15.959999999962747,16.199999999953434,1.880000000121072,
FS( 1 ),1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,10000000.000000000000000
FS( 2 ),1084192.659999999916181,1120374.280000000027940,1123594.000000000000000,1104027.679999999701977,1123280.800000000046566,1106959.000000000000000,1120385.979999999981374,1123211.500000000000000,1134652.760000000242144,10040679.659999998286366
FS( 3 ),1112736.940000000176951,1142285.500000000232831,1130930.500000000000000,1112620.559999999823049,1138695.880000000121072,1110695.800000000046566,1134179.539999999804422,1094977.000000000000000,1141777.239999999990687,10118899.959999999031425
FS( 4 ),1098645.459999999962747,1151726.920000000158325,1141059.250000000000000,1124232.559999999823049,1140724.179999999934807,1112979.400000000139698,1124428.919999999925494,1074540.599999999860302,1136511.320000000065193,10104849.609999999403954
FS( 5 ),1111291.659999999916181,1150123.660000000149012,1146753.250000000000000,1127483.919999999925494,1146809.080000000074506,1116923.800000000046566,1129185.319999999832362,1079111.899999999906868,1135582.040000000037253,10143265.629999998956919
FS( 6 ),1114182.219999999972060,1152617.620000000111759,1152009.250000000000000,1146295.359999999869615,1143563.800000000046566,1117131.400000000139698,1140600.679999999934807,1092825.800000000046566,1131090.520000000251457,10190317.649999998509884
FS( 7 ),1130080.300000000046566,1166868.820000000065193,1150366.750000000000000,1148385.519999999785796,1145997.760000000009313,1125435.400000000139698,1137033.380000000121072,1110035.399999999906868,1130316.120000000111759,10244520.449999999254942
FS( 8 ),1105691.199999999953434,1163127.880000000121072,1152940.000000000000000,1146875.959999999962747,1133422.300000000046566,1138306.600000000093132,1150113.479999999981374,1103581.800000000046566,1139918.679999999934807,10233978.900000000372529
FS( 9 ),1105510.540000000037253,1163306.020000000018626,1161207.250000000000000,1154075.399999999906868,1136667.580000000074506,1131040.600000000093132,1140125.039999999804422,1150370.399999999906868,1140693.080000000307336,10282996.910000000149012
FS( 10 ),1116350.139999999897555,1164731.139999999897555,1181683.750000000000000,1153262.559999999823049,1140318.520000000018626,1136230.600000000093132,1152967.319999999832362,1148757.000000000000000,1134033.239999999990687,10328335.269999999552965
FS( 11 ),1145075.080000000074506,1177379.080000000074506,1176865.750000000000000,1157442.879999999888241,1136667.580000000074506,1136230.600000000093132,1142027.600000000093132,1144992.399999999906868,1122881.880000000121072,10339563.850000001490116
FS( 12 ),1176148.599999999860302,1171856.739999999990687,1167503.500000000000000,1144669.679999999701977,1137478.899999999906868,1141835.800000000046566,1159388.459999999962747,1140958.899999999906868,1119009.880000000121072,10358851.460000000894070
FS( 13 ),1173077.380000000121072,1160277.639999999897555,1168762.750000000000000,1142695.639999999897555,1135450.599999999860302,1145365.000000000000000,1164144.860000000102445,1203074.800000000046566,1122107.480000000214204,10414957.150000000372529
FS( 14 ),1166754.280000000027940,1175775.820000000065193,1177632.250000000000000,1146992.079999999841675,1147620.399999999906868,1139344.600000000093132,1155821.159999999916181,1237494.000000000000000,1130471.000000000000000,10477906.589999999850988
FS( 15 ),1168560.880000000121072,1165265.560000000055879,1162302.250000000000000,1144205.199999999953434,1140318.520000000018626,1143081.400000000139698,1160577.559999999823049,1231847.100000000093132,1132639.320000000065193,10448798.790000000968575
FS( 16 ),1192227.339999999850988,1179694.900000000139698,1161316.750000000000000,1152798.079999999841675,1151271.340000000083819,1130625.400000000139698,1165809.600000000093132,1250132.300000000046566,1150450.520000000251457,10534327.230000000447035
FS( 17 ),1196563.180000000167638,1177557.219999999972060,1153980.250000000000000,1140837.719999999739230,1142346.820000000065193,1138929.400000000139698,1169139.079999999841675,1242065.299999999813735,1159278.679999999934807,10520698.650000000372529
FS( 18 ),1190240.079999999841675,1196618.200000000186265,1162849.750000000000000,1143856.839999999850988,1160195.860000000102445,1155329.800000000046566,1176749.319999999832362,1279173.500000000000000,1158039.640000000130385,10623053.990000000223517
FS( 19 ),1166754.280000000027940,1196261.920000000158325,1154801.500000000000000,1148501.639999999897555,1161818.500000000000000,1175467.000000000000000,1163907.039999999804422,1270299.800000000046566,1158194.520000000251457,10596007.199999999254942
FS( 20 ),1142545.840000000083819,1201784.260000000009313,1167996.250000000000000,1157675.119999999878928,1170743.020000000018626,1187715.400000000139698,1168901.260000000009313,1282131.399999999906868,1158968.920000000158325,10638462.470000000670552
