代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11179937.589999999850988
真實報酬,1179937.589999999850988

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,47499.788189176695596
風險,123099.238721354806330
起點值,0.385865815926745
找到最佳解世代,2343
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](2),PFE[20](3),UNH[23](1),
Stock#,AAPL[0](2),PFE[20](3),UNH[23](1),
張數,14841,94082,15346,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,192.810000000055879,7.740000000223517,28.339999999850988,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3249778.170000000391155,3264653.140000000596046,3326273.839999999850988,9840706.150000000372529
FS( 3 ),3277382.430000000167638,3335214.640000000596046,3304942.899999999906868,9917540.970000000670552
FS( 4 ),3369248.219999999739230,3380374.000000000000000,3373079.140000000130385,10122702.359999999403954
FS( 5 ),3369990.270000000018626,3370965.800000000279397,3395177.379999999888241,10136134.449999999254942
FS( 6 ),3330513.209999999962747,3333333.000000000000000,3377836.399999999906868,10041683.609999999403954
FS( 7 ),3369545.040000000037253,3357794.319999999832362,3408068.020000000018626,10135408.379999998956919
FS( 8 ),3414958.500000000000000,3367202.520000000018626,3433388.919999999925494,10215550.939999999478459
FS( 9 ),3505785.420000000391155,3397308.760000000242144,3407914.559999999590218,10311009.740000000223517
FS( 10 ),3500739.479999999981374,3415184.339999999850988,3385202.479999999981374,10301127.300000000745058
FS( 11 ),3492576.930000000167638,3434000.740000000223517,3661430.479999999981374,10588009.150000000372529
FS( 12 ),3478477.979999999981374,3418947.620000000577420,3636876.879999999888241,10534303.480000000447035
FS( 13 ),3491983.290000000037253,3430237.460000000428408,3739388.159999999683350,10661609.910000000149012
FS( 14 ),3508753.620000000111759,3430237.460000000428408,3765015.979999999981374,10704008.060000000521541
FS( 15 ),3569601.719999999739230,3430237.460000000428408,3743224.659999999683350,10743064.839999999850988
FS( 16 ),3561439.170000000391155,3427415.000000000000000,3828548.419999999925494,10817403.589999999850988
FS( 17 ),3609227.189999999944121,3459402.880000000353903,3802767.140000000130385,10871398.210000000894070
FS( 18 ),3615163.590000000316650,3423651.720000000204891,3752278.799999999813735,10791095.109999999403954
FS( 19 ),3659686.590000000316650,3459402.880000000353903,3758417.199999999720603,10877507.669999999925494
FS( 20 ),3696343.860000000335276,3507384.700000000186265,3791257.640000000130385,10994987.200000001117587
FS( 21 ),3610859.699999999720603,3594880.960000000428408,3871670.679999999701977,11077412.339999999850988
FS( 22 ),3610414.469999999739230,3620283.100000000093132,3910189.140000000130385,11140887.710000000894070
FS( 23 ),3692039.969999999739230,3609934.080000000074506,3877962.539999999571592,11179937.589999999850988
