代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10959084.509999999776483
真實報酬,959084.509999999776483

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,47989.083790395699907
風險,48124.747627624441520
起點值,0.997180996391327
找到最佳解世代,2582
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
BA[2](10),GS[8](21),IBM[10](17),NKE[19](15),TRV[22](14),UTX[24](9),WMT[28](8),
Stock#,BA[2](10),GS[8](21),IBM[10](17),NKE[19](15),TRV[22](14),UTX[24](9),WMT[28](8),
張數,4812,5587,9261,22500,10824,11146,14490,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,176.920000000158325,142.709999999962747,61.750000000000000,46.000000000000000,19.480000000214204,99.640000000130385,1.899999999906868,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1433190.520000000251457,1415273.939999999944121,1467837.640000000130385,1428346.000000000000000,1433117.080000000307336,1449525.479999999981374,1441032.399999999906868,10068326.060000000521541
FS( 3 ),1427752.960000000195578,1435051.919999999925494,1497565.449999999953434,1427446.000000000000000,1433117.080000000307336,1454095.340000000083819,1442336.500000000000000,10117368.250000000000000
FS( 4 ),1486315.000000000000000,1427732.949999999953434,1504881.640000000130385,1439596.000000000000000,1430519.320000000065193,1466578.860000000102445,1450885.599999999860302,10206512.369999999180436
FS( 5 ),1492618.719999999972060,1407005.179999999934807,1513957.419999999925494,1452421.000000000000000,1422834.280000000027940,1480511.360000000102445,1472330.799999999813735,10241681.760000001639128
FS( 6 ),1532462.080000000307336,1418905.489999999990687,1517291.380000000121072,1442071.000000000000000,1433874.760000000242144,1496673.060000000288710,1454653.000000000000000,10295933.770000001415610
FS( 7 ),1541268.040000000037253,1421084.419999999925494,1520532.729999999981374,1444996.000000000000000,1429978.120000000344589,1503695.040000000270084,1444220.199999999953434,10305777.549999998882413
FS( 8 ),1579090.360000000102445,1425554.020000000018626,1520717.949999999953434,1446571.000000000232831,1432467.640000000363216,1504698.180000000167638,1449291.699999999953434,10358393.849999999627471
FS( 9 ),1618019.439999999944121,1436169.319999999832362,1510901.289999999804422,1455121.000000000000000,1458337.000000000000000,1522420.320000000298023,1461608.199999999953434,10462579.570000000298023
FS( 10 ),1612966.840000000316650,1444158.729999999748543,1517476.599999999860302,1426996.000000000000000,1466887.960000000428408,1493329.260000000009313,1458999.999999999767169,10420818.390000000596046
FS( 11 ),1689237.040000000037253,1417285.260000000009313,1561929.400000000139698,1435771.000000000000000,1481392.120000000344589,1498344.959999999962747,1488124.899999999906868,10572087.680000001564622
FS( 12 ),1637026.840000000316650,1402312.099999999860302,1566282.070000000065193,1442521.000000000000000,1486587.640000000363216,1500462.700000000186265,1511308.899999999906868,10546504.250000001862645
FS( 13 ),1625333.680000000167638,1431085.149999999906868,1503770.320000000065193,1512270.999999999767169,1492107.880000000121072,1514841.040000000270084,1515511.000000000000000,10594923.070000000298023
FS( 14 ),1626632.920000000158325,1461254.949999999953434,1505900.349999999860302,1493821.000000000000000,1508343.880000000121072,1507150.300000000279397,1527972.399999999906868,10631078.800000000745058
FS( 15 ),1615036.000000000000000,1453265.539999999804422,1539703.000000000000000,1510696.000000000000000,1583137.720000000204891,1516290.020000000251457,1534492.899999999906868,10752624.179999999701977
FS( 16 ),1610705.200000000186265,1484496.870000000111759,1531553.320000000065193,1530046.000000000000000,1597858.360000000335276,1512388.920000000158325,1532899.000000000000000,10799950.670000001788139
FS( 17 ),1651222.240000000223517,1503213.319999999832362,1532479.419999999925494,1523520.999999999767169,1607058.760000000242144,1535461.140000000130385,1544635.899999999906868,10897594.780000001192093
FS( 18 ),1651751.560000000288710,1498240.889999999897555,1549797.489999999990687,1530946.000000000232831,1617341.560000000055879,1538024.719999999972060,1570573.000000000000000,10956678.220000000670552
FS( 19 ),1640202.760000000009313,1522488.469999999972060,1544796.550000000046566,1520596.000000000000000,1612362.520000000251457,1523423.459999999962747,1587381.399999999906868,10951254.160000002011657
FS( 20 ),1625237.439999999944121,1502710.489999999990687,1515346.570000000065193,1514971.000000000000000,1609764.760000000242144,1521528.640000000130385,1561009.599999999860302,10850571.500000000000000
FS( 21 ),1705405.360000000102445,1496844.139999999897555,1516087.449999999953434,1534996.000000000000000,1622753.560000000055879,1538359.100000000093132,1544635.899999999906868,10959084.509999999776483
