代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10443938.120000001043081
真實報酬,443938.120000001043081

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,25422.879356275316240
風險,21377.396591189823084
起點值,1.189241133635175
找到最佳解世代,2415
找到最佳解實驗#,17
找到最佳解次數,10

stock[index](rank)
投資組合檔數,4
DIS[6](18),UTX[24](6),VZ[26](17),XOM[29](3),
Stock#,DIS[6](18),UTX[24](6),VZ[26](17),XOM[29](3),
張數,22552,18953,47001,31137,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,110.800000000279397,99.299999999813735,16.810000000055879,10.270000000018626,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2477899.040000000502914,2516678.639999999664724,2529610.629999999888241,2533316.589999999850988,10057504.899999998509884
FS( 3 ),2486694.320000000298023,2530703.859999999869615,2551701.100000000093132,2505293.290000000037253,10074392.570000000298023
FS( 4 ),2502706.240000000223517,2502084.829999999608845,2538070.810000000055879,2547950.979999999981374,10090812.860000001266599
FS( 5 ),2496166.160000000614673,2533167.750000000000000,2543710.930000000167638,2544214.540000000037253,10117259.379999998956919
FS( 6 ),2471810.000000000000000,2532409.629999999888241,2571911.529999999795109,2580022.089999999850988,10156153.250000000000000
FS( 7 ),2468652.720000000204891,2537716.469999999739230,2583661.779999999795109,2588429.080000000074506,10178460.049999998882413
FS( 8 ),2495940.640000000130385,2568609.859999999869615,2582251.750000000000000,2563208.109999999869615,10210010.359999999403954
FS( 9 ),2464142.320000000298023,2611822.700000000186265,2563921.359999999869615,2581890.310000000055879,10221776.690000001341105
FS( 10 ),2466397.520000000484288,2611064.579999999608845,2570971.510000000242144,2597147.439999999944121,10245581.049999998882413
FS( 11 ),2470231.360000000335276,2645559.040000000037253,2556401.200000000186265,2603997.580000000074506,10276189.179999999701977
FS( 12 ),2476094.880000000353903,2662995.799999999813735,2514570.310000000055879,2635134.580000000074506,10288795.570000000298023
FS( 13 ),2517365.040000000502914,2688582.349999999627471,2535720.760000000242144,2641050.609999999869615,10382718.759999999776483
FS( 14 ),2489851.600000000558794,2692941.540000000037253,2557811.229999999981374,2651948.560000000055879,10392552.930000001564622
FS( 15 ),2543299.840000000316650,2659963.319999999832362,2516450.350000000093132,2696474.469999999739230,10416187.980000000447035
FS( 16 ),2562694.560000000055879,2648022.930000000167638,2493419.859999999869615,2693360.770000000018626,10397498.119999999180436
FS( 17 ),2598326.720000000204891,2645179.979999999981374,2497649.950000000186265,2670942.129999999888241,10412098.780000001192093
FS( 18 ),2617044.880000000353903,2647454.339999999850988,2518800.400000000372529,2670630.759999999776483,10453930.380000000819564
FS( 19 ),2637341.680000000167638,2649918.229999999981374,2509400.200000000186265,2647278.009999999776483,10443938.120000001043081
