代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11069529.080000000074506
真實報酬,1069529.080000000074506

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,55638.322546058618173
風險,42932.504395782911160
起點值,1.295948683383207
找到最佳解世代,2550
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](2),CSCO[4](12),JNJ[12](4),UNH[23](14),VZ[26](10),WBA[27](18),
Stock#,AAPL[0](2),CSCO[4](12),JNJ[12](4),UNH[23](14),VZ[26](10),WBA[27](18),
張數,46606,82263,28592,51140,55078,60190,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,35.440000000176951,17.619999999878928,38.320000000065193,13.399999999906868,5.719999999972060,4.899999999906868,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1678783.560000000288710,1688054.379999999888241,1675815.439999999944121,1680473.799999999813735,1658404.300000000046566,1703381.899999999906868,10084917.380000000819564
FS( 3 ),1723059.260000000009313,1730831.139999999897555,1684964.880000000121072,1734170.799999999813735,1663361.319999999832362,1703381.899999999906868,10239773.300000000745058
FS( 4 ),1716534.420000000158325,1692990.159999999683350,1678388.720000000204891,1727522.599999999860302,1664462.879999999888241,1714817.999999999767169,10194720.780000001192093
FS( 5 ),1750556.800000000279397,1697925.939999999944121,1682677.520000000018626,1731102.399999999906868,1677681.600000000093132,1725652.199999999953434,10265600.459999999031425
FS( 6 ),1751488.920000000158325,1695458.049999999813735,1710411.760000000009313,1739796.199999999953434,1698611.239999999990687,1728661.699999999953434,10324431.869999999180436
FS( 7 ),1753819.220000000204891,1696280.679999999934807,1714986.479999999981374,1763832.000000000000000,1697509.679999999934807,1743107.300000000046566,10369539.360000001266599
FS( 8 ),1778054.340000000083819,1748929.000000000000000,1724707.760000000009313,1775594.199999999953434,1701915.919999999925494,1749126.299999999813735,10478331.519999999552965
FS( 9 ),1784579.180000000167638,1764558.969999999739230,1732141.679999999934807,1769968.799999999813735,1702466.699999999953434,1758756.699999999953434,10512476.029999999329448
FS( 10 ),1799027.040000000270084,1776075.789999999804422,1745579.919999999925494,1752581.199999999953434,1717888.540000000037253,1758154.800000000046566,10549311.290000000968575
FS( 11 ),1841438.500000000000000,1804045.209999999962747,1752442.000000000000000,1751047.000000000000000,1730556.479999999981374,1752737.699999999953434,10632270.889999998733401
FS( 12 ),1833515.480000000447035,1798286.799999999813735,1760447.760000000009313,1745421.600000000093132,1744876.760000000009313,1758154.800000000046566,10640707.200000001117587
FS( 13 ),1885714.200000000186265,1789237.869999999878928,1775315.600000000093132,1786333.599999999860302,1767458.740000000223517,1759960.499999999767169,10764024.509999999776483
FS( 14 ),1889442.680000000167638,1780188.939999999944121,1771026.800000000046566,1803209.799999999813735,1780126.679999999934807,1788851.699999999953434,10812850.599999999627471
FS( 15 ),1916008.100000000093132,1782656.830000000074506,1771884.560000000055879,1824688.599999999860302,1783982.139999999897555,1793064.999999999767169,10872289.230000000447035
FS( 16 ),1923465.060000000288710,1771140.010000000009313,1767309.840000000083819,1812414.999999999767169,1771864.979999999981374,1776211.800000000046566,10822410.690000001341105
FS( 17 ),1946302.000000000000000,1817207.289999999804422,1776745.200000000186265,1827245.599999999860302,1797751.639999999897555,1827373.299999999813735,10992629.030000001192093
FS( 18 ),1938378.980000000447035,1818852.549999999813735,1773600.080000000074506,1807812.399999999906868,1809868.800000000046566,1826771.399999999906868,10975288.210000000894070
FS( 19 ),1909949.320000000065193,1798286.799999999813735,1785036.880000000121072,1791958.999999999767169,1802157.879999999888241,2035028.800000000046566,11122422.679999999701977
FS( 20 ),1913211.739999999990687,1799109.429999999934807,1781605.840000000083819,1800141.400000000139698,1798853.199999999720603,2024194.600000000093132,11117120.209999999031425
FS( 21 ),1889442.680000000167638,1801577.319999999832362,1771598.640000000130385,1795538.799999999813735,1794997.740000000223517,2016369.899999999906868,11069529.080000000074506
