代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10863994.270000001415610
真實報酬,863994.270000001415610

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,47696.116737812975771
風險,117918.125470509665320
起點值,0.404485031860020
找到最佳解世代,2238
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
UTX[24](1),WBA[27](2),
Stock#,UTX[24](1),WBA[27](2),
張數,45583,73778,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,0.730000000447035,64.940000000409782,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4999544.170000000856817,4924746.440000000409782,9924290.610000001266599
FS( 3 ),5059257.900000000372529,4971226.580000000074506,10030484.480000000447035
FS( 4 ),5069286.160000000149012,5009591.140000000596046,10078877.300000000745058
FS( 5 ),5072932.800000000745058,5061235.740000000223517,10134168.540000000968575
FS( 6 ),5153158.879999999888241,4997048.880000000819564,10150207.760000001639128
FS( 7 ),5241589.900000000372529,5060497.960000000894070,10302087.860000001266599
FS( 8 ),5173671.230000000447035,5028035.640000000596046,10201706.870000001043081
FS( 9 ),5198286.050000000745058,5386596.720000000670552,10584882.770000001415610
FS( 10 ),5112134.180000000633299,5496525.940000000409782,10608660.120000001043081
FS( 11 ),5101194.260000000707805,5418321.259999999776483,10519515.519999999552965
FS( 12 ),5161363.820000000298023,5340854.360000000335276,10502218.179999999701977
FS( 13 ),5191904.430000000633299,5311343.160000000149012,10503247.589999999850988
FS( 14 ),5331388.410000000149012,5487672.580000000074506,10819060.990000000223517
FS( 15 ),5268939.700000000186265,5402827.880000000819564,10671767.580000001937151
FS( 16 ),5339593.350000000558794,5479557.000000000000000,10819150.350000001490116
FS( 17 ),5342784.160000000149012,5644819.720000000670552,10987603.880000000819564
FS( 18 ),5329109.260000000707805,5656624.200000000186265,10985733.460000000894070
FS( 19 ),5344151.650000000372529,5641130.820000000298023,10985282.470000000670552
FS( 20 ),5326830.110000000335276,5665477.560000000521541,10992307.670000001788139
FS( 21 ),5296745.330000001005828,5610881.839999999850988,10907627.170000001788139
FS( 22 ),5242045.730000000447035,5621948.540000000968575,10863994.270000001415610
