代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10434702.300000000745058
真實報酬,434702.300000000745058

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,24180.156772068461578
風險,73767.563072509947233
起點值,0.327788471855855
找到最佳解世代,2049
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
JPM[13](2),NKE[19](1),
Stock#,JPM[13](2),NKE[19](1),
張數,75665,98270,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,56.799999999813735,22.399999999441206,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4995460.099999999627471,5017688.599999999627471,10013148.699999999254942
FS( 3 ),5046912.299999999813735,5037342.599999999627471,10084254.899999998509884
FS( 4 ),5018916.250000000000000,5009826.999999999068677,10028743.250000000000000
FS( 5 ),5101391.099999999627471,5013757.799999999813735,10115148.899999998509884
FS( 6 ),5061288.649999999441206,4984276.799999998882413,10045565.449999999254942
FS( 7 ),5083231.500000000000000,4980345.999999999068677,10063577.500000000000000
FS( 8 ),5164949.700000000186265,5077633.299999999813735,10242583.000000000000000
FS( 9 ),5184622.599999999627471,5104166.199999999254942,10288788.799999998882413
FS( 10 ),5164193.049999999813735,5099252.699999999254942,10263445.750000000000000
FS( 11 ),5144520.149999999441206,5078615.999999999068677,10223136.149999998509884
FS( 12 ),5173272.850000000558794,5137578.000000000000000,10310850.850000001490116
FS( 13 ),5155869.899999999441206,5147405.000000000000000,10303274.899999998509884
FS( 14 ),5204295.500000000000000,5208332.399999999441206,10412627.899999998509884
FS( 15 ),5151330.000000000000000,5234865.299999999813735,10386195.300000000745058
FS( 16 ),5217915.199999999254942,5247640.399999999441206,10465555.599999997764826
FS( 17 ),5277690.549999999813735,5267294.399999999441206,10544984.949999999254942
FS( 18 ),5222455.099999999627471,5219142.099999999627471,10441597.199999999254942
FS( 19 ),5194459.049999999813735,5170007.099999999627471,10364466.149999998509884
FS( 20 ),5217158.549999999813735,5391114.599999999627471,10608273.149999998509884
FS( 21 ),5084744.799999999813735,5290879.200000000186265,10375624.000000000000000
FS( 22 ),5127117.200000000186265,5307585.099999999627471,10434702.300000000745058
