代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11017900.390000000596046
真實報酬,1017900.390000000596046

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,51345.520921171810187
風險,79286.831424746313132
起點值,0.647592040172592
找到最佳解世代,2034
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
BA[2](3),GS[8](6),IBM[10](4),MCD[15](14),PG[21](22),TRV[22](1),WBA[27](11),
Stock#,BA[2](3),GS[8](6),IBM[10](4),MCD[15](14),PG[21](22),TRV[22](1),WBA[27](11),
張數,4411,8304,12399,8114,15650,12171,20996,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,245.090000000083819,33.879999999888241,82.209999999962747,20.159999999916181,39.000000000000000,60.729999999981374,3.159999999916181,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1371624.989999999990687,1407644.919999999925494,1400053.299999999813735,1419158.760000000009313,1418555.000000000000000,1402890.189999999944121,1413663.839999999850988,9833594.000000000000000
FS( 3 ),1442994.969999999972060,1453649.080000000074506,1454732.889999999897555,1446584.079999999841675,1447507.500000000000000,1444515.010000000009313,1460694.879999999888241,10150681.410000000149012
FS( 4 ),1447538.300000000046566,1461703.959999999962747,1465024.060000000055879,1462325.239999999990687,1441717.000000000000000,1439890.030000000027940,1469093.279999999795109,10187294.869999999180436
FS( 5 ),1502322.919999999925494,1456306.359999999869615,1485854.379999999888241,1465408.559999999823049,1447038.000000000000000,1434291.370000000111759,1498487.679999999934807,10289712.269999999552965
FS( 6 ),1516879.219999999972060,1465440.759999999776483,1496517.520000000018626,1462893.219999999739230,1423406.500000000000000,1444515.010000000009313,1516544.239999999990687,10326199.470000000670552
FS( 7 ),1555607.800000000046566,1461537.879999999888241,1510156.419999999925494,1473116.860000000102445,1426849.500000000000000,1463866.899999999906868,1521793.239999999990687,10412931.599999999627471
FS( 8 ),1556886.989999999990687,1469260.599999999860302,1506064.750000000000000,1479770.339999999850988,1436239.500000000000000,1466301.099999999860302,1505626.319999999832362,10420152.599999999627471
FS( 9 ),1545683.050000000046566,1484124.759999999776483,1492797.820000000065193,1470439.239999999990687,1426536.500000000000000,1467639.909999999916181,1483370.560000000055879,10370594.839999999850988
FS( 10 ),1553975.730000000214204,1494006.519999999785796,1509412.479999999981374,1468816.439999999944121,1439995.500000000000000,1482731.949999999953434,1507306.000000000000000,10456247.619999999180436
FS( 11 ),1553181.750000000000000,1636586.199999999953434,1508048.590000000083819,1455266.059999999823049,1429979.500000000000000,1488574.030000000027940,1511715.159999999916181,10583354.289999999105930
FS( 12 ),1584191.080000000074506,1653277.239999999990687,1515116.020000000018626,1469546.699999999953434,1418555.000000000000000,1496363.469999999972060,1511505.199999999720603,10648557.709999999031425
FS( 13 ),1609069.120000000111759,1681926.039999999804422,1535326.389999999897555,1481393.139999999897555,1430762.000000000000000,1509386.439999999944121,1520743.439999999944121,10768609.569999998435378
FS( 14 ),1578941.989999999990687,1641568.599999999860302,1519207.689999999944121,1497621.139999999897555,1415425.000000000000000,1489304.290000000037253,1503106.800000000046566,10645178.509999999776483
FS( 15 ),1582073.800000000046566,1635091.479999999981374,1647785.319999999832362,1509954.419999999925494,1484285.000000000000000,1497337.149999999906868,1505626.319999999832362,10862156.490000000223517
FS( 16 ),1580574.060000000055879,1642565.080000000074506,1643321.679999999934807,1520340.339999999850988,1475834.000000000000000,1513889.709999999962747,1497437.879999999888241,10873965.750000000000000
FS( 17 ),1606731.290000000037253,1666978.839999999850988,1661176.239999999990687,1492996.159999999916181,1464879.000000000000000,1521192.310000000055879,1509405.599999999860302,10923362.439999999478459
FS( 18 ),1601305.760000000242144,1658508.759999999776483,1664895.940000000176951,1489750.559999999823049,1463627.000000000000000,1521800.860000000102445,1502896.839999999850988,10902788.719999998807907
FS( 19 ),1609863.100000000093132,1664985.879999999888241,1665639.880000000121072,1478147.539999999804422,1463940.000000000000000,1519244.949999999953434,1501217.159999999916181,10903041.509999999776483
FS( 20 ),1710478.010000000242144,1681427.799999999813735,1666259.829999999841675,1474901.939999999944121,1479277.000000000000000,1532146.209999999962747,1503526.719999999972060,11048020.509999999776483
FS( 21 ),1701214.910000000149012,1644308.919999999925494,1666755.789999999804422,1450641.079999999841675,1509794.500000000000000,1528008.070000000065193,1517174.120000000111759,11017900.390000000596046
