代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10248445.329999998211861
真實報酬,248445.329999998211861

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,17860.771475625751918
風險,77202.881627807044424
起點值,0.231348507970623
找到最佳解世代,1962
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
MCD[15](3),PFE[20](2),TRV[22](4),UNH[23](1),
Stock#,MCD[15](3),PFE[20](2),TRV[22](4),UNH[23](1),
張數,12875,61319,17472,10778,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,61.250000000000000,24.369999999646097,106.239999999757856,42.899999999906868,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2505665.000000000000000,2514716.559999999590218,2493360.639999999664724,2505389.000000000000000,10019131.199999999254942
FS( 3 ),2543131.250000000000000,2538017.779999999795109,2504717.439999999478459,2500000.000000000000000,10085866.469999998807907
FS( 4 ),2560898.750000000000000,2553960.719999999739230,2506115.199999999720603,2592151.899999999906868,10213126.570000000298023
FS( 5 ),2549826.250000000000000,2503679.139999999664724,2476063.359999999869615,2565745.799999999813735,10095314.550000000745058
FS( 6 ),2549697.500000000000000,2511037.419999999925494,2472918.399999999906868,2577601.600000000093132,10111254.919999999925494
FS( 7 ),2545835.000000000000000,2492028.529999999795109,2478160.000000000000000,2564883.560000000055879,10080907.089999999850988
FS( 8 ),2574932.500000000000000,2496934.049999999348074,2515375.359999999869615,2593121.919999999925494,10180363.829999998211861
FS( 9 ),2562572.500000000000000,2487736.199999999720603,2505765.759999999776483,2581912.799999999813735,10137987.259999997913837
FS( 10 ),2549440.000000000000000,2493254.909999999217689,2545951.359999999869615,2548285.439999999944121,10136931.709999999031425
FS( 11 ),2563087.500000000000000,2523301.219999999739230,2560103.680000000167638,2544513.140000000130385,10191005.540000000968575
FS( 12 ),2574932.500000000000000,2553347.529999999795109,2575653.759999999776483,2552165.520000000018626,10256099.309999998658895
FS( 13 ),2565018.750000000000000,2542923.299999999348074,2577051.520000000018626,2601636.540000000037253,10286630.109999999403954
FS( 14 ),2562057.500000000000000,2550281.580000000074506,2588932.479999999515712,2651323.120000000111759,10352594.679999999701977
FS( 15 ),2573001.250000000000000,2555187.099999999627471,2576702.079999999608845,2693896.219999999739230,10398786.649999998509884
FS( 16 ),2574546.250000000000000,2574809.179999999701977,2585263.359999999869615,2687429.419999999925494,10422048.209999999031425
FS( 17 ),2561800.000000000000000,2570516.849999999627471,2567441.919999999925494,2656819.899999999906868,10356578.669999999925494
FS( 18 ),2546350.000000000000000,2572356.419999999925494,2584913.919999999925494,2668999.040000000037253,10372619.379999998956919
FS( 19 ),2532187.500000000000000,2569290.469999999739230,2555910.399999999906868,2608965.580000000074506,10266353.949999999254942
FS( 20 ),2523818.750000000000000,2558253.049999999348074,2534769.279999999795109,2612630.100000000093132,10229471.179999997839332
FS( 21 ),2565276.250000000000000,2569290.469999999739230,2546300.799999999348074,2624485.899999999906868,10305353.419999999925494
FS( 22 ),2552787.500000000000000,2545989.250000000000000,2543505.279999999795109,2606163.299999999813735,10248445.329999998211861
