訓練日期,20150202 - 20150505
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10870492.690000001341105
真實報酬,870492.690000001341105

夏普值報酬,0.078349269000000
夏普值風險,0.025140047779589
夏普值,3.116512334698515

預期報酬,15541.175664869489992
風險,122434.085994358058088
趨勢值,0.126935040504861
找到最佳解世代,1685
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
IBM[10](5),MRK[17](29),NKE[19](1),WBA[27](2),
Stock#,IBM[10](5),MRK[17](29),NKE[19](1),WBA[27](2),
張數,16306,41473,54194,33898,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,127.140000000130385,7.560000000055879,30.779999999795109,22.500000000000000,
20150202,2522013.100000000093132,2524883.800000000279397,2490787.020000000018626,2538643.720000000204891,10076327.640000000596046
20150203,2584138.959999999962747,2530690.020000000018626,2529806.699999999720603,2535253.920000000391155,10179889.599999999627471
20150204,2559516.900000000372529,2448988.209999999962747,2507587.160000000149012,2531186.160000000149012,10047278.429999999701977
20150205,2575007.600000000093132,2453964.970000000204891,2529264.759999999776483,2535253.920000000391155,10093491.250000000000000
20150206,2555603.459999999962747,2438205.229999999981374,2487535.379999999888241,2581355.200000000186265,10062699.269999999552965
20150209,2539786.640000000130385,2419127.649999999906868,2470735.239999999757856,2589829.700000000186265,10019479.230000000447035
20150210,2585606.500000000000000,2440693.610000000335276,2513548.500000000000000,2599660.120000000111759,10139508.730000000447035
20150211,2579736.339999999850988,2436131.580000000074506,2474528.819999999832362,2695930.439999999944121,10186327.179999999701977
20150212,2584954.260000000242144,2441937.800000000279397,2492954.779999999795109,2710506.579999999608845,10230353.419999999925494
20150213,2615609.540000000037253,2439034.689999999944121,2494038.660000000149012,2668812.040000000037253,10217494.929999999701977
20150217,2624740.900000000372529,2438205.229999999981374,2489161.199999999720603,2644066.500000000000000,10196173.830000000074506
20150218,2644797.280000000260770,2438619.959999999962747,2536851.919999999925494,2636947.920000000391155,10257217.080000000074506
20150219,2672517.479999999981374,2417883.459999999962747,2539019.679999999701977,2613558.299999999813735,10242978.919999998062849
20150220,2668604.040000000037253,2419957.110000000335276,2572619.959999999962747,2614575.239999999757856,10275756.349999999627471
20150223,2656537.600000000093132,2417883.459999999962747,2574787.719999999739230,2664066.320000000298023,10313275.100000001490116
20150224,2687845.120000000111759,2420371.839999999850988,2585626.520000000018626,2725082.720000000204891,10418926.200000001117587
20150225,2654907.000000000000000,2425763.330000000074506,2623562.319999999832362,2712201.479999999981374,10416434.130000000819564
20150226,2623273.360000000335276,2445255.640000000130385,2628439.779999999795109,2767794.200000000186265,10464762.980000000447035
20150227,2640720.780000000260770,2427836.979999999981374,2631691.419999999925494,2816268.339999999850988,10516517.519999999552965
20150302,2616914.020000000018626,2429495.899999999906868,2676130.500000000000000,2834573.260000000242144,10557113.679999999701977
20150303,2625882.320000000298023,2419542.380000000353903,2654994.839999999850988,2820675.079999999608845,10521094.620000001043081
20150304,2599629.660000000149012,2400464.800000000279397,2642530.219999999739230,2814234.459999999962747,10456859.140000000596046
20150305,2628328.220000000204891,2404612.100000000093132,2668001.399999999441206,2820336.100000000093132,10521277.820000000298023
20150306,2584628.140000000130385,2357332.880000000353903,2626272.020000000018626,2791522.799999999813735,10359755.839999999850988
20150309,2621642.760000000242144,2374751.540000000037253,2640362.459999999962747,2830505.500000000000000,10467262.260000001639128
20150310,2573377.000000000000000,2346549.899999999906868,2615433.219999999739230,2804065.060000000055879,10339425.179999999701977
20150311,2556907.940000000409782,2324983.939999999944121,2583458.759999999776483,2796946.479999999981374,10262297.120000001043081
20150312,2576149.020000000018626,2329545.970000000204891,2629523.660000000149012,2855929.000000000000000,10391147.650000000372529
20150313,2515816.820000000298023,2330790.160000000149012,2596465.319999999832362,2837963.060000000055879,10281035.360000001266599
20150316,2561473.620000000111759,2368945.319999999832362,2613265.459999999962747,2941351.959999999962747,10485036.359999999403954
20150317,2559516.900000000372529,2341987.870000000111759,2615975.160000000149012,2924063.979999999981374,10441543.910000000149012
20150318,2605989.000000000000000,2390926.009999999776483,2642530.219999999739230,2955250.140000000130385,10594695.369999999180436
20150319,2605989.000000000000000,2414150.890000000130385,2664207.819999999832362,2961351.779999999795109,10645699.490000000223517
20150320,2656048.419999999925494,2429495.899999999906868,2763382.839999999850988,2990843.040000000037253,10839770.199999999254942
20150323,2684583.919999999925494,2435716.850000000093132,2749292.399999999441206,2980334.660000000149012,10849927.829999998211861
20150324,2658005.140000000130385,2431569.550000000279397,2727614.799999999813735,2983046.500000000000000,10800235.990000000223517
20150325,2596042.339999999850988,2416224.540000000037253,2682633.779999999795109,2911182.739999999757856,10606083.400000000372529
20150326,2618707.680000000167638,2388852.360000000335276,2691846.759999999776483,2862369.620000000111759,10561776.420000001788139
20150327,2615609.540000000037253,2395073.310000000055879,2706479.139999999664724,2891182.920000000391155,10608344.910000000149012
20150330,2652624.160000000149012,2419542.380000000353903,2734118.080000000074506,2914911.520000000018626,10721196.140000000596046
20150331,2617240.140000000130385,2383875.600000000093132,2718943.759999999776483,2870505.140000000130385,10590564.640000000596046
20150401,2595716.220000000204891,2358162.339999999850988,2697808.099999999627471,2856267.979999999981374,10507954.640000000596046
20150402,2616424.839999999850988,2368115.860000000335276,2700517.799999999813735,2914233.560000000055879,10599292.060000000521541
20150406,2642351.379999999888241,2371433.700000000186265,2702685.559999999590218,2983385.479999999981374,10699856.119999999180436
20150407,2642840.560000000055879,2381801.950000000186265,2699433.919999999925494,2958639.939999999944121,10682716.369999999180436
20150408,2639253.240000000223517,2370189.509999999776483,2732492.259999999776483,2972199.140000000130385,10714134.150000000372529
20150409,2647243.180000000167638,2381801.950000000186265,2729240.619999999646097,3139655.260000000242144,10897941.009999999776483
20150410,2655722.300000000279397,2374336.810000000055879,2709188.839999999850988,3119316.459999999962747,10858564.410000000149012
20150413,2647895.419999999925494,2352770.850000000093132,2690220.939999999944121,3108808.079999999608845,10799695.289999999105930
20150414,2646590.940000000409782,2395488.040000000037253,2697266.160000000149012,3117960.540000000037253,10857305.679999999701977
20150415,2676430.919999999925494,2424104.410000000149012,2705395.259999999776483,3103045.420000000391155,10908976.009999999776483
20150416,2660124.919999999925494,2398805.880000000353903,2707021.080000000074506,3034571.459999999962747,10800523.339999999850988
20150417,2620012.160000000149012,2358991.800000000279397,2670711.099999999627471,2947792.579999999608845,10597507.640000000596046
20150420,2709532.100000000093132,2389267.089999999850988,2709730.779999999795109,2953216.260000000242144,10761746.229999998584390
20150421,2678550.700000000186265,2391340.739999999757856,2717859.879999999888241,2952199.320000000298023,10739950.640000000596046
20150422,2696487.300000000279397,2392584.930000000167638,2714066.299999999813735,2949826.459999999962747,10752964.990000000223517
20150423,2776060.580000000074506,2385119.790000000037253,2740079.419999999925494,2938640.120000000111759,10839899.910000000149012
20150424,2768559.820000000298023,2388852.360000000335276,2735743.899999999441206,2914572.540000000037253,10807728.620000001043081
20150427,2784050.520000000018626,2368115.860000000335276,2735201.959999999962747,2919318.260000000242144,10806686.600000001490116
20150428,2836066.660000000149012,2487558.100000000093132,2705937.199999999720603,2917962.339999999850988,10947524.299999998882413
20150429,2843893.540000000037253,2475116.200000000186265,2714608.239999999757856,2866776.359999999869615,10900394.339999999850988
20150430,2793181.879999999888241,2470139.439999999944121,2678298.259999999776483,2811183.640000000130385,10752803.220000000670552
20150501,2831990.160000000149012,2482581.339999999850988,2730866.439999999944121,2829149.579999999608845,10874587.519999999552965
20150504,2836881.959999999962747,2514930.280000000260770,2732492.259999999776483,2851861.239999999757856,10936165.740000000223517
20150505,2822369.620000000111759,2508709.330000000074506,2721111.520000000018626,2818302.220000000204891,10870492.690000001341105
