訓練日期,20180730 - 20181029
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11148890.900000000372529
真實報酬,1148890.900000000372529

夏普值報酬,0.106189090000000
夏普值風險,0.033458541161580
夏普值,3.173751344602397

預期報酬,18384.607316286772402
風險,105720.094835767231416
趨勢值,0.173898891642565
找到最佳解世代,1646
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](3),PFE[20](1),WBA[27](8),
Stock#,MCD[15](3),PFE[20](1),WBA[27](8),
張數,21166,86782,48562,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,111.320000000298023,36.380000000353903,37.319999999832362,
20180730,3357885.560000000055879,3348953.760000000707805,3358585.239999999757856,10065425.560000000521541
20180731,3334602.959999999962747,3465241.640000000130385,3283799.760000000242144,10083645.359999999403954
20180801,3321480.040000000037253,3494747.520000000484288,3226496.599999999627471,10042725.160000000149012
20180802,3289519.380000000353903,3440942.680000000167638,3252720.080000000074506,9983183.140000000596046
20180803,3306452.180000000633299,3518178.660000000149012,3264374.959999999962747,10089006.800000000745058
20180806,3317246.840000000316650,3561569.660000000149012,3274087.359999999869615,10152904.859999999403954
20180807,3302853.959999999962747,3544213.260000000707805,3256119.419999999925494,10103187.640000000596046
20180808,3363812.040000000037253,3593679.000000000000000,3228924.699999999720603,10186416.740000000223517
20180809,3371855.120000000577420,3558098.380000000353903,3213384.859999999869615,10143339.360000001266599
20180810,3358732.200000000651926,3552023.640000000130385,3228924.699999999720603,10139681.540000000968575
20180813,3347302.560000000055879,3541609.800000000745058,3228439.080000000074506,10117352.440000001341105
20180814,3399370.920000000391155,3532931.600000000558794,3334304.239999999757856,10266607.760000001639128
20180815,3384131.400000000372529,3571983.500000000000000,3337703.580000000074506,10293819.480000000447035
20180816,3423288.500000000000000,3594546.820000000298023,3380923.760000000242144,10398760.080000000074506
20180817,3411012.220000000204891,3652690.760000000707805,3398891.699999999720603,10462595.679999999701977
20180820,3422230.200000000651926,3673518.440000000409782,3398891.699999999720603,10494641.339999999850988
20180821,3408683.959999999962747,3658765.500000000000000,3411517.819999999832362,10478968.279999999329448
20180822,3398312.620000000577420,3650955.120000000577420,3381895.000000000000000,10431163.740000002086163
20180823,3366563.620000000577420,3662236.780000000726432,3364412.679999999701977,10393214.080000001937151
20180824,3373548.400000000372529,3679593.180000000167638,3361013.339999999385327,10414155.919999999925494
