訓練日期,20190624 - 20190924
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10745026.660000000149012
真實報酬,745026.660000000149012

夏普值報酬,0.065802666000000
夏普值風險,0.023152880720391
夏普值,2.842094113241223

預期報酬,13139.183296215251175
風險,105808.534892033625511
趨勢值,0.124178860520301
找到最佳解世代,2012
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](3),KO[14](2),MCD[15](4),PG[21](1),
Stock#,AAPL[0](3),KO[14](2),MCD[15](4),PG[21](1),
張數,12576,48496,12239,22482,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,142.720000000204891,31.200000000186265,61.860000000335276,1.600000000093132,
20190624,2497484.800000000279397,2517943.520000000484288,2495838.740000000223517,2525404.660000000149012,10036671.720000000670552
20190625,2459631.040000000037253,2510184.160000000149012,2517746.550000000279397,2511690.640000000130385,9999252.390000000596046
20190626,2512827.520000000484288,2479146.720000000204891,2503549.310000000521541,2466951.459999999962747,9962475.010000001639128
20190627,2512072.960000000428408,2477206.879999999888241,2524600.390000000596046,2468075.560000000055879,9981955.790000000968575
20190628,2489184.640000000130385,2469447.520000000484288,2541612.600000000093132,2465152.900000000372529,9965397.660000000149012
20190701,2534835.520000000484288,2502424.800000000279397,2524967.560000000521541,2484037.779999999795109,10046265.660000000149012
20190702,2549675.200000000186265,2520853.280000000260770,2565111.480000000447035,2506294.959999999962747,10141934.920000001788139
20190703,2570802.880000000353903,2526672.800000000279397,2604643.450000000186265,2564748.160000000149012,10266867.290000000968575
20190705,2568539.200000000186265,2527157.760000000242144,2585428.220000000670552,2543839.900000000372529,10224965.080000001937151
20190708,2515594.240000000223517,2521823.200000000186265,2596688.100000000093132,2564073.700000000186265,10198179.240000002086163
20190709,2530936.960000000428408,2501939.840000000316650,2595831.370000000577420,2538444.220000000204891,10167152.390000002458692
20190710,2555963.200000000186265,2513093.920000000391155,2606968.860000000335276,2557329.100000000093132,10233355.080000001937151
20190711,2537350.720000000204891,2523763.040000000037253,2603174.770000000484288,2571492.759999999776483,10235781.289999999105930
20190712,2556843.520000000484288,2527642.720000000204891,2606846.470000000670552,2585206.779999999795109,10276539.490000000223517
20190715,2580863.680000000167638,2528127.680000000167638,2621778.050000000279397,2596222.959999999962747,10326992.370000001043081
20190716,2571934.720000000204891,2528612.640000000130385,2615780.940000000409782,2605440.580000000074506,10321768.880000000819564
20190717,2557472.320000000298023,2530552.479999999981374,2615658.550000000279397,2606564.680000000167638,10310248.030000001192093
20190718,2586522.880000000353903,2523278.080000000074506,2642584.350000000093132,2595323.680000000167638,10347708.990000000223517
20190719,2547914.560000000055879,2492240.640000000130385,2617616.790000000502914,2585656.420000000391155,10243428.410000000149012
20190722,2606141.440000000409782,2483996.320000000298023,2631446.860000000335276,2592176.200000000186265,10313760.820000000298023
20190723,2626514.560000000055879,2634818.879999999888241,2623001.950000000186265,2559577.299999999813735,10443912.689999999478459
20190724,2624376.640000000130385,2608146.080000000074506,2604276.280000000260770,2531474.799999999813735,10368273.800000000745058
20190725,2603626.240000000223517,2573713.920000000391155,2624593.020000000484288,2535296.740000000223517,10337229.920000001788139
20190726,2612680.960000000428408,2627059.520000000484288,2638545.480000000447035,2579361.459999999962747,10457647.420000001788139
20190729,2637078.400000000372529,2618330.240000000223517,2631202.080000000074506,2607913.600000000093132,10494524.320000000298023
20190730,2625760.000000000000000,2605236.320000000298023,2598891.120000000577420,2707059.220000000204891,10536946.660000002011657
20190731,2679333.760000000242144,2552375.680000000167638,2579063.940000000409782,2653776.880000000353903,10464550.260000001639128
20190801,2621358.400000000372529,2523278.080000000074506,2585550.610000000335276,2624325.459999999962747,10354512.550000000745058
20190802,2565898.240000000223517,2537826.879999999888241,2625082.580000000074506,2617805.680000000167638,10346613.380000000819564
20190805,2431586.560000000055879,2504849.600000000093132,2575759.410000000149012,2542266.160000000149012,10054461.730000000447035
20190806,2477614.720000000204891,2534917.120000000111759,2620186.980000000447035,2569244.560000000055879,10201963.380000000819564
20190807,2503269.760000000242144,2579048.479999999981374,2653844.230000000447035,2597122.240000000223517,10333284.710000000894070
20190808,2558478.400000000372529,2603781.439999999944121,2668286.250000000000000,2640287.680000000167638,10470833.769999999552965
20190809,2527792.960000000428408,2590687.520000000484288,2706716.710000000428408,2625449.560000000055879,10450646.750000001862645
20190812,2521379.200000000186265,2580018.400000000372529,2657883.100000000093132,2608588.060000000055879,10367868.760000001639128
20190813,2628149.440000000409782,2594567.200000000186265,2689337.330000000074506,2636016.100000000093132,10548070.070000000298023
20190814,2549926.720000000204891,2569834.240000000223517,2649560.580000000074506,2603192.380000000353903,10372513.920000001788139
20190815,2537224.960000000428408,2612510.720000000204891,2671468.390000000596046,2639163.580000000074506,10460367.650000002235174
20190816,2597086.720000000204891,2638698.560000000055879,2673916.190000000409782,2679406.360000000335276,10589107.830000001937151
20190819,2645504.320000000298023,2652277.439999999944121,2677710.280000000260770,2703237.279999999795109,10678729.320000000298023
20190820,2645630.080000000540167,2612995.680000000167638,2673916.190000000409782,2673111.400000000372529,10605653.350000001490116
20190821,2674303.359999999869615,2623664.800000000279397,2701331.550000000279397,2679856.000000000000000,10679155.710000000894070
20190822,2672039.680000000167638,2642578.240000000223517,2686399.970000000670552,2684802.040000000037253,10685819.929999999701977
20190823,2548543.359999999869615,2606206.240000000223517,2627285.600000000093132,2637589.839999999850988,10419625.039999999105930
20190826,2596960.960000000428408,2645003.040000000037253,2654823.350000000093132,2682553.839999999850988,10579341.189999999478459
20190827,2567658.880000000353903,2653732.320000000298023,2644297.810000000521541,2710206.700000000186265,10575895.710000000894070
20190828,2584888.000000000000000,2672645.760000000242144,2669020.590000000316650,2729316.400000000372529,10655870.750000000000000
20190829,2628652.479999999981374,2669736.000000000000000,2699250.920000000391155,2724370.360000000335276,10722009.760000001639128
20190830,2625256.960000000428408,2669251.040000000037253,2667796.690000000409782,2703012.459999999962747,10665317.150000000372529
20190903,2587025.919999999925494,2681860.000000000000000,2657515.930000000167638,2728417.120000000111759,10654818.969999998807907
20190904,2630916.160000000149012,2704653.120000000111759,2674283.360000000335276,2770008.819999999832362,10779861.460000000894070
20190905,2682352.000000000000000,2673130.720000000204891,2686399.970000000670552,2759891.920000000391155,10801774.610000001266599
20190906,2682100.479999999981374,2678465.280000000260770,2693009.030000000260770,2762364.940000000409782,10815939.730000000447035
20190909,2693544.640000000130385,2644033.120000000111759,2659107.000000000000000,2746627.540000000037253,10743312.300000000745058
20190910,2725361.919999999925494,2638213.600000000093132,2566335.380000000353903,2695143.759999999776483,10625054.660000000149012
20190911,2812010.560000000055879,2656157.120000000111759,2572699.660000000149012,2726393.740000000223517,10767261.080000000074506
20190912,2805722.560000000055879,2672645.760000000242144,2596565.710000000428408,2760116.740000000223517,10835050.770000001415610
20190913,2751142.720000000204891,2631424.160000000149012,2567926.450000000186265,2745503.440000000409782,10695996.770000001415610
20190916,2765605.120000000111759,2616875.360000000335276,2538430.460000000428408,2692221.100000000093132,10613132.040000000968575
20190917,2775665.919999999925494,2630454.240000000223517,2568416.010000000242144,2723920.720000000204891,10698456.890000000596046
20190918,2801698.240000000223517,2629969.280000000260770,2575514.630000000353903,2729541.220000000204891,10736723.370000001043081
20190919,2778935.680000000167638,2644033.120000000111759,2576616.140000000596046,2740557.400000000372529,10740142.340000001713634
20190920,2738315.200000000186265,2614450.560000000055879,2562786.070000000298023,2748201.279999999795109,10663753.109999999403954
20190923,2750765.440000000409782,2625604.640000000130385,2589099.920000000391155,2770233.640000000130385,10735703.640000000596046
20190924,2737686.400000000372529,2633364.000000000000000,2594974.640000000596046,2779001.620000000111759,10745026.660000000149012
