訓練日期,20150129 - 20150501
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11190813.669999999925494
真實報酬,1190813.669999999925494

夏普值報酬,0.110381367000000
夏普值風險,0.035041290808763
夏普值,3.150037126269198

預期報酬,23019.430577056529728
風險,168898.474404347944073
趨勢值,0.136291524587412
找到最佳解世代,2099
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
IBM[10](6),NKE[19](4),WBA[27](1),
20150420,3654665.339999999850988,3571935.920000000391155,3936552.750000000465661,11163155.009999999776483
20150421,3612876.739999999757856,3582651.620000000111759,3935197.200000000651926,11130726.560000000521541
20150422,3637070.140000000130385,3577650.960000000428408,3932034.250000000000000,11146756.350000001490116
20150423,3744400.859999999869615,3611941.200000000651926,3917123.200000000186265,11273466.260000001639128
20150424,3734283.619999999646097,3606226.160000000149012,3885041.850000000558794,11225552.629999998956919
20150427,3755177.919999999459833,3605511.780000000260770,3891367.750000000465661,11252058.449999999254942
20150428,3825338.779999999329448,3566935.260000000242144,3889560.350000000093132,11281835.389999998733401
20150429,3835895.899999999906868,3578365.340000000782311,3821331.000000000000000,11235593.240000000223517
20150430,3767494.559999999590218,3530501.880000000353903,3747227.600000000558794,11045225.039999999105930
20150501,3819840.279999999329448,3599796.740000000223517,3771175.649999999906868,11190813.669999999925494
