訓練日期,20160328 - 20160627
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10699705.879999998956919
真實報酬,699705.879999998956919

夏普值報酬,0.061270588000000
夏普值風險,0.022654031008665
夏普值,2.704621882814806

預期報酬,12549.693531628679921
風險,70528.512144077220000
趨勢值,0.177937874344944
找到最佳解世代,2514
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
JNJ[12](1),PFE[20](3),VZ[26](27),XOM[29](2),
Stock#,JNJ[12](1),PFE[20](3),VZ[26](27),XOM[29](2),
張數,23081,83111,46676,29768,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,96.890000000130385,21.120000000111759,33.439999999944121,83.359999999869615,
20160328,2498153.520000000018626,2475066.700000000186265,2492531.839999999850988,2507144.319999999832362,9972896.380000000819564
20160329,2519157.229999999981374,2497506.670000000391155,2522871.239999999757856,2516372.399999999906868,10055907.540000000968575
20160330,2515464.270000000018626,2499168.890000000130385,2522404.479999999981374,2516074.719999999739230,10053112.359999999403954
20160331,2497461.090000000316650,2463431.160000000149012,2524271.520000000018626,2488390.479999999981374,9973554.250000000000000
20160401,2520311.280000000260770,2496675.560000000055879,2521004.199999999720603,2469636.639999999664724,10007627.679999999701977
20160404,2506462.680000000167638,2553191.040000000037253,2540141.359999999869615,2475590.239999999757856,10075385.320000000298023
20160405,2514771.840000000316650,2606382.080000000074506,2524738.280000000260770,2447310.639999999664724,10093202.839999999850988
20160406,2525619.910000000149012,2736866.350000000093132,2498132.959999999962747,2480055.439999999944121,10240674.660000000149012
20160407,2522157.760000000242144,2722737.479999999981374,2427185.439999999944121,2452073.520000000018626,10124154.199999999254942
20160408,2518233.990000000223517,2701128.620000000111759,2435587.120000000111759,2477078.639999999664724,10132028.370000001043081
20160411,2515233.459999999962747,2650430.910000000149012,2408981.799999999813735,2480353.119999999646097,10054999.289999999105930
20160412,2529774.490000000223517,2656248.680000000167638,2424851.640000000130385,2511014.159999999683350,10121888.970000000670552
20160413,2536006.360000000335276,2704453.060000000055879,2394045.479999999981374,2525302.799999999813735,10159807.699999999254942
20160414,2535313.930000000167638,2713595.270000000018626,2397312.799999999813735,2543163.600000000093132,10189385.599999999627471
20160415,2543161.470000000204891,2701128.620000000111759,2396846.040000000037253,2529470.319999999832362,10170606.449999999254942
20160418,2560472.220000000204891,2710270.830000000074506,2414582.919999999925494,2553582.399999999906868,10238908.370000001043081
20160419,2600863.970000000204891,2733541.910000000149012,2430919.520000000018626,2566382.639999999664724,10331708.039999999105930
20160420,2621636.870000000111759,2761799.649999999906868,2415516.439999999944121,2583945.759999999776483,10382898.719999998807907
20160421,2621406.060000000055879,2762630.760000000242144,2335233.720000000204891,2583648.080000000074506,10302918.620000001043081
20160422,2615635.810000000055879,2765124.090000000316650,2359505.239999999757856,2605676.399999999906868,10345941.540000000968575
20160425,2620021.200000000186265,2760137.430000000167638,2369307.199999999720603,2599722.799999999813735,10349188.629999998956919
20160426,2606172.600000000093132,2746839.669999999925494,2354370.879999999888241,2608653.199999999720603,10316036.349999999627471
20160427,2602941.260000000242144,2742684.120000000111759,2412715.879999999888241,2633360.639999999664724,10391701.900000000372529
20160428,2596247.770000000018626,2735204.129999999888241,2381442.959999999962747,2620560.399999999906868,10333455.259999999776483
20160429,2587015.370000000111759,2718581.930000000167638,2377708.879999999888241,2631574.560000000055879,10314880.740000000223517
20160502,2602479.640000000130385,2726061.919999999925494,2395445.759999999776483,2653305.199999999720603,10377292.519999999552965
20160503,2601094.780000000260770,2800861.820000000298023,2365573.120000000111759,2622941.839999999850988,10390471.560000000521541
20160504,2590246.709999999962747,2775928.520000000018626,2373041.280000000260770,2617881.279999999795109,10357097.790000000968575
20160505,2605480.169999999925494,2790057.390000000130385,2373041.280000000260770,2620858.080000000074506,10389436.920000001788139
