訓練日期,20161102 - 20170206
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11425280.559999998658895
真實報酬,1425280.559999998658895

夏普值報酬,0.133828056000000
夏普值風險,0.038877342700753
夏普值,3.442314898682860

預期報酬,21707.065497464362124
風險,77011.799571547657251
趨勢值,0.281866747929938
找到最佳解世代,2013
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](19),BA[2](2),DIS[6](1),NKE[19](6),
Stock#,AAPL[0](19),BA[2](2),DIS[6](1),NKE[19](6),
張數,22423,17554,27059,50382,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,59.729999999981374,134.859999999869615,18.989999999757856,45.160000000149012,
20161102,2502242.300000000279397,2470860.359999999869615,2487011.679999999701977,2505038.200000000186265,9965152.539999999105930
20161103,2462777.819999999832362,2458045.939999999944121,2526517.819999999832362,2505542.020000000018626,9952883.599999999627471
20161104,2440579.050000000279397,2449620.019999999552965,2501623.540000000037253,2517129.880000000353903,9908952.490000000223517
20161107,2475783.159999999683350,2510883.479999999981374,2555200.359999999869615,2564992.779999999795109,10106859.779999999329448
20161108,2490358.109999999869615,2496313.659999999683350,2553847.409999999683350,2573557.720000000204891,10114076.900000000372529
20161109,2486321.969999999739230,2547044.719999999739230,2560882.750000000000000,2575573.000000000000000,10169822.439999999478459
20161110,2417034.899999999906868,2592685.119999999646097,2569541.629999999422580,2538794.140000000130385,10118055.789999999105930
20161111,2431385.620000000111759,2607254.939999999944121,2643142.109999999869615,2557939.300000000279397,10239721.970000000670552
20161114,2370395.060000000055879,2633059.319999999832362,2649636.270000000018626,2529725.380000000353903,10182816.030000001192093
20161115,2401787.259999999776483,2600057.800000000279397,2643683.290000000037253,2525694.820000000298023,10171223.170000001788139
20161116,2466365.500000000000000,2570742.619999999646097,2682107.069999999832362,2553404.919999999925494,10272620.109999999403954
20161117,2465468.580000000074506,2551257.680000000167638,2688871.819999999832362,2599252.540000000502914,10304850.620000001043081
20161118,2467935.109999999869615,2569162.759999999776483,2658295.149999999441206,2574565.360000000335276,10269958.379999998956919
20161121,2505381.520000000018626,2580923.939999999944121,2641789.159999999683350,2583634.120000000111759,10311728.739999998360872
20161122,2506951.129999999888241,2624808.939999999944121,2643953.879999999422580,2605298.380000000353903,10381012.330000000074506
