訓練日期,20110311 - 20110613
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10869558.839999999850988
真實報酬,869558.839999999850988

夏普值報酬,0.078255884000000
夏普值風險,0.034082646849160
夏普值,2.296062402264058

預期報酬,17810.412358725239756
風險,145872.229896593693411
趨勢值,0.122095976536115
找到最佳解世代,2372
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
JNJ[12](3),PFE[20](4),
Stock#,JNJ[12](3),PFE[20](4),
張數,83878,258264,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,32.419999999925494,8.959999999962747,
20110311,5006710.239999999292195,5028409.040000000037253,10035119.279999999329448
20110314,4959738.560000000521541,5116218.799999999813735,10075957.359999999403954
20110315,4905217.859999999403954,5103305.600000000558794,10008523.460000000894070
20110316,4836437.899999999441206,4984504.160000000149012,9820942.059999998658895
20110317,4875860.560000000521541,5134297.279999999329448,10010157.839999999850988
20110318,4912766.879999999888241,5211776.479999999515712,10124543.359999999403954
20110321,4934575.160000000149012,5160123.679999999701977,10094698.839999999850988
20110322,4931220.040000000037253,5149793.120000000111759,10081013.160000000149012
20110323,4925348.580000000074506,5144627.840000000782311,10069976.420000001788139
20110324,4951350.759999999776483,5242768.160000000149012,10194118.919999999925494
20110325,4947156.859999999403954,5255681.360000000335276,10202838.219999998807907
20110328,4968965.139999999664724,5235020.240000000223517,10203985.379999998956919
20110329,4967287.580000000074506,5263429.279999999329448,10230716.859999999403954
20110330,4980708.060000000521541,5253098.719999999739230,10233806.780000001192093
20110331,4969803.919999999925494,5245350.799999999813735,10215154.719999998807907
20110401,4989934.639999999664724,5263429.279999999329448,10253363.919999998062849
20110404,5045294.120000000111759,5304751.519999999552965,10350045.640000000596046
20110405,5015936.819999999366701,5281507.759999999776483,10297444.579999998211861
20110406,5004193.899999999441206,5240185.519999999552965,10244379.419999998062849
20110407,4989095.859999999403954,5250516.079999999143183,10239611.939999997615814
20110408,4987418.299999999813735,5284090.400000000372529,10271508.699999999254942
20110411,5020969.500000000000000,5338325.840000000782311,10359295.339999999850988
20110412,5027679.739999999292195,5284090.400000000372529,10311770.140000000596046
20110413,4999161.219999999739230,5284090.400000000372529,10283251.620000001043081
20110414,5034389.980000000447035,5291838.319999999366701,10326228.300000000745058
20110415,5079684.100000000558794,5302168.879999999888241,10381852.980000000447035
20110418,5071296.299999999813735,5268594.559999999590218,10339890.859999999403954
20110419,5258344.239999999292195,5302168.879999999888241,10560513.119999999180436
20110420,5400936.839999999850988,5266011.919999999925494,10666948.759999999776483
20110421,5374095.879999998956919,5111053.519999999552965,10485149.399999998509884
20110425,5377451.000000000000000,5201445.919999999925494,10578896.919999999925494
20110426,5447908.520000000484288,5214359.120000000111759,10662267.640000000596046
20110427,5499912.879999998956919,5327995.279999999329448,10827908.159999998286366
20110428,5483976.059999999590218,5379648.079999999143183,10863624.139999998733401
20110429,5512494.580000000074506,5415805.040000000037253,10928299.620000001043081
20110502,5553594.799999999813735,5428718.240000000223517,10982313.039999999105930
20110503,5557788.700000000186265,5278925.120000000111759,10836713.820000000298023
20110504,5508300.679999999701977,5330577.919999999925494,10838878.599999999627471
20110505,5452941.200000000186265,5266011.919999999925494,10718953.120000001043081
20110506,5474749.479999999515712,5307334.160000000149012,10782083.640000000596046
20110509,5504945.559999999590218,5320247.360000000335276,10825192.919999999925494
20110510,5515849.700000000186265,5387396.000000000000000,10903245.699999999254942
20110511,5583790.879999998956919,5322830.000000000000000,10906620.879999998956919
20110512,5635795.239999999292195,5395143.919999999925494,11030939.160000000149012
20110513,5587984.780000000260770,5402891.840000000782311,10990876.620000001043081
20110516,5567015.280000000260770,5418387.679999999701977,10985402.960000000894070
20110517,5569531.620000000111759,5459709.919999999925494,11029241.539999999105930
20110518,5577919.419999999925494,5470040.479999999515712,11047959.899999998509884
20110519,5568692.839999999850988,5431300.879999999888241,10999993.719999998807907
20110520,5509978.239999999292195,5343491.120000000111759,10853469.359999999403954
20110523,5499074.100000000558794,5317664.719999999739230,10816738.820000000298023
20110524,5517527.259999999776483,5299586.240000000223517,10817113.500000000000000
20110525,5560305.040000000037253,5366734.879999999888241,10927039.919999999925494
20110526,5494880.200000000186265,5397726.559999999590218,10892606.759999999776483
20110527,5600566.479999999515712,5405474.479999999515712,11006040.959999999031425
20110531,5644183.040000000037253,5539771.759999999776483,11183954.800000000745058
20110601,5576241.860000000335276,5436466.160000000149012,11012708.019999999552965
20110602,5576241.860000000335276,5423552.959999999962747,10999794.820000000298023
20110603,5543529.440000000409782,5382230.719999999739230,10925760.160000000149012
20110606,5540174.319999999366701,5356404.319999999366701,10896578.639999998733401
20110607,5494041.419999999925494,5356404.319999999366701,10850445.739999998360872
20110608,5547723.339999999850988,5340908.479999999515712,10888631.820000000298023
20110609,5601405.259999999776483,5358986.959999999962747,10960392.219999998807907
20110610,5543529.440000000409782,5193698.000000000000000,10737227.440000001341105
20110613,5585468.440000000409782,5284090.400000000372529,10869558.839999999850988
