訓練日期,20181029 - 20190201
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11236145.619999999180436
真實報酬,1236145.619999999180436

夏普值報酬,0.114914562000000
夏普值風險,0.025456945785468
夏普值,4.514074978531010

預期報酬,19607.726438264013268
風險,380889.771096867159940
趨勢值,0.051478742476593
找到最佳解世代,2114
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
CAT[3](1),PG[21](2),
Stock#,CAT[3](1),PG[21](2),
張數,43459,56908,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,42.049999999813735,63.120000000111759,
20181029,4953498.870000000111759,5021625.040000000037253,9975123.910000000149012
20181030,5104736.189999999478459,5075687.639999999664724,10180423.829999998211861
20181031,5272487.929999999701977,5046664.560000000521541,10319152.490000000223517
20181101,5419379.349999999627471,5098450.839999999850988,10517830.189999999478459
20181102,5466749.660000000149012,5110970.600000000558794,10577720.260000001639128
20181105,5493694.239999999292195,5190072.720000000670552,10683766.960000000894070
20181106,5620594.520000000484288,5207714.200000000186265,10828308.720000000670552
20181107,5871352.949999999254942,5195194.440000000409782,11066547.390000000596046
20181108,5710120.059999999590218,5199178.000000000000000,10909298.059999998658895
20181109,5515423.739999999292195,5258931.400000000372529,10774355.140000000596046
20181112,5432417.049999999813735,5275434.720000000670552,10707851.769999999552965
20181113,5474137.689999999478459,5319253.879999999888241,10793391.570000000298023
20181114,5436762.949999999254942,5320392.040000000037253,10757154.989999998360872
20181115,5624505.829999999143183,5339740.759999999776483,10964246.589999999850988
20181116,5647973.690000000409782,5339171.679999999701977,10987145.370000001043081
20181119,5475006.870000000111759,5309010.440000000409782,10784017.310000000521541
20181120,5313773.979999999515712,5241289.919999999925494,10555063.899999998509884
20181121,5383308.379999999888241,5202023.400000000372529,10585331.780000001192093
20181123,5315946.929999999701977,5209421.440000000409782,10525368.370000001043081
20181126,5423725.250000000000000,5232184.639999999664724,10655909.890000000596046
20181127,5415033.449999999254942,5276572.879999999888241,10691606.329999998211861
20181128,5683175.480000000447035,5293076.200000000186265,10976251.679999999701977
20181129,5659707.619999999180436,5282263.679999999701977,10941971.299999998882413
20181130,5896124.579999999143183,5378438.200000000186265,11274562.779999999329448
20181203,6038670.099999999627471,5310717.679999999701977,11349387.779999999329448
20181204,5620159.929999999701977,5310148.600000000558794,10930308.530000001192093
20181206,5578873.879999999888241,5323806.519999999552965,10902680.399999998509884
20181207,5369401.500000000000000,5261207.720000000670552,10630609.220000000670552
20181210,5362448.059999999590218,5294214.360000000335276,10656662.419999999925494
20181211,5355929.209999999962747,5344293.400000000372529,10700222.609999999403954
20181212,5448496.879999999888241,5351122.360000000335276,10799619.240000000223517
20181213,5471530.150000000372529,5491116.040000000037253,10962646.190000001341105
20181214,5509339.479999999515712,5499652.240000000223517,11008991.719999998807907
20181217,5409383.779999999329448,5279418.280000000260770,10688802.059999998658895
20181218,5400691.979999999515712,5263484.040000000037253,10664176.019999999552965
20181219,5316381.519999999552965,5221941.200000000186265,10538322.719999998807907
20181220,5282483.500000000000000,5177552.959999999962747,10460036.460000000894070
20181221,5218164.179999999701977,5176983.879999999888241,10395148.059999998658895
20181224,5082572.099999999627471,4971546.000000000000000,10054118.099999999627471
20181226,5421986.889999999664724,5126904.839999999850988,10548891.730000000447035
20181227,5504993.580000000074506,5236737.280000000260770,10741730.859999999403954
20181228,5458927.040000000037253,5188934.560000000521541,10647861.600000001490116
20181231,5522377.179999999701977,5231046.480000000447035,10753423.660000000149012
20190102,5492390.469999999739230,5194625.360000000335276,10687015.830000000074506
20190103,5280745.139999999664724,5158204.240000000223517,10438949.379999998956919
20190104,5569312.900000000372529,5263484.040000000037253,10832796.940000001341105
20190107,5572789.619999999180436,5242428.080000000074506,10815217.699999999254942
20190108,5639716.480000000447035,5261776.799999999813735,10901493.280000001192093
20190109,5661445.980000000447035,5175845.720000000670552,10837291.700000001117587
20190110,5778350.690000000409782,5188365.480000000447035,10966716.170000001788139
20190111,5740975.949999999254942,5222510.280000000260770,10963486.230000000447035
20190114,5727938.250000000000000,5187227.320000000298023,10915165.570000000298023
20190115,5679698.759999999776483,5236168.200000000186265,10915866.960000000894070
20190116,5721853.989999999292195,5199747.080000000074506,10921601.070000000298023
20190117,5847015.909999999217689,5158204.240000000223517,11005220.149999998509884
20190118,5936541.449999999254942,5202592.480000000447035,11139133.929999999701977
20190122,5747060.209999999962747,5146822.639999999664724,10893882.849999999627471
20190123,5728807.429999999701977,5397217.839999999850988,11126025.269999999552965
20190124,5768355.119999999180436,5366487.519999999552965,11134842.639999998733401
20190125,5947840.790000000037253,5326651.919999999925494,11274492.710000000894070
20190128,5405037.879999999888241,5322099.280000000260770,10727137.160000000149012
20190129,5498909.320000000298023,5323237.440000000409782,10822146.760000001639128
20190130,5654492.540000000037253,5379007.280000000260770,11033499.820000000298023
20190131,5787042.489999999292195,5489977.879999999888241,11277020.369999999180436
20190201,5689259.739999999292195,5546885.879999999888241,11236145.619999999180436
