訓練日期,20150619 - 20150921
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10709550.379999998956919
真實報酬,709550.379999998956919

夏普值報酬,0.062255038000000
夏普值風險,0.023916541769586
夏普值,2.603011697918967

預期報酬,11234.440337052252289
風險,245728.002127904444933
趨勢值,0.045719007356779
找到最佳解世代,1883
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](1),NKE[19](2),
Stock#,HD[9](1),NKE[19](2),
張數,44702,94339,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,81.299999999813735,33.000000000000000,
20150619,5025927.160000000149012,5025471.530000000260770,10051398.690000001341105
20150622,5054536.439999999478459,5037735.599999999627471,10092272.039999999105930
20150623,5059453.660000000149012,5056603.400000000372529,10116057.060000000521541
20150624,5022351.000000000000000,5010377.290000000037253,10032728.289999999105930
20150625,5017433.779999999329448,4963207.790000000037253,9980641.570000000298023
20150626,5033526.500000000000000,5175470.540000000037253,10208997.039999999105930
20150629,4941440.379999999888241,5079244.760000000707805,10020685.140000000596046
20150630,4967814.559999999590218,5095282.389999999664724,10063096.949999999254942
20150701,5009834.439999999478459,5162263.080000000074506,10172097.519999999552965
20150702,4983907.279999999329448,5183017.660000000149012,10166924.939999999478459
20150706,4976307.939999999478459,5181130.879999999888241,10157438.820000000298023
20150707,5024586.099999999627471,5249998.349999999627471,10274584.449999999254942
20150708,4962003.299999999813735,5154715.959999999962747,10116719.259999999776483
20150709,4978990.059999999590218,5162263.080000000074506,10141253.140000000596046
20150710,5055877.500000000000000,5213206.139999999664724,10269083.640000000596046
20150713,5136341.099999999627471,5302828.190000000409782,10439169.289999999105930
20150714,5156904.019999999552965,5299054.629999999888241,10455958.649999998509884
20150715,5166738.459999999962747,5278300.049999999813735,10445038.509999999776483
20150716,5128741.759999999776483,5299054.629999999888241,10427796.390000000596046
20150717,5117119.240000000223517,5320752.599999999627471,10437871.839999999850988
20150720,5069735.120000000111759,5336790.230000000447035,10406525.350000001490116
20150721,5089851.019999999552965,5330186.500000000000000,10420037.519999999552965
20150722,5136341.099999999627471,5382072.950000000186265,10518414.050000000745058
20150723,5122483.479999999515712,5377356.000000000000000,10499839.480000000447035
20150724,5077781.479999999515712,5330186.500000000000000,10407967.980000000447035
20150727,5054536.439999999478459,5270752.929999999701977,10325289.369999999180436
20150728,5133658.979999999515712,5352827.860000000335276,10486486.839999999850988
20150729,5202053.040000000037253,5420751.940000000409782,10622804.980000000447035
20150730,5206076.219999999739230,5425468.889999999664724,10631545.109999999403954
20150731,5231556.359999999403954,5434902.790000000037253,10666459.149999998509884
20150803,5225298.080000000074506,5416978.379999999888241,10642276.460000000894070
20150804,5253907.359999999403954,5461317.709999999962747,10715225.070000000298023
20150805,5274917.299999999813735,5507543.820000000298023,10782461.120000001043081
20150806,5210546.419999999925494,5430185.839999999850988,10640732.259999999776483
20150807,5227086.160000000149012,5401884.139999999664724,10628970.300000000745058
20150810,5257036.500000000000000,5441506.519999999552965,10698543.019999999552965
20150811,5261059.679999999701977,5399053.969999999739230,10660113.649999998509884
20150812,5261059.679999999701977,5333016.669999999925494,10594076.349999999627471
20150813,5320513.339999999850988,5358488.200000000186265,10679001.539999999105930
20150814,5353145.799999999813735,5394337.019999999552965,10747482.820000000298023
20150817,5350910.700000000186265,5423582.110000000335276,10774492.810000000521541
20150818,5489486.899999999441206,5416034.989999999292195,10905521.889999998733401
20150819,5487698.820000000298023,5422638.719999999739230,10910337.539999999105930
20150820,5388460.379999999888241,5297167.849999999627471,10685628.230000000447035
20150821,5192665.620000000111759,5041509.160000000149012,10234174.780000001192093
20150824,5030844.379999999888241,4900000.660000000149012,9930845.039999999105930
20150825,4960662.240000000223517,4883963.030000000260770,9844625.269999999552965
20150826,5182384.160000000149012,5130187.820000000298023,10312571.980000000447035
20150827,5259718.620000000111759,5312262.089999999850988,10571980.710000000894070
20150828,5253460.339999999850988,5306601.750000000000000,10560062.089999999850988
20150831,5206076.219999999739230,5271696.320000000298023,10477772.539999999105930
20150901,5054536.439999999478459,5124527.480000000447035,10179063.919999999925494
20150902,5206970.259999999776483,5221696.650000000372529,10428666.910000000149012
20150903,5212334.500000000000000,5229243.769999999552965,10441578.269999999552965
20150904,5114884.139999999664724,5174527.150000000372529,10289411.289999999105930
20150908,5204735.160000000149012,5271696.320000000298023,10476431.480000000447035
20150909,5094768.240000000223517,5182074.269999999552965,10276842.509999999776483
20150910,5118013.279999999329448,5206602.410000000149012,10324615.689999999478459
20150911,5160480.179999999701977,5274526.489999999292195,10435006.669999998062849
20150914,5128741.759999999776483,5278300.049999999813735,10407041.809999998658895
20150915,5193559.660000000149012,5369808.879999999888241,10563368.539999999105930
20150916,5266870.939999999478459,5451883.809999999590218,10718754.750000000000000
20150917,5270894.120000000111759,5437732.959999999962747,10708627.080000000074506
20150918,5146175.540000000037253,5427355.669999999925494,10573531.210000000894070
20150921,5211440.459999999962747,5498109.919999999925494,10709550.379999998956919
