訓練日期,20110629 - 20110929
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11088436.230000000447035
真實報酬,1088436.230000000447035

夏普值報酬,0.100143623000000
夏普值風險,0.032016043672308
夏普值,3.127919989896180

預期報酬,21842.521160625638004
風險,308755.316869542642962
趨勢值,0.070743789555063
找到最佳解世代,1986
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AAPL[0](1),MCD[15](2),
Stock#,AAPL[0](1),MCD[15](2),
張數,104405,59276,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,44.549999999813735,69.400000000372529,
20110629,4982251.149999999441206,5013040.719999999739230,9995291.869999999180436
20110630,5006264.299999999813735,4998221.719999999739230,10004486.019999999552965
20110701,5120065.750000000000000,5077058.800000000745058,10197124.550000000745058
20110705,5211942.150000000372529,5076466.040000000037253,10288408.190000001341105
20110706,5246395.799999999813735,5089506.760000000707805,10335902.560000000521541
20110707,5327831.700000000186265,5101361.960000000894070,10429193.660000000149012
20110708,5365417.500000000000000,5074095.000000000000000,10439512.500000000000000
20110711,5279805.399999999441206,5059276.000000000000000,10339081.399999998509884
20110712,5276673.250000000000000,5037936.639999999664724,10314609.890000000596046
20110713,5340360.299999999813735,5036158.360000000335276,10376518.660000000149012
20110714,5336184.099999999627471,5086542.960000000894070,10422727.060000000521541
20110715,5442677.200000000186265,5066981.880000000819564,10509659.080000001937151
20110718,5575271.549999999813735,5062239.800000000745058,10637511.350000001490116
20110719,5621209.750000000000000,5110253.360000000335276,10731463.109999999403954
20110720,5770508.900000000372529,5113809.919999999925494,10884318.820000000298023
20110721,5776773.199999999254942,5129814.440000000409782,10906587.640000000596046
20110722,5866561.500000000000000,5249551.960000000894070,11116113.460000000894070
20110725,5943821.200000000186265,5223470.520000000484288,11167291.720000000670552
20110726,6016904.700000000186265,5217542.919999999925494,11234447.620000001043081
20110727,5855076.949999999254942,5162416.240000000223517,11017493.189999999478459
20110728,5843592.399999999441206,5144040.680000000633299,10987633.080000000074506
20110729,5823755.450000000186265,5126257.880000000819564,10950013.330000001937151
20110801,5917719.950000000186265,5120923.040000000037253,11038642.990000000223517
20110802,5800786.349999999627471,5042085.960000000894070,10842872.310000000521541
20110803,5855076.949999999254942,5070538.440000000409782,10925615.390000000596046
20110804,5628518.099999999627471,4995850.680000000633299,10624368.780000001192093
20110805,5572139.399999999441206,5043271.480000000447035,10615410.879999998956919
20110808,5268320.849999999627471,4867221.760000000707805,10135542.609999999403954
20110809,5578403.700000000186265,5095434.360000000335276,10673838.060000000521541
20110810,5424928.349999999627471,4983995.480000000447035,10408923.830000000074506
20110811,5574227.500000000000000,5114402.680000000633299,10688630.179999999701977
20110812,5623297.849999999627471,5127443.400000000372529,10750741.250000000000000
20110815,5718306.400000000372529,5146411.719999999739230,10864718.120000001043081
20110816,5674456.299999999813735,5137520.320000000298023,10811976.620000001043081
20110817,5674456.299999999813735,5186719.400000000372529,10861175.699999999254942
20110818,5459382.000000000000000,5074687.760000000707805,10534069.760000001639128
20110819,5310082.849999999627471,5170714.880000000819564,10480797.730000000447035
20110822,5316347.150000000372529,5202131.160000001080334,10518478.310000002384186
20110823,5572139.399999999441206,5307049.680000000633299,10879189.080000000074506
20110824,5610769.250000000000000,5342615.280000000260770,10953384.530000001192093
20110825,5574227.500000000000000,5258443.360000000335276,10832670.859999999403954
20110826,5721438.549999999813735,5330760.080000001005828,11052198.630000000819564
20110829,5816447.099999999627471,5381737.440000000409782,11198184.539999999105930
20110830,5816447.099999999627471,5381144.680000000633299,11197591.780000001192093
20110831,5740231.449999999254942,5359212.560000000521541,11099444.009999999776483
20110901,5682808.700000000186265,5339058.719999999739230,11021867.419999999925494
20110902,5579447.750000000000000,5280968.240000000223517,10860415.990000000223517
20110906,5664015.799999999813735,5264963.719999999739230,10928979.519999999552965
20110907,5726658.799999999813735,5292823.440000000409782,11019482.240000000223517
20110908,5729790.950000000186265,5252515.760000000707805,10982306.710000000894070
20110909,5630606.200000000186265,5040307.680000000633299,10670913.880000000819564
20110912,5667147.950000000186265,5109067.839999999850988,10776215.789999999105930
20110913,5737099.299999999813735,5104918.520000000484288,10842017.820000000298023
20110914,5806006.599999999627471,5142262.400000000372529,10948269.000000000000000
20110915,5861341.250000000000000,5220506.719999999739230,11081847.969999998807907
20110916,5973054.599999999627471,5233547.440000000409782,11206602.039999999105930
20110919,6139058.549999999813735,5264370.960000000894070,11403429.510000001639128
20110920,6166203.849999999627471,5294008.960000000894070,11460212.810000000521541
20110921,6147410.950000000186265,5187904.919999999925494,11335315.870000001043081
20110922,5992891.549999999813735,5097212.639999999664724,11090104.189999999478459
20110923,6030477.349999999627471,5179013.520000000484288,11209490.870000001043081
20110926,6013772.549999999813735,5295787.240000000223517,11309559.789999999105930
20110927,5955305.750000000000000,5319497.639999999664724,11274803.390000000596046
20110928,5921896.149999999441206,5218135.680000000633299,11140031.830000000074506
20110929,5825843.549999999813735,5262592.680000000633299,11088436.230000000447035
