代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10460034.399999998509884
真實報酬,460034.399999998509884

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,24933.849631093544303
風險,52243.073061607268755
起點值,0.477266136348650
找到最佳解世代,1744
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](7),KO[14](21),NKE[19](5),PFE[20](18),
Stock#,AAPL[0](7),KO[14](21),NKE[19](5),PFE[20](18),
張數,14784,58699,36710,70621,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,25.600000000093132,9.589999999850988,49.000000000000000,16.600000000093132,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2610436.479999999981374,2468889.529999999795109,2505873.600000000093132,2463983.290000000037253,10049182.899999998509884
FS( 3 ),2615167.359999999869615,2458910.699999999720603,2455948.000000000000000,2454802.560000000055879,9984828.619999999180436
FS( 4 ),2717768.320000000298023,2486499.229999999981374,2500000.000000000000000,2460452.240000000223517,10164719.790000000968575
FS( 5 ),2737431.040000000037253,2473585.449999999720603,2545520.399999999906868,2466808.129999999888241,10223345.019999999552965
FS( 6 ),2750588.800000000279397,2454214.779999999795109,2513215.599999999627471,2470339.179999999701977,10188358.359999999403954
FS( 7 ),2769955.840000000316650,2452453.810000000055879,2494493.500000000000000,2483757.170000000391155,10200660.320000000298023
FS( 8 ),2809576.959999999962747,2475933.409999999683350,2493392.200000000186265,2474576.439999999944121,10253479.009999999776483
FS( 9 ),2788140.160000000149012,2473585.449999999720603,2512114.300000000279397,2507062.100000000093132,10280902.009999999776483
FS( 10 ),2781635.200000000186265,2467715.549999999813735,2527165.399999999906868,2532485.660000000149012,10309001.810000000521541
FS( 11 ),2756354.560000000055879,2448931.869999999646097,2551394.000000000000000,2520480.089999999850988,10277160.519999999552965
FS( 12 ),2782078.720000000204891,2438953.039999999571592,2618940.399999999906868,2519773.879999999888241,10359746.039999999105930
FS( 13 ),2764485.760000000242144,2482977.289999999571592,2604256.399999999906868,2521892.510000000242144,10373611.959999999031425
FS( 14 ),2754432.640000000130385,2482977.289999999571592,2618206.199999999720603,2516949.040000000037253,10372565.169999998062849
FS( 15 ),2773947.520000000018626,2489434.179999999701977,2620408.799999999813735,2528248.399999999906868,10412038.899999998509884
FS( 16 ),2766999.040000000037253,2480042.339999999850988,2617839.100000000093132,2522598.720000000204891,10387479.200000001117587
FS( 17 ),2784739.840000000316650,2488847.189999999944121,2618940.399999999906868,2540253.970000000204891,10432781.400000000372529
FS( 18 ),2781635.200000000186265,2484151.270000000018626,2649776.800000000279397,2534604.290000000037253,10450167.560000002384186
FS( 19 ),2787992.320000000298023,2488847.189999999944121,2652346.500000000000000,2519773.879999999888241,10448959.890000000596046
FS( 20 ),2777939.200000000186265,2505282.909999999683350,2603522.200000000186265,2521186.300000000279397,10407930.609999999403954
FS( 21 ),2772025.600000000093132,2531697.459999999962747,2651612.300000000279397,2545903.649999999906868,10501239.010000001639128
FS( 22 ),2762711.680000000167638,2524066.589999999850988,2635827.000000000000000,2537429.129999999888241,10460034.399999998509884
