代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10539679.400000000372529
真實報酬,539679.400000000372529

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,22239.487638175793109
風險,45135.672642966092099
起點值,0.492725295446363
找到最佳解世代,1842
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
JNJ[12](1),MCD[15](9),PG[21](4),UNH[23](7),
Stock#,JNJ[12](1),MCD[15](9),PG[21](4),UNH[23](7),
張數,27304,26505,32266,32425,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,45.759999999776483,48.400000000372529,30.319999999832362,32.500000000000000,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2548601.119999999646097,2517493.300000000279397,2531298.020000000018626,2533397.750000000000000,10130790.189999999478459
FS( 3 ),2528123.119999999646097,2518553.500000000465661,2510970.439999999478459,2528858.250000000000000,10086505.309999998658895
FS( 4 ),2536314.319999999832362,2533396.300000000279397,2518714.279999999795109,2517509.500000000000000,10105934.400000000372529
FS( 5 ),2548055.039999999571592,2531275.900000000372529,2529039.399999999906868,2509727.500000000000000,10118097.839999999850988
FS( 6 ),2551604.560000000055879,2523324.400000000372529,2533879.299999999813735,2525291.500000000000000,10134099.760000001639128
FS( 7 ),2552696.719999999739230,2618212.300000000279397,2547431.020000000018626,2522049.000000000000000,10240389.039999999105930
FS( 8 ),2555700.159999999683350,2616356.950000000186265,2556788.159999999683350,2516212.500000000000000,10245057.769999999552965
FS( 9 ),2539317.759999999776483,2580840.250000000465661,2555174.859999999869615,2497081.750000000000000,10172414.619999999180436
FS( 10 ),2534130.000000000000000,2586406.300000000279397,2548399.000000000000000,2454605.000000000000000,10123540.300000000745058
FS( 11 ),2564710.479999999981374,2586936.400000000372529,2576147.759999999776483,2488975.500000000000000,10216770.140000000596046
FS( 12 ),2564983.519999999552965,2579249.950000000651926,2573889.139999999664724,2529182.500000000000000,10247305.109999999403954
FS( 13 ),2555427.119999999646097,2547178.900000000372529,2541945.799999999813735,2592735.500000000000000,10237287.320000000298023
FS( 14 ),2569898.239999999757856,2560431.400000000372529,2527103.439999999478459,2643642.750000000000000,10301075.830000000074506
FS( 15 ),2619318.479999999981374,2530480.750000000465661,2512906.399999999906868,2637482.000000000000000,10300187.630000000819564
FS( 16 ),2599386.560000000055879,2549299.300000000745058,2558724.119999999646097,2635536.500000000000000,10342946.480000000447035
FS( 17 ),2658909.279999999795109,2542142.950000000186265,2575179.779999999795109,2629700.000000000000000,10405932.009999999776483
FS( 18 ),2649898.959999999497086,2540287.600000000558794,2565177.319999999832362,2643967.000000000000000,10399330.880000000819564
FS( 19 ),2656178.879999999888241,2548769.200000000186265,2570017.220000000204891,2627106.000000000000000,10402071.300000000745058
FS( 20 ),2660547.519999999552965,2577394.600000000093132,2573566.479999999981374,2646561.000000000000000,10458069.599999999627471
FS( 21 ),2682117.679999999701977,2598333.550000000279397,2600669.919999999459833,2658558.250000000000000,10539679.400000000372529
