代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10601532.290000000968575
真實報酬,601532.290000000968575

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,29360.113670619266486
風險,60375.524216922982305
起點值,0.486291656286601
找到最佳解世代,1786
找到最佳解實驗#,1
找到最佳解次數,33

stock[index](rank)
投資組合檔數,3
TRV[22](1),V[25](5),WMT[28](15),
Stock#,TRV[22](1),V[25](5),WMT[28](15),
張數,33568,49127,46373,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,30.600000000093132,66.050000000279397,41.760000000242144,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3330983.240000000223517,3352492.530000000260770,3332405.540000000037253,10015882.310000000521541
FS( 3 ),3321248.520000000018626,3346597.290000000502914,3363475.450000000186265,10031322.260000001639128
FS( 4 ),3357837.640000000130385,3329402.840000000316650,3421905.430000000633299,10109146.910000000149012
FS( 5 ),3315206.280000000260770,3278310.760000000242144,3388053.140000000130385,9981571.180000001564622
FS( 6 ),3359180.359999999869615,3294031.400000000372529,3375068.700000000186265,10028281.460000000894070
FS( 7 ),3390398.600000000093132,3361335.390000000130385,3390835.520000000484288,10142570.510000001639128
FS( 8 ),3435044.040000000037253,3415375.090000000316650,3426079.000000000000000,10276499.130000000819564
FS( 9 ),3436722.439999999944121,3443868.750000000000000,3421905.430000000633299,10302497.620000001043081
FS( 10 ),3438065.160000000149012,3439938.590000000316650,3415413.210000000428408,10293417.960000000894070
FS( 11 ),3467269.320000000298023,3466958.439999999944121,3423760.350000000093132,10357989.109999999403954
FS( 12 ),3455520.520000000018626,3482187.810000000055879,3403356.230000000447035,10341065.560000000521541
FS( 13 ),3444443.080000000074506,3571598.950000000186265,3389908.060000000055879,10405951.089999999850988
FS( 14 ),3507215.240000000223517,3538192.590000000316650,3373213.779999999795109,10418622.609999999403954
FS( 15 ),3534741.000000000000000,3535736.240000000223517,3392690.439999999944121,10463168.679999999701977
FS( 16 ),3534741.000000000000000,3524928.300000000279397,3362547.990000000689179,10422218.290000000968575
FS( 17 ),3533733.959999999962747,3674765.650000000372529,3319421.100000000093132,10527921.710000000894070
FS( 18 ),3544475.720000000204891,3628586.270000000484288,3310146.500000000000000,10483209.490000000223517
FS( 19 ),3556224.520000000018626,3671818.030000000260770,3343535.060000000055879,10571578.610000001266599
FS( 20 ),3572672.840000000316650,3734209.320000000298023,3349563.550000000279397,10656446.710000000894070
FS( 21 ),3575022.600000000093132,3752386.310000000055879,3346317.439999999944121,10673727.349999999627471
FS( 22 ),3562266.760000000242144,3701294.230000000447035,3337970.300000000279397,10601532.290000000968575
