代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11038107.830000000074506
真實報酬,1038107.830000000074506

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,62246.435721254340024
風險,88023.919345702510327
起點值,0.707153648507624
找到最佳解世代,2782
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](8),MRK[17](3),VZ[26](12),WMT[28](1),
Stock#,DIS[6](8),MRK[17](3),VZ[26](12),WMT[28](1),
張數,91207,79974,90909,49721,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,16.129999999888241,12.759999999776483,2.500000000000000,28.120000000111759,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2519153.470000000204891,2452815.339999999850988,2470909.120000000111759,2481106.020000000018626,9923983.950000001117587
FS( 3 ),2556548.339999999850988,2610364.119999999646097,2473636.390000000130385,2504972.100000000093132,10145520.949999999254942
FS( 4 ),2645019.129999999888241,2615962.299999999813735,2490909.100000000093132,2549721.000000000000000,10301611.529999999329448
FS( 5 ),2604888.049999999813735,2606365.419999999925494,2512727.260000000242144,2548229.370000000111759,10272210.100000001490116
FS( 6 ),2645019.129999999888241,2673543.579999999608845,2564545.390000000130385,2585520.120000000111759,10468628.219999998807907
FS( 7 ),2655963.970000000204891,2687938.899999999906868,2576363.560000000055879,2600933.630000000353903,10521200.060000000521541
FS( 8 ),2671469.159999999683350,2656749.039999999571592,2579999.919999999925494,2633749.490000000223517,10541967.609999999403954
FS( 9 ),2649579.479999999981374,2637555.279999999329448,2563636.299999999813735,2647174.160000000149012,10497945.219999998807907
FS( 10 ),2776357.209999999962747,2647152.159999999683350,2560909.030000000260770,2645185.320000000298023,10629603.719999998807907
FS( 11 ),2800071.029999999795109,2703933.700000000186265,2578181.739999999757856,2643196.479999999981374,10725382.950000001117587
FS( 12 ),2815576.220000000204891,2742321.219999999739230,2605454.439999999944121,2668056.979999999981374,10831408.859999999403954
FS( 13 ),2797334.819999999832362,2810299.119999999646097,2606363.530000000260770,2692420.270000000018626,10906417.740000000223517
FS( 14 ),2755379.600000000093132,2825494.179999999701977,2593636.270000000018626,2711811.459999999962747,10886321.509999997913837
FS( 15 ),2737138.200000000186265,2915864.799999999813735,2586363.549999999813735,2698884.000000000000000,10938250.550000000745058
FS( 16 ),2780005.489999999757856,2912665.839999999850988,2662727.109999999869615,2718772.399999999906868,11074170.839999999850988
FS( 17 ),2757203.739999999757856,2896671.039999999571592,2709090.700000000186265,2727224.970000000204891,11090190.449999999254942
FS( 18 ),2791862.399999999906868,2924661.939999999944121,2722727.049999999813735,2732694.280000000260770,11171945.670000001788139
FS( 19 ),2768148.580000000074506,2902269.219999999739230,2688181.629999999888241,2716286.350000000093132,11074885.779999999329448
FS( 20 ),2756291.669999999925494,2895871.299999999813735,2673636.189999999944121,2712308.669999999925494,11038107.830000000074506
