代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10320429.839999999850988
真實報酬,320429.839999999850988

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,19452.042817813828151
風險,32034.643421114335069
起點值,0.607218958616309
找到最佳解世代,2600
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
KO[14](2),WMT[28](1),
Stock#,KO[14](2),WMT[28](1),
張數,117896,69608,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,30.640000000596046,57.360000000335276,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5031831.920000000856817,5012529.440000000409782,10044361.360000001266599
FS( 3 ),5018863.360000000335276,4987470.560000000521541,10006333.920000001788139
FS( 4 ),5030652.960000000894070,4972156.800000000745058,10002809.760000001639128
FS( 5 ),5023579.200000000186265,5074480.560000000521541,10098059.760000001639128
FS( 6 ),5033010.879999999888241,5085617.840000000782311,10118628.720000000670552
FS( 7 ),5029474.000000000000000,5111372.800000000745058,10140846.800000000745058
FS( 8 ),5062484.879999999888241,5112068.879999999888241,10174553.759999999776483
FS( 9 ),5044800.480000000447035,5091882.560000000521541,10136683.040000000968575
FS( 10 ),5077811.360000000335276,5115549.280000000260770,10193360.640000000596046
FS( 11 ),5126148.720000000670552,5143392.480000000447035,10269541.200000001117587
FS( 12 ),5096674.720000000670552,5155921.919999999925494,10252596.640000000596046
FS( 13 ),5080169.280000001192093,5206735.759999999776483,10286905.040000000968575
FS( 14 ),5077811.360000000335276,5216480.879999999888241,10294292.240000000223517
FS( 15 ),5102569.520000000484288,5205343.600000000558794,10307913.120000001043081
FS( 16 ),5082527.200000000186265,5224137.759999999776483,10306664.960000000894070
FS( 17 ),5097853.680000000633299,5250588.800000000745058,10348442.480000000447035
FS( 18 ),5070737.600000000558794,5251284.879999999888241,10322022.480000000447035
FS( 19 ),5087243.040000000037253,5233186.800000000745058,10320429.839999999850988
