代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10261688.539999999105930
真實報酬,261688.539999999105930

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,19841.190401691357692
風險,80046.842384171555750
起點值,0.247869744898454
找到最佳解世代,2309
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
INTC[11](3),KO[14](1),
Stock#,INTC[11](3),KO[14](1),
張數,243072,162022,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,8.959999999962747,1.080000000074506,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4944093.439999999478459,5011341.540000000037253,9955434.980000000447035
FS( 3 ),4978123.520000000484288,5019442.640000000596046,9997566.160000000149012
FS( 4 ),5097228.799999999813735,5059948.140000000596046,10157176.940000001341105
FS( 5 ),5162858.239999999292195,5069669.459999999962747,10232527.699999999254942
FS( 6 ),5160427.520000000484288,5059948.140000000596046,10220375.660000000149012
FS( 7 ),5143412.480000000447035,5074530.120000000111759,10217942.600000001490116
FS( 8 ),5114243.839999999850988,5068049.240000000223517,10182293.080000000074506
FS( 9 ),5155566.080000000074506,5087491.879999999888241,10243057.960000000894070
FS( 10 ),5233349.120000000111759,5097213.200000000186265,10330562.320000000298023
FS( 11 ),5177442.560000000521541,5100453.640000000596046,10277896.200000001117587
FS( 12 ),5121536.000000000000000,5029163.959999999962747,10150699.960000000894070
FS( 13 ),5123966.719999999739230,5064808.800000000745058,10188775.519999999552965
FS( 14 ),5109382.399999999441206,5171743.320000000298023,10281125.719999998807907
FS( 15 ),5138551.040000000037253,5210628.599999999627471,10349179.640000000596046
FS( 16 ),5165288.959999999962747,5207388.160000000149012,10372677.120000001043081
FS( 17 ),5126397.439999999478459,5153920.899999999441206,10280318.339999999850988
FS( 18 ),5199319.040000000037253,5234931.900000000372529,10434250.940000001341105
FS( 19 ),5187165.439999999478459,5194426.400000000372529,10381591.839999999850988
FS( 20 ),5184734.719999999739230,5136098.479999999515712,10320833.199999999254942
FS( 21 ),5143412.480000000447035,5118276.059999999590218,10261688.539999999105930
