代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10575338.159999998286366
真實報酬,575338.159999998286366

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,29342.752786771470710
風險,47560.339624631618790
起點值,0.616958436763870
找到最佳解世代,2271
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](1),HD[9](4),NKE[19](7),UNH[23](2),WMT[28](26),
Stock#,AAPL[0](1),HD[9](4),NKE[19](7),UNH[23](2),WMT[28](26),
張數,23070,38699,86021,39054,27166,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,61.699999999953434,35.679999999934807,11.750000000000000,44.659999999916181,39.079999999841675,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2003229.799999999813735,1988777.290000000037253,1990537.689999999944121,1995704.060000000055879,2011681.379999999655411,9989930.219999998807907
FS( 3 ),2029298.899999999906868,2023606.389999999897555,2033548.189999999944121,2015621.599999999860302,2025264.379999999655411,10127339.459999999031425
FS( 4 ),2051907.500000000000000,2012383.679999999934807,2054193.229999999981374,1991798.659999999916181,2017929.559999999823049,10128212.630000000819564
FS( 5 ),2046370.699999999953434,2027863.279999999795109,2067956.589999999850988,2051941.819999999832362,2010051.419999999692664,10204183.809999998658895
FS( 6 ),2042910.199999999953434,2042955.889999999897555,2062795.330000000074506,2059362.079999999841675,2018744.539999999804422,10226768.039999999105930
FS( 7 ),2045909.300000000046566,2056887.529999999795109,2044730.919999999925494,2031633.739999999990687,2006248.179999999701977,10185409.669999999925494
FS( 8 ),2048908.399999999906868,2053404.620000000111759,2032687.979999999981374,2026947.259999999776483,2001629.959999999962747,10163578.219999998807907
FS( 9 ),2076361.699999999953434,2044116.859999999869615,2061074.910000000149012,2026947.259999999776483,1994023.479999999981374,10202524.209999999031425
FS( 10 ),2081898.499999999767169,2117257.969999999739230,2041290.080000000074506,2029681.039999999804422,2010594.739999999990687,10280722.330000000074506
FS( 11 ),2079130.100000000093132,2128480.679999999701977,2026666.509999999776483,2062876.939999999944121,2022547.780000000027940,10319702.009999997913837
FS( 12 ),2097355.399999999441206,2179176.370000000111759,2038709.449999999953434,2085137.719999999972060,1960065.979999999981374,10360444.919999999925494
FS( 13 ),2136113.000000000000000,2195429.950000000186265,2070537.219999999972060,2074983.679999999934807,1955719.419999999692664,10432783.269999999552965
FS( 14 ),2192173.099999999627471,2189238.110000000335276,2059354.490000000223517,2077717.459999999962747,1964140.879999999655411,10482624.039999999105930
FS( 15 ),2162182.099999999627471,2179563.360000000335276,2061074.910000000149012,2086309.340000000083819,1940506.459999999962747,10429636.170000001788139
FS( 16 ),2204400.200000000186265,2191947.040000000037253,2059354.490000000223517,2107789.040000000037253,1949742.899999999674037,10513233.669999999925494
FS( 17 ),2183867.899999999441206,2188464.129999999888241,2052472.810000000055879,2105836.339999999850988,1944038.039999999804422,10474679.219999998807907
FS( 18 ),2185944.200000000186265,2204330.719999999739230,2083440.369999999878928,2115209.299999999813735,1958979.339999999850988,10547903.929999999701977
FS( 19 ),2227008.799999999813735,2193108.009999999776483,2073978.060000000055879,2132783.599999999627471,1969574.079999999841675,10596452.549999998882413
FS( 20 ),2224009.700000000186265,2187690.150000000372529,2126450.870000000111759,2121848.479999999515712,1967129.139999999664724,10627128.339999999850988
FS( 21 ),2219626.399999999441206,2199686.839999999850988,2122149.820000000298023,2133955.219999999739230,1976908.899999999674037,10652327.179999999701977
FS( 22 ),2188020.500000000000000,2191173.059999999590218,2102364.990000000223517,2135907.919999999925494,1962782.579999999841675,10580249.049999998882413
FS( 23 ),2192403.799999999813735,2196203.929999999701977,2093762.889999999897555,2120676.859999999403954,1972290.679999999701977,10575338.159999998286366
