代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10963205.350000001490116
真實報酬,963205.350000001490116

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,61219.394514170082402
風險,253602.382855556439608
起點值,0.241399129711800
找到最佳解世代,2453
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
V[25](1),WMT[28](2),
Stock#,V[25](1),WMT[28](2),
張數,400320,107365,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,3.200000000186265,11.950000000186265,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4843875.200000000186265,5133132.600000000558794,9977007.800000000745058
FS( 3 ),4915932.799999999813735,4983895.250000000000000,9899828.050000000745058
FS( 4 ),5380304.000000000000000,5213656.350000000558794,10593960.350000001490116
FS( 5 ),5544435.200000000186265,5328536.900000000372529,10872972.100000001490116
FS( 6 ),5536428.799999999813735,5290959.150000000372529,10827387.949999999254942
FS( 7 ),5388310.400000000372529,5123469.750000000000000,10511780.150000000372529
FS( 8 ),5500400.000000000000000,5178225.899999999441206,10678625.899999998509884
FS( 9 ),5644515.200000000186265,5167489.400000000372529,10812004.600000001490116
FS( 10 ),5600480.000000000000000,4995705.400000000372529,10596185.400000000372529
FS( 11 ),5428342.400000000372529,5179299.550000000745058,10607641.950000001117587
FS( 12 ),5620496.000000000000000,5368261.950000000186265,10988757.949999999254942
FS( 13 ),5568454.400000000372529,5416576.200000000186265,10985030.600000001490116
FS( 14 ),5572457.600000000558794,5370409.250000000931323,10942866.850000001490116
FS( 15 ),5428342.400000000372529,5248013.150000000372529,10676355.550000000745058
FS( 16 ),5640512.000000000000000,5369335.599999999627471,11009847.599999999627471
FS( 17 ),5548438.400000000372529,5283443.600000000558794,10831882.000000000000000
FS( 18 ),5612489.599999999627471,5180373.200000000186265,10792862.800000000745058
FS( 19 ),5676540.799999999813735,5286664.550000000745058,10963205.350000001490116
