代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10304943.960000000894070
真實報酬,304943.960000000894070

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,22663.489477732837258
風險,115434.433649983140640
起點值,0.196332140775710
找到最佳解世代,2273
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](3),MCD[15](4),MRK[17](2),TRV[22](12),
Stock#,BA[2](3),MCD[15](4),MRK[17](2),TRV[22](12),
張數,44499,39821,67549,50190,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,46.180000000167638,37.620000000111759,11.510000000242144,36.100000000093132,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2581878.160000000149012,2480885.919999999925494,2510132.350000000093132,2440775.800000000279397,10013672.230000000447035
FS( 3 ),2660196.400000000372529,2447038.070000000298023,2543906.850000000093132,2406144.700000000186265,10057286.019999999552965
FS( 4 ),2767883.980000000447035,2464957.520000000018626,2547959.790000000037253,2440775.800000000279397,10221577.089999999850988
FS( 5 ),2741184.580000000074506,2462568.260000000242144,2546608.810000000521541,2437262.500000000000000,10187624.150000000372529
FS( 6 ),2708700.310000000055879,2481682.340000000316650,2556741.160000000149012,2436258.700000000186265,10183382.510000001639128
FS( 7 ),2689120.750000000000000,2495221.479999999981374,2536476.459999999962747,2451817.600000000093132,10172636.290000000968575
FS( 8 ),2721605.020000000018626,2492434.010000000242144,2629694.080000000074506,2460349.900000000372529,10304083.010000001639128
FS( 9 ),2739404.620000000111759,2494823.270000000018626,2701296.020000000484288,2473399.300000000279397,10408923.210000000894070
FS( 10 ),2706475.360000000335276,2480089.500000000000000,2666170.540000000037253,2448806.200000000186265,10301541.600000001490116
FS( 11 ),2698910.530000000260770,2527874.700000000186265,2743851.890000000130385,2480927.800000000279397,10451564.920000001788139
FS( 12 ),2678885.980000000447035,2509158.830000000074506,2771546.980000000447035,2455832.800000000279397,10415424.590000001713634
FS( 13 ),2634386.980000000447035,2516724.820000000298023,2707375.430000000167638,2456836.600000000093132,10315323.830000000074506
FS( 14 ),2570753.410000000149012,2524290.810000000055879,2625641.140000000130385,2424715.000000000000000,10145400.360000001266599
FS( 15 ),2571198.400000000372529,2512344.510000000242144,2618210.750000000000000,2453825.200000000186265,10155578.859999999403954
FS( 16 ),2568083.470000000204891,2541015.630000000353903,2606051.930000000167638,2521079.799999999813735,10236230.830000001937151
FS( 17 ),2755869.250000000000000,2537829.950000000186265,2610104.870000000111759,2554707.100000000093132,10458511.169999999925494
FS( 18 ),2783903.620000000111759,2501991.049999999813735,2564847.040000000037253,2523087.400000000372529,10373829.109999999403954
FS( 19 ),2696685.580000000074506,2486062.649999999906868,2579032.330000000074506,2543163.400000000372529,10304943.960000000894070
