訓練日期,20150630 - 20150930
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10888626.120000001043081
真實報酬,888626.120000001043081

夏普值報酬,0.080162612000000
夏普值風險,0.023276235663239
夏普值,3.443968052214069

預期報酬,11336.160082207874439
風險,252007.100264079781482
趨勢值,0.044983494791729
找到最佳解世代,1796
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](1),NKE[19](2),
Stock#,HD[9](1),NKE[19](2),
張數,44992,92575,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,39.040000000037253,24.250000000000000,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5042292.479999999515712,5065728.250000000000000,10108020.730000000447035
FS( 3 ),5016197.120000000111759,5086094.750000000000000,10102291.870000001043081
FS( 4 ),5008548.479999999515712,5084243.250000000000000,10092791.730000000447035
FS( 5 ),5057139.839999999850988,5151823.000000000000000,10208962.839999999850988
FS( 6 ),4994151.040000000037253,5058322.250000000000000,10052473.289999999105930
FS( 7 ),5011248.000000000000000,5065728.250000000000000,10076976.250000000000000
FS( 8 ),5088634.240000000223517,5115718.750000000000000,10204352.990000000223517
FS( 9 ),5169619.839999999850988,5203665.000000000000000,10373284.839999999850988
FS( 10 ),5190316.160000000149012,5199962.000000000000000,10390278.160000000149012
FS( 11 ),5200214.400000000372529,5179595.500000000000000,10379809.900000000372529
FS( 12 ),5161971.200000000186265,5199962.000000000000000,10361933.199999999254942
FS( 13 ),5150273.280000000260770,5221254.250000000000000,10371527.530000001192093
FS( 14 ),5102581.759999999776483,5236992.000000000000000,10339573.759999999776483
FS( 15 ),5122828.160000000149012,5230511.750000000000000,10353339.910000000149012
FS( 16 ),5169619.839999999850988,5281428.000000000000000,10451047.839999999850988
FS( 17 ),5155672.320000000298023,5276799.250000000000000,10432471.570000000298023
FS( 18 ),5110680.320000000298023,5230511.750000000000000,10341192.070000000298023
FS( 19 ),5087284.479999999515712,5172189.500000000000000,10259473.980000000447035
FS( 20 ),5166920.320000000298023,5252729.750000000000000,10419650.070000000298023
FS( 21 ),5235758.080000000074506,5319383.750000000000000,10555141.830000000074506
FS( 22 ),5239807.359999999403954,5324012.500000000000000,10563819.859999999403954
FS( 23 ),5265452.799999999813735,5333270.000000000000000,10598722.800000000745058
FS( 24 ),5259153.919999999925494,5315680.750000000000000,10574834.669999999925494
FS( 25 ),5287948.799999999813735,5359191.000000000000000,10647139.800000000745058
FS( 26 ),5309095.040000000037253,5404552.750000000000000,10713647.789999999105930
FS( 27 ),5244306.560000000521541,5328641.250000000000000,10572947.810000000521541
FS( 28 ),5260953.600000000558794,5300868.750000000000000,10561822.350000001490116
FS( 29 ),5291098.240000000223517,5339750.250000000000000,10630848.490000000223517
FS( 30 ),5295147.519999999552965,5298091.500000000000000,10593239.019999999552965
FS( 31 ),5295147.519999999552965,5233289.000000000000000,10528436.519999999552965
FS( 32 ),5354986.879999999888241,5258284.250000000000000,10613271.129999998956919
FS( 33 ),5387831.040000000037253,5293462.750000000000000,10681293.789999999105930
FS( 34 ),5385581.440000000409782,5322161.000000000000000,10707742.440000001341105
FS( 35 ),5525056.639999999664724,5314755.000000000000000,10839811.640000000596046
FS( 36 ),5523256.959999999962747,5321235.250000000000000,10844492.210000000894070
FS( 37 ),5423374.720000000670552,5198110.500000000000000,10621485.220000000670552
FS( 38 ),5226309.759999999776483,4947232.250000000000000,10173542.009999999776483
FS( 39 ),5063438.720000000670552,4808369.750000000000000,9871808.470000000670552
FS( 40 ),4992801.280000000260770,4792632.000000000000000,9785433.280000001192093
FS( 41 ),5215961.600000000558794,5034252.750000000000000,10250214.350000001490116
FS( 42 ),5293797.759999999776483,5212922.500000000000000,10506720.259999999776483
FS( 43 ),5287498.879999999888241,5207368.000000000000000,10494866.879999998956919
FS( 44 ),5239807.359999999403954,5173115.250000000000000,10412922.609999999403954
FS( 45 ),5087284.479999999515712,5028698.250000000000000,10115982.730000000447035
FS( 46 ),5240707.200000000186265,5124050.500000000000000,10364757.699999999254942
FS( 47 ),5246106.240000000223517,5131456.500000000000000,10377562.740000000223517
FS( 48 ),5148023.679999999701977,5077763.000000000000000,10225786.679999999701977
FS( 49 ),5238457.600000000558794,5173115.250000000000000,10411572.850000001490116
FS( 50 ),5127777.280000000260770,5085169.000000000000000,10212946.280000001192093
FS( 51 ),5151173.120000000111759,5109238.500000000000000,10260411.620000001043081
FS( 52 ),5193915.519999999552965,5175892.500000000000000,10369808.019999999552965
FS( 53 ),5161971.200000000186265,5179595.500000000000000,10341566.699999999254942
FS( 54 ),5227209.600000000558794,5269393.250000000000000,10496602.850000001490116
FS( 55 ),5300996.479999999515712,5349933.500000000000000,10650929.980000000447035
FS( 56 ),5305045.759999999776483,5336047.250000000000000,10641093.009999999776483
FS( 57 ),5179518.080000000074506,5325864.000000000000000,10505382.080000000074506
FS( 58 ),5245206.400000000372529,5395295.250000000000000,10640501.650000000372529
FS( 59 ),5210112.639999999664724,5368448.500000000000000,10578561.140000000596046
FS( 60 ),5226759.679999999701977,5343453.250000000000000,10570212.929999999701977
FS( 61 ),5234408.320000000298023,5313829.250000000000000,10548237.570000000298023
FS( 62 ),5252405.120000000111759,5785961.750000000000000,11038366.870000001043081
FS( 63 ),5133626.240000000223517,5653579.500000000000000,10787205.740000000223517
FS( 64 ),5080085.759999999776483,5539712.250000000000000,10619798.009999999776483
FS( 65 ),5196165.120000000111759,5692461.000000000000000,10888626.120000001043081
