訓練日期,20120301 - 20120601
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10672258.130000000819564
真實報酬,672258.130000000819564

夏普值報酬,0.058525813000000
夏普值風險,0.027471474915264
夏普值,2.130421216207817

預期報酬,13508.221193295268677
風險,99336.831589464942226
趨勢值,0.135984014963568
找到最佳解世代,2045
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](1),TRV[22](3),WMT[28](8),
Stock#,KO[14](1),TRV[22](3),WMT[28](8),
張數,95785,57058,56670,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,15.000000000465661,4.640000000130385,3.600000000093132,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3313218.150000000838190,3309939.220000000204891,3344100.299999999813735,9967258.670000001788139
FS( 3 ),3316091.700000000186265,3337897.640000000130385,3366201.600000000093132,10020191.939999999478459
FS( 4 ),3293103.300000000745058,3251740.060000000055879,3341833.500000000000000,9886677.860000001266599
FS( 5 ),3295019.000000000465661,3244893.100000000093132,3392269.800000000279397,9932182.900000000372529
FS( 6 ),3318007.400000000372529,3258016.440000000409782,3387169.500000000465661,9963194.340000001713634
FS( 7 ),3329501.600000000093132,3287116.020000000018626,3404737.200000000186265,10021355.820000000298023
FS( 8 ),3360152.800000000279397,3287116.020000000018626,3438739.200000000186265,10086009.019999999552965
FS( 9 ),3364942.050000000745058,3332762.419999999925494,3456873.600000000093132,10154579.070000000298023
FS( 10 ),3363026.350000000558794,3363573.740000000223517,3461407.200000000186265,10188008.290000000968575
FS( 11 ),3368773.450000000651926,3370991.280000000260770,3469907.699999999720603,10209673.429999999701977
FS( 12 ),3360152.800000000279397,3377838.240000000223517,3447806.400000000372529,10185798.440000001341105
FS( 13 ),3371647.000000000931323,3373273.600000000093132,3442139.400000000372529,10187061.000000001862645
FS( 14 ),3381225.500000000000000,3375555.919999999925494,3434205.600000000093132,10190988.019999999552965
FS( 15 ),3406129.600000000558794,3338468.220000000204891,3431938.800000000279397,10176537.620000001043081
FS( 16 ),3420497.350000000558794,3307656.899999999906868,3437039.100000000093132,10165194.349999999627471
FS( 17 ),3423370.900000000838190,3320780.240000000223517,3442706.100000000093132,10186858.240000000223517
FS( 18 ),3443485.750000000931323,3357867.940000000409782,3468207.600000000093132,10269562.290000000968575
FS( 19 ),3442527.900000000372529,3336756.479999999981374,3461973.900000000372529,10241259.280000001192093
FS( 20 ),3479884.050000000279397,3353303.300000000279397,3467640.899999999906868,10300829.250000000000000
FS( 21 ),3535439.350000000093132,3346456.339999999850988,3446673.000000000000000,10328569.689999999478459
FS( 22 ),3545017.850000000093132,3377838.240000000223517,3468207.600000000093132,10391064.689999999478459
FS( 23 ),3550764.950000000651926,3385255.780000000260770,3477274.800000000279397,10413296.530000001192093
FS( 24 ),3532565.800000000745058,3382402.880000000353903,3437039.100000000093132,10352008.780000001192093
FS( 25 ),3518198.050000000279397,3378979.399999999906868,3414937.799999999813735,10312116.250000000000000
FS( 26 ),3519155.900000000838190,3359579.680000000167638,3438172.500000000000000,10316909.080000001937151
FS( 27 ),3490420.400000000372529,3312221.540000000037253,3407570.700000000186265,10210213.640000000596046
FS( 28 ),3449232.850000000093132,3295104.140000000130385,3396236.700000000186265,10140574.690000001341105
FS( 29 ),3454022.100000000558794,3319068.500000000000000,3388869.600000000093132,10161961.200000001117587
FS( 30 ),3458811.350000000558794,3372132.440000000409782,3408137.399999999906868,10239082.190000001341105
FS( 31 ),3445401.450000000186265,3316215.600000000093132,3387169.500000000465661,10148787.550000000745058
FS( 32 ),3469347.700000000186265,3375555.919999999925494,3433072.200000000186265,10277976.820000000298023
FS( 33 ),3542144.300000000279397,3422914.060000000055879,3506176.500000000000000,10471235.859999999403954
FS( 34 ),3552680.650000000838190,3393243.899999999906868,3516943.800000000279397,10462869.350000001490116
