訓練日期,20100329 - 20100629
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11024093.599999999627471
真實報酬,1024093.599999999627471

夏普值報酬,0.093709360000000
夏普值風險,0.044491371144095
夏普值,2.106236728387227

預期報酬,24800.796168045682862
風險,449350.499218775075860
趨勢值,0.055192541704446
找到最佳解世代,2289
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
AAPL[0](1),
Stock#,AAPL[0](1),
張數,301204,
分配資金,10000000.000000000000000,
剩餘資金,27.199999999254942,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10147589.959999999031425,10147589.959999999031425
FS( 3 ),10111445.479999998584390,10111445.479999998584390
FS( 4 ),10153614.039999999105930,10153614.039999999105930
FS( 5 ),10262047.479999998584390,10262047.479999998584390
FS( 6 ),10307228.079999998211861,10307228.079999998211861
FS( 7 ),10352408.679999997839332,10352408.679999997839332
FS( 8 ),10325300.320000000298023,10325300.320000000298023
FS( 9 ),10403613.359999999403954,10403613.359999999403954
FS( 10 ),10424697.639999998733401,10424697.639999998733401
FS( 11 ),10430721.720000000670552,10430721.720000000670552
FS( 12 ),10572287.599999999627471,10572287.599999999627471
FS( 13 ),10710841.439999999478459,10710841.439999999478459
FS( 14 ),10644576.560000000521541,10644576.560000000521541
FS( 15 ),10632528.399999998509884,10632528.399999998509884
FS( 16 ),10524094.959999999031425,10524094.959999999031425
FS( 17 ),11153611.320000000298023,11153611.320000000298023
FS( 18 ),11466863.479999998584390,11466863.479999998584390
FS( 19 ),11653609.959999999031425,11653609.959999999031425
FS( 20 ),11596381.199999999254942,11596381.199999999254942
FS( 21 ),11274092.919999999925494,11274092.919999999925494
FS( 22 ),11256020.679999997839332,11256020.679999997839332
FS( 23 ),11560236.720000000670552,11560236.720000000670552
FS( 24 ),11234936.399999998509884,11234936.399999998509884
FS( 25 ),11460839.399999998509884,11460839.399999998509884
FS( 26 ),11129515.000000000000000,11129515.000000000000000
FS( 27 ),11015057.479999998584390,11015057.479999998584390
FS( 28 ),10596383.919999999925494,10596383.919999999925494
FS( 29 ),10147589.959999999031425,10147589.959999999031425
FS( 30 ),10927708.320000000298023,10927708.320000000298023
FS( 31 ),11039153.799999998882413,11039153.799999998882413
FS( 32 ),11277104.959999999031425,11277104.959999999031425
FS( 33 ),11117466.839999997988343,11117466.839999997988343
FS( 34 ),10921684.239999998360872,10921684.239999998360872
FS( 35 ),10939756.479999998584390,10939756.479999998584390
FS( 36 ),10858431.399999998509884,10858431.399999998509884
FS( 37 ),10686745.119999999180436,10686745.119999999180436
FS( 38 ),10231927.079999998211861,10231927.079999998211861
FS( 39 ),10427709.679999997839332,10427709.679999997839332
FS( 40 ),10617468.199999999254942,10617468.199999999254942
FS( 41 ),10551203.320000000298023,10551203.320000000298023
FS( 42 ),10503010.679999997839332,10503010.679999997839332
FS( 43 ),10900599.959999999031425,10900599.959999999031425
FS( 44 ),11054214.000000000000000,11054214.000000000000000
FS( 45 ),11222888.239999998360872,11222888.239999998360872
FS( 46 ),11358430.039999999105930,11358430.039999999105930
FS( 47 ),11322285.560000000521541,11322285.560000000521541
FS( 48 ),11015057.479999998584390,11015057.479999998584390
FS( 49 ),10798190.599999999627471,10798190.599999999627471
FS( 50 ),10728913.679999997839332,10728913.679999997839332
FS( 51 ),10463854.160000000149012,10463854.160000000149012
FS( 52 ),10780118.359999999403954,10780118.359999999403954
FS( 53 ),10909636.079999998211861,10909636.079999998211861
FS( 54 ),10942768.519999999552965,10942768.519999999552965
FS( 55 ),11174695.599999999627471,11174695.599999999627471
FS( 56 ),11499995.919999999925494,11499995.919999999925494
FS( 57 ),11698790.560000000521541,11698790.560000000521541
FS( 58 ),11792163.799999998882413,11792163.799999998882413
FS( 59 ),11626501.599999999627471,11626501.599999999627471
FS( 60 ),11783127.679999997839332,11783127.679999997839332
FS( 61 ),11659634.039999999105930,11659634.039999999105930
FS( 62 ),11575296.919999999925494,11575296.919999999925494
FS( 63 ),11475899.599999999627471,11475899.599999999627471
FS( 64 ),11545176.519999999552965,11545176.519999999552965
FS( 65 ),11024093.599999999627471,11024093.599999999627471
