訓練日期,20150609 - 20150909
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10405367.559999998658895
真實報酬,405367.559999998658895

夏普值報酬,0.031836756000000
夏普值風險,0.026949992893039
夏普值,1.181327064773484

預期報酬,13200.676434420523947
風險,210025.062793848454021
趨勢值,0.062852862695619
找到最佳解世代,2481
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
HD[9](1),
Stock#,HD[9](1),
張數,91299,
分配資金,10000000.000000000000000,
剩餘資金,20.529999999329448,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10132383.549999998882413,10132383.549999998882413
FS( 3 ),10160686.240000000223517,10160686.240000000223517
FS( 4 ),10097689.929999999701977,10097689.929999999701977
FS( 5 ),10043823.519999999552965,10043823.519999999552965
FS( 6 ),10063909.299999998882413,10063909.299999998882413
FS( 7 ),10085821.059999998658895,10085821.059999998658895
FS( 8 ),10211813.679999999701977,10211813.679999999701977
FS( 9 ),10264767.099999999627471,10264767.099999999627471
FS( 10 ),10323198.459999999031425,10323198.459999999031425
FS( 11 ),10333241.349999999627471,10333241.349999999627471
FS( 12 ),10257463.179999999701977,10257463.179999999701977
FS( 13 ),10247420.289999999105930,10247420.289999999105930
FS( 14 ),10280287.929999999701977,10280287.929999999701977
FS( 15 ),10092211.990000000223517,10092211.990000000223517
FS( 16 ),10146078.399999998509884,10146078.399999998509884
FS( 17 ),10231899.459999999031425,10231899.459999999031425
FS( 18 ),10178946.039999999105930,10178946.039999999105930
FS( 19 ),10163425.209999999031425,10163425.209999999031425
FS( 20 ),10262028.129999998956919,10262028.129999998956919
FS( 21 ),10134209.529999999329448,10134209.529999999329448
FS( 22 ),10168903.149999998509884,10168903.149999998509884
FS( 23 ),10325937.429999999701977,10325937.429999999701977
FS( 24 ),10490275.629999998956919,10490275.629999998956919
FS( 25 ),10532273.169999999925494,10532273.169999999925494
FS( 26 ),10552358.949999999254942,10552358.949999999254942
FS( 27 ),10474754.799999998882413,10474754.799999998882413
FS( 28 ),10451017.059999998658895,10451017.059999998658895
FS( 29 ),10354240.119999999180436,10354240.119999999180436
FS( 30 ),10395324.669999999925494,10395324.669999999925494
FS( 31 ),10490275.629999998956919,10490275.629999998956919
FS( 32 ),10461972.939999999478459,10461972.939999999478459
FS( 33 ),10370673.939999999478459,10370673.939999999478459
FS( 34 ),10323198.459999999031425,10323198.459999999031425
FS( 35 ),10484797.689999999478459,10484797.689999999478459
FS( 36 ),10624485.160000000149012,10624485.160000000149012
FS( 37 ),10632702.069999998435378,10632702.069999998435378
FS( 38 ),10684742.500000000000000,10684742.500000000000000
FS( 39 ),10671960.639999998733401,10671960.639999998733401
FS( 40 ),10730392.000000000000000,10730392.000000000000000
FS( 41 ),10773302.529999999329448,10773302.529999999329448
FS( 42 ),10641831.969999998807907,10641831.969999998807907
FS( 43 ),10675612.599999999627471,10675612.599999999627471
FS( 44 ),10736782.929999999701977,10736782.929999999701977
FS( 45 ),10744999.839999999850988,10744999.839999999850988
FS( 46 ),10744999.839999999850988,10744999.839999999850988
FS( 47 ),10866427.509999999776483,10866427.509999999776483
FS( 48 ),10933075.779999999329448,10933075.779999999329448
FS( 49 ),10928510.830000000074506,10928510.830000000074506
FS( 50 ),11211537.729999998584390,11211537.729999998584390
FS( 51 ),11207885.769999999552965,11207885.769999999552965
FS( 52 ),11005201.990000000223517,11005201.990000000223517
FS( 53 ),10605312.369999999180436,10605312.369999999180436
FS( 54 ),10274809.990000000223517,10274809.990000000223517
FS( 55 ),10131470.559999998658895,10131470.559999998658895
FS( 56 ),10584313.599999999627471,10584313.599999999627471
FS( 57 ),10742260.869999999180436,10742260.869999999180436
FS( 58 ),10729479.009999999776483,10729479.009999999776483
FS( 59 ),10632702.069999998435378,10632702.069999998435378
FS( 60 ),10323198.459999999031425,10323198.459999999031425
FS( 61 ),10634528.049999998882413,10634528.049999998882413
FS( 62 ),10645483.929999999701977,10645483.929999999701977
FS( 63 ),10446452.109999999403954,10446452.109999999403954
FS( 64 ),10629963.099999999627471,10629963.099999999627471
FS( 65 ),10405367.559999998658895,10405367.559999998658895
