訓練日期,20150615 - 20150915
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10560853.000000000000000
真實報酬,560853.000000000000000

夏普值報酬,0.047385300000000
夏普值風險,0.025357891117253
夏普值,1.868660914304512

預期報酬,12267.030940052314691
風險,225661.360314259451116
趨勢值,0.054360351825271
找到最佳解世代,2450
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
HD[9](1),
Stock#,HD[9](1),
張數,90900,
分配資金,10000000.000000000000000,
剩餘資金,91.000000000000000,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10019998.000000000000000,10019998.000000000000000
FS( 3 ),10041814.000000000000000,10041814.000000000000000
FS( 4 ),10167256.000000000000000,10167256.000000000000000
FS( 5 ),10219978.000000000000000,10219978.000000000000000
FS( 6 ),10278154.000000000000000,10278154.000000000000000
FS( 7 ),10288153.000000000000000,10288153.000000000000000
FS( 8 ),10212706.000000000000000,10212706.000000000000000
FS( 9 ),10202707.000000000000000,10202707.000000000000000
FS( 10 ),10235431.000000000000000,10235431.000000000000000
FS( 11 ),10048177.000000000000000,10048177.000000000000000
FS( 12 ),10101808.000000000000000,10101808.000000000000000
FS( 13 ),10187254.000000000000000,10187254.000000000000000
FS( 14 ),10134532.000000000000000,10134532.000000000000000
FS( 15 ),10119079.000000000000000,10119079.000000000000000
FS( 16 ),10217251.000000000000000,10217251.000000000000000
FS( 17 ),10089991.000000000000000,10089991.000000000000000
FS( 18 ),10124533.000000000000000,10124533.000000000000000
FS( 19 ),10280881.000000000000000,10280881.000000000000000
FS( 20 ),10444501.000000000000000,10444501.000000000000000
FS( 21 ),10486315.000000000000000,10486315.000000000000000
FS( 22 ),10506313.000000000000000,10506313.000000000000000
FS( 23 ),10429048.000000000000000,10429048.000000000000000
FS( 24 ),10405414.000000000000000,10405414.000000000000000
FS( 25 ),10309060.000000000000000,10309060.000000000000000
FS( 26 ),10349965.000000000000000,10349965.000000000000000
FS( 27 ),10444501.000000000000000,10444501.000000000000000
FS( 28 ),10416322.000000000000000,10416322.000000000000000
FS( 29 ),10325422.000000000000000,10325422.000000000000000
FS( 30 ),10278154.000000000000000,10278154.000000000000000
FS( 31 ),10439047.000000000000000,10439047.000000000000000
FS( 32 ),10578124.000000000000000,10578124.000000000000000
FS( 33 ),10586305.000000000000000,10586305.000000000000000
FS( 34 ),10638118.000000000000000,10638118.000000000000000
FS( 35 ),10625392.000000000000000,10625392.000000000000000
FS( 36 ),10683568.000000000000000,10683568.000000000000000
FS( 37 ),10726291.000000000000000,10726291.000000000000000
FS( 38 ),10595395.000000000000000,10595395.000000000000000
FS( 39 ),10629028.000000000000000,10629028.000000000000000
FS( 40 ),10689931.000000000000000,10689931.000000000000000
FS( 41 ),10698112.000000000000000,10698112.000000000000000
FS( 42 ),10698112.000000000000000,10698112.000000000000000
FS( 43 ),10819009.000000000000000,10819009.000000000000000
FS( 44 ),10885366.000000000000000,10885366.000000000000000
FS( 45 ),10880821.000000000000000,10880821.000000000000000
FS( 46 ),11162611.000000000000000,11162611.000000000000000
FS( 47 ),11158975.000000000000000,11158975.000000000000000
FS( 48 ),10957177.000000000000000,10957177.000000000000000
FS( 49 ),10559035.000000000000000,10559035.000000000000000
FS( 50 ),10229977.000000000000000,10229977.000000000000000
FS( 51 ),10087264.000000000000000,10087264.000000000000000
FS( 52 ),10538128.000000000000000,10538128.000000000000000
FS( 53 ),10695385.000000000000000,10695385.000000000000000
FS( 54 ),10682659.000000000000000,10682659.000000000000000
FS( 55 ),10586305.000000000000000,10586305.000000000000000
FS( 56 ),10278154.000000000000000,10278154.000000000000000
FS( 57 ),10588123.000000000000000,10588123.000000000000000
FS( 58 ),10599031.000000000000000,10599031.000000000000000
FS( 59 ),10400869.000000000000000,10400869.000000000000000
FS( 60 ),10583578.000000000000000,10583578.000000000000000
FS( 61 ),10359964.000000000000000,10359964.000000000000000
FS( 62 ),10407232.000000000000000,10407232.000000000000000
FS( 63 ),10493587.000000000000000,10493587.000000000000000
FS( 64 ),10429048.000000000000000,10429048.000000000000000
FS( 65 ),10560853.000000000000000,10560853.000000000000000
