訓練日期,20100416 - 20100719
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,9926429.099999997764826
真實報酬,-73570.900000002235174

夏普值報酬,-0.016057090000000
夏普值風險,0.035581358286172
夏普值,-0.451278162875545

預期報酬,8374.845606149539890
風險,407580.940907430544030
趨勢值,0.020547687012803
找到最佳解世代,2389
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
AAPL[0](1),
Stock#,AAPL[0](1),
張數,282965,
分配資金,10000000.000000000000000,
剩餘資金,16.899999998509884,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9988681.399999998509884,9988681.399999998509884
FS( 3 ),9886813.999999998137355,9886813.999999998137355
FS( 4 ),10478210.849999999627471,10478210.849999999627471
FS( 5 ),10772494.449999999254942,10772494.449999999254942
FS( 6 ),10947932.749999998137355,10947932.749999998137355
FS( 7 ),10894169.399999998509884,10894169.399999998509884
FS( 8 ),10591396.849999997764826,10591396.849999997764826
FS( 9 ),10574418.949999997392297,10574418.949999997392297
FS( 10 ),10860213.599999999627471,10860213.599999999627471
FS( 11 ),10554611.399999998509884,10554611.399999998509884
FS( 12 ),10766835.149999998509884,10766835.149999998509884
FS( 13 ),10455573.649999998509884,10455573.649999998509884
FS( 14 ),10348046.949999999254942,10348046.949999999254942
FS( 15 ),9954725.599999997764826,9954725.599999997764826
FS( 16 ),9533107.749999998137355,9533107.749999998137355
FS( 17 ),10265987.099999999627471,10265987.099999999627471
FS( 18 ),10370684.149999998509884,10370684.149999998509884
FS( 19 ),10594226.499999998137355,10594226.499999998137355
FS( 20 ),10444255.049999997019768,10444255.049999997019768
FS( 21 ),10260327.799999997019768,10260327.799999997019768
FS( 22 ),10277305.699999999254942,10277305.699999999254942
FS( 23 ),10200905.149999998509884,10200905.149999998509884
FS( 24 ),10039615.099999997764826,10039615.099999997764826
FS( 25 ),9612337.949999997392297,9612337.949999997392297
FS( 26 ),9796265.199999997392297,9796265.199999997392297
FS( 27 ),9974533.149999998509884,9974533.149999998509884
FS( 28 ),9912280.849999999627471,9912280.849999999627471
FS( 29 ),9867006.449999997392297,9867006.449999997392297
FS( 30 ),10240520.249999998137355,10240520.249999998137355
FS( 31 ),10384832.399999998509884,10384832.399999998509884
FS( 32 ),10543292.799999997019768,10543292.799999997019768
FS( 33 ),10670627.049999998882413,10670627.049999998882413
FS( 34 ),10636671.250000000000000,10636671.250000000000000
FS( 35 ),10348046.949999999254942,10348046.949999999254942
FS( 36 ),10144312.149999998509884,10144312.149999998509884
FS( 37 ),10079230.199999997392297,10079230.199999997392297
FS( 38 ),9830221.000000000000000,9830221.000000000000000
FS( 39 ),10127334.249999998137355,10127334.249999998137355
FS( 40 ),10249009.199999997392297,10249009.199999997392297
FS( 41 ),10280135.349999997764826,10280135.349999997764826
FS( 42 ),10498018.399999998509884,10498018.399999998509884
FS( 43 ),10803620.599999997764826,10803620.599999997764826
FS( 44 ),10990377.500000000000000,10990377.500000000000000
FS( 45 ),11078096.649999998509884,11078096.649999998509884
FS( 46 ),10922465.899999998509884,10922465.899999998509884
FS( 47 ),11069607.699999997392297,11069607.699999997392297
FS( 48 ),10953592.049999998882413,10953592.049999998882413
FS( 49 ),10874361.849999997764826,10874361.849999997764826
FS( 50 ),10780983.399999998509884,10780983.399999998509884
FS( 51 ),10846065.349999997764826,10846065.349999997764826
FS( 52 ),10356535.899999998509884,10356535.899999998509884
FS( 53 ),10166949.349999997764826,10166949.349999997764826
FS( 54 ),10045274.399999998509884,10045274.399999998509884
FS( 55 ),9983022.099999999627471,9983022.099999999627471
FS( 56 ),10050933.699999999254942,10050933.699999999254942
FS( 57 ),10455573.649999998509884,10455573.649999998509884
FS( 58 ),10432936.449999997392297,10432936.449999997392297
FS( 59 ),10495188.750000000000000,10495188.750000000000000
FS( 60 ),10401810.299999997019768,10401810.299999997019768
FS( 61 ),10178267.949999997392297,10178267.949999997392297
FS( 62 ),10215053.399999998509884,10215053.399999998509884
FS( 63 ),10164119.699999999254942,10164119.699999999254942
FS( 64 ),10101867.399999998509884,10101867.399999998509884
FS( 65 ),9926429.099999997764826,9926429.099999997764826
