訓練日期,20100412 - 20100713
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10392948.880000000819564
真實報酬,392948.880000000819564

夏普值報酬,0.030594888000000
夏普值風險,0.036788521874985
夏普值,0.831642219928489

預期報酬,14107.666950088108933
風險,432346.615266235778108
趨勢值,0.032630455407638
找到最佳解世代,1949
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
AAPL[0](1),
Stock#,AAPL[0](1),
張數,288933,
分配資金,10000000.000000000000000,
剩餘資金,28.870000001043081,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10005778.660000002011657,10005778.660000002011657
FS( 3 ),10141577.170000001788139,10141577.170000001788139
FS( 4 ),10274486.350000001490116,10274486.350000001490116
FS( 5 ),10210921.090000001713634,10210921.090000001713634
FS( 6 ),10199363.769999999552965,10199363.769999999552965
FS( 7 ),10095347.890000000596046,10095347.890000000596046
FS( 8 ),10699217.860000001266599,10699217.860000001266599
FS( 9 ),10999708.180000001564622,10999708.180000001564622
FS( 10 ),11178846.640000000596046,11178846.640000000596046
FS( 11 ),11123949.370000001043081,11123949.370000001043081
FS( 12 ),10814791.060000000521541,10814791.060000000521541
FS( 13 ),10797455.080000000074506,10797455.080000000074506
FS( 14 ),11089277.410000002011657,11089277.410000002011657
FS( 15 ),10777229.769999999552965,10777229.769999999552965
FS( 16 ),10993929.519999999552965,10993929.519999999552965
FS( 17 ),10676103.220000002533197,10676103.220000002533197
FS( 18 ),10566308.680000001564622,10566308.680000001564622
FS( 19 ),10164691.810000000521541,10164691.810000000521541
FS( 20 ),9734181.640000000596046,9734181.640000000596046
FS( 21 ),10482518.110000001266599,10482518.110000001266599
FS( 22 ),10589423.320000000298023,10589423.320000000298023
FS( 23 ),10817680.390000000596046,10817680.390000000596046
FS( 24 ),10664545.900000000372529,10664545.900000000372529
FS( 25 ),10476739.450000001117587,10476739.450000001117587
FS( 26 ),10494075.430000001564622,10494075.430000001564622
FS( 27 ),10416063.519999999552965,10416063.519999999552965
FS( 28 ),10251371.710000000894070,10251371.710000000894070
FS( 29 ),9815082.880000000819564,9815082.880000000819564
FS( 30 ),10002889.330000000074506,10002889.330000000074506
FS( 31 ),10184917.120000001043081,10184917.120000001043081
FS( 32 ),10121351.860000001266599,10121351.860000001266599
FS( 33 ),10075122.580000000074506,10075122.580000000074506
FS( 34 ),10456514.140000000596046,10456514.140000000596046
FS( 35 ),10603869.970000002533197,10603869.970000002533197
FS( 36 ),10765672.450000001117587,10765672.450000001117587
FS( 37 ),10895692.300000000745058,10895692.300000000745058
FS( 38 ),10861020.340000001713634,10861020.340000001713634
FS( 39 ),10566308.680000001564622,10566308.680000001564622
FS( 40 ),10358276.920000001788139,10358276.920000001788139
FS( 41 ),10291822.330000000074506,10291822.330000000074506
FS( 42 ),10037561.290000000968575,10037561.290000000968575
FS( 43 ),10340940.940000001341105,10340940.940000001341105
FS( 44 ),10465182.130000000819564,10465182.130000000819564
FS( 45 ),10496964.759999999776483,10496964.759999999776483
FS( 46 ),10719443.170000001788139,10719443.170000001788139
FS( 47 ),11031490.810000000521541,11031490.810000000521541
FS( 48 ),11222186.590000001713634,11222186.590000001713634
FS( 49 ),11311755.820000000298023,11311755.820000000298023
FS( 50 ),11152842.670000001788139,11152842.670000001788139
FS( 51 ),11303087.830000000074506,11303087.830000000074506
FS( 52 ),11184625.300000000745058,11184625.300000000745058
FS( 53 ),11103724.060000000521541,11103724.060000000521541
FS( 54 ),11008376.170000001788139,11008376.170000001788139
FS( 55 ),11074830.759999999776483,11074830.759999999776483
FS( 56 ),10574976.670000001788139,10574976.670000001788139
FS( 57 ),10381391.560000000521541,10381391.560000000521541
FS( 58 ),10257150.370000001043081,10257150.370000001043081
FS( 59 ),10193585.110000001266599,10193585.110000001266599
FS( 60 ),10262929.030000001192093,10262929.030000001192093
FS( 61 ),10676103.220000002533197,10676103.220000002533197
FS( 62 ),10652988.580000000074506,10652988.580000000074506
FS( 63 ),10716553.840000001713634,10716553.840000001713634
FS( 64 ),10621205.950000001117587,10621205.950000001117587
FS( 65 ),10392948.880000000819564,10392948.880000000819564
