訓練日期,20100317 - 20100617
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12129913.280000001192093
真實報酬,2129913.280000001192093

夏普值報酬,0.204291328000000
夏普值風險,0.051479795631879
夏普值,3.968378768650171

預期報酬,29818.838601398594619
風險,490505.038693817332387
趨勢值,0.060792114757484
找到最佳解世代,2155
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
AAPL[0](1),
Stock#,AAPL[0](1),
張數,312304,
分配資金,10000000.000000000000000,
剩餘資金,25.919999999925494,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10021861.280000001192093,10021861.280000001192093
FS( 3 ),9915677.919999999925494,9915677.919999999925494
FS( 4 ),10028107.359999999403954,10028107.359999999403954
FS( 5 ),10187382.399999998509884,10187382.399999998509884
FS( 6 ),10234228.000000000000000,10234228.000000000000000
FS( 7 ),10112429.440000001341105,10112429.440000001341105
FS( 8 ),10302934.880000000819564,10302934.880000000819564
FS( 9 ),10368518.720000000670552,10368518.720000000670552
FS( 10 ),10521547.679999999701977,10521547.679999999701977
FS( 11 ),10484071.199999999254942,10484071.199999999254942
FS( 12 ),10527793.759999999776483,10527793.759999999776483
FS( 13 ),10640223.199999999254942,10640223.199999999254942
FS( 14 ),10687068.799999998882413,10687068.799999998882413
FS( 15 ),10733914.399999998509884,10733914.399999998509884
FS( 16 ),10705807.040000000968575,10705807.040000000968575
FS( 17 ),10787006.080000000074506,10787006.080000000074506
FS( 18 ),10808867.359999999403954,10808867.359999999403954
FS( 19 ),10815113.440000001341105,10815113.440000001341105
FS( 20 ),10961896.320000000298023,10961896.320000000298023
FS( 21 ),11105556.160000000149012,11105556.160000000149012
FS( 22 ),11036849.280000001192093,11036849.280000001192093
FS( 23 ),11024357.119999999180436,11024357.119999999180436
FS( 24 ),10911927.679999999701977,10911927.679999999701977
FS( 25 ),11564643.040000000968575,11564643.040000000968575
FS( 26 ),11889439.199999999254942,11889439.199999999254942
FS( 27 ),12083067.679999999701977,12083067.679999999701977
FS( 28 ),12023729.919999999925494,12023729.919999999925494
FS( 29 ),11689564.640000000596046,11689564.640000000596046
FS( 30 ),11670826.399999998509884,11670826.399999998509884
FS( 31 ),11986253.440000001341105,11986253.440000001341105
FS( 32 ),11648965.119999999180436,11648965.119999999180436
FS( 33 ),11883193.119999999180436,11883193.119999999180436
FS( 34 ),11539658.720000000670552,11539658.720000000670552
FS( 35 ),11420983.199999999254942,11420983.199999999254942
FS( 36 ),10986880.640000000596046,10986880.640000000596046
FS( 37 ),10521547.679999999701977,10521547.679999999701977
FS( 38 ),11330415.040000000968575,11330415.040000000968575
FS( 39 ),11445967.519999999552965,11445967.519999999552965
FS( 40 ),11692687.679999999701977,11692687.679999999701977
FS( 41 ),11527166.559999998658895,11527166.559999998658895
FS( 42 ),11324168.959999999031425,11324168.959999999031425
FS( 43 ),11342907.199999999254942,11342907.199999999254942
FS( 44 ),11258585.119999999180436,11258585.119999999180436
FS( 45 ),11080571.839999999850988,11080571.839999999850988
FS( 46 ),10608992.799999998882413,10608992.799999998882413
FS( 47 ),10811990.399999998509884,10811990.399999998509884
FS( 48 ),11008741.919999999925494,11008741.919999999925494
FS( 49 ),10940035.040000000968575,10940035.040000000968575
FS( 50 ),10890066.399999998509884,10890066.399999998509884
FS( 51 ),11302307.679999999701977,11302307.679999999701977
FS( 52 ),11461582.720000000670552,11461582.720000000670552
FS( 53 ),11636472.959999999031425,11636472.959999999031425
FS( 54 ),11777009.759999999776483,11777009.759999999776483
FS( 55 ),11739533.280000001192093,11739533.280000001192093
FS( 56 ),11420983.199999999254942,11420983.199999999254942
FS( 57 ),11196124.320000000298023,11196124.320000000298023
FS( 58 ),11124294.399999998509884,11124294.399999998509884
FS( 59 ),10849466.880000000819564,10849466.880000000819564
FS( 60 ),11177386.080000000074506,11177386.080000000074506
FS( 61 ),11311676.799999998882413,11311676.799999998882413
FS( 62 ),11346030.240000000223517,11346030.240000000223517
FS( 63 ),11586504.320000000298023,11586504.320000000298023
FS( 64 ),11923792.640000000596046,11923792.640000000596046
FS( 65 ),12129913.280000001192093,12129913.280000001192093
