訓練日期,20110502 - 20110802
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10816373.619999999180436
真實報酬,816373.619999999180436

夏普值報酬,0.072937362000000
夏普值風險,0.031908424193421
夏普值,2.285834034230957

預期報酬,16677.620290396604105
風險,137770.149707431264687
趨勢值,0.121053946198166
找到最佳解世代,2163
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
MCD[15](1),
Stock#,MCD[15](1),
張數,127161,
分配資金,10000000.000000000000000,
剩餘資金,58.959999999031425,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10038148.299999998882413,10038148.299999998882413
FS( 3 ),10054679.229999998584390,10054679.229999998584390
FS( 4 ),9994913.559999998658895,9994913.559999998658895
FS( 5 ),10007629.660000000149012,10007629.660000000149012
FS( 6 ),10085197.869999999180436,10085197.869999999180436
FS( 7 ),10136062.269999997690320,10136062.269999997690320
FS( 8 ),10110630.070000000298023,10110630.070000000298023
FS( 9 ),10256865.219999998807907,10256865.219999998807907
FS( 10 ),10267038.099999997764826,10267038.099999997764826
FS( 11 ),10317902.500000000000000,10317902.500000000000000
FS( 12 ),10291198.689999999478459,10291198.689999999478459
FS( 13 ),10363680.459999999031425,10363680.459999999031425
FS( 14 ),10492113.070000000298023,10492113.070000000298023
FS( 15 ),10469224.089999997988343,10469224.089999997988343
FS( 16 ),10490841.459999999031425,10490841.459999999031425
FS( 17 ),10508644.000000000000000,10508644.000000000000000
FS( 18 ),10518816.879999998956919,10518816.879999998956919
FS( 19 ),10481940.189999999478459,10481940.189999999478459
FS( 20 ),10378939.779999999329448,10378939.779999999329448
FS( 21 ),10368766.900000000372529,10368766.900000000372529
FS( 22 ),10297556.740000000223517,10297556.740000000223517
FS( 23 ),10268309.709999999031425,10268309.709999999031425
FS( 24 ),10241605.900000000372529,10241605.900000000372529
FS( 25 ),10261951.660000000149012,10261951.660000000149012
FS( 26 ),10317902.500000000000000,10317902.500000000000000
FS( 27 ),10319174.109999999403954,10319174.109999999403954
FS( 28 ),10333161.820000000298023,10333161.820000000298023
FS( 29 ),10218716.919999998062849,10218716.919999998062849
FS( 30 ),10265766.490000000223517,10265766.490000000223517
FS( 31 ),10359865.629999998956919,10359865.629999998956919
FS( 32 ),10330618.599999997764826,10330618.599999997764826
FS( 33 ),10403100.369999999180436,10403100.369999999180436
FS( 34 ),10493384.679999997839332,10493384.679999997839332
FS( 35 ),10515002.049999998882413,10515002.049999998882413
FS( 36 ),10528989.759999997913837,10528989.759999997913837
FS( 37 ),10509915.609999999403954,10509915.609999999403954
FS( 38 ),10464137.650000000372529,10464137.650000000372529
FS( 39 ),10406915.199999999254942,10406915.199999999254942
FS( 40 ),10467952.479999998584390,10467952.479999998584390
FS( 41 ),10726089.309999998658895,10726089.309999998658895
FS( 42 ),10754064.729999998584390,10754064.729999998584390
FS( 43 ),10722274.479999998584390,10722274.479999998584390
FS( 44 ),10891398.609999999403954,10891398.609999999403954
FS( 45 ),10890127.000000000000000,10890127.000000000000000
FS( 46 ),10918102.419999998062849,10918102.419999998062849
FS( 47 ),10943534.619999999180436,10943534.619999999180436
FS( 48 ),10885040.559999998658895,10885040.559999998658895
FS( 49 ),10853250.309999998658895,10853250.309999998658895
FS( 50 ),10807472.349999997764826,10807472.349999997764826
FS( 51 ),10803657.519999997690320,10803657.519999997690320
FS( 52 ),10911744.369999999180436,10911744.369999999180436
FS( 53 ),10869781.240000000223517,10869781.240000000223517
FS( 54 ),10859608.359999999403954,10859608.359999999403954
FS( 55 ),10962608.769999997690320,10962608.769999997690320
FS( 56 ),10970238.429999997839332,10970238.429999997839332
FS( 57 ),11004571.900000000372529,11004571.900000000372529
FS( 58 ),11261437.119999999180436,11261437.119999999180436
FS( 59 ),11205486.279999999329448,11205486.279999999329448
FS( 60 ),11192770.179999997839332,11192770.179999997839332
FS( 61 ),11074510.449999999254942,11074510.449999999254942
FS( 62 ),11035090.539999999105930,11035090.539999999105930
FS( 63 ),10996942.240000000223517,10996942.240000000223517
FS( 64 ),10985497.750000000000000,10985497.750000000000000
FS( 65 ),10816373.619999999180436,10816373.619999999180436
