訓練日期,20100308 - 20100608
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11380188.159999998286366
真實報酬,1380188.159999998286366

夏普值報酬,0.129318816000000
夏普值風險,0.057795368352075
夏普值,2.237529056173182

預期報酬,33370.797035392082762
風險,466275.330988817207981
趨勢值,0.071568866756522
找到最佳解世代,2139
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
AAPL[0](1),
Stock#,AAPL[0](1),
張數,319488,
分配資金,10000000.000000000000000,
剩餘資金,25.599999999627471,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10178913.279999999329448,10178913.279999999329448
FS( 3 ),10261980.159999998286366,10261980.159999998286366
FS( 4 ),10290734.080000000074506,10290734.080000000074506
FS( 5 ),10341852.159999998286366,10341852.159999998286366
FS( 6 ),10217251.839999999850988,10217251.839999999850988
FS( 7 ),10242810.880000000819564,10242810.880000000819564
FS( 8 ),10230031.360000001266599,10230031.360000001266599
FS( 9 ),10252395.520000001415610,10252395.520000001415610
FS( 10 ),10143769.599999999627471,10143769.599999999627471
FS( 11 ),10258785.279999999329448,10258785.279999999329448
FS( 12 ),10421724.159999998286366,10421724.159999998286366
FS( 13 ),10469647.360000001266599,10469647.360000001266599
FS( 14 ),10345047.040000000968575,10345047.040000000968575
FS( 15 ),10539934.720000000670552,10539934.720000000670552
FS( 16 ),10607027.200000001117587,10607027.200000001117587
FS( 17 ),10763576.319999998435378,10763576.319999998435378
FS( 18 ),10725237.759999999776483,10725237.759999999776483
FS( 19 ),10769966.080000000074506,10769966.080000000074506
FS( 20 ),10884981.759999999776483,10884981.759999999776483
FS( 21 ),10932904.959999999031425,10932904.959999999031425
FS( 22 ),10980828.159999998286366,10980828.159999998286366
FS( 23 ),10952074.240000000223517,10952074.240000000223517
FS( 24 ),11035141.119999999180436,11035141.119999999180436
FS( 25 ),11057505.279999999329448,11057505.279999999329448
FS( 26 ),11063895.040000000968575,11063895.040000000968575
FS( 27 ),11214054.400000000372529,11214054.400000000372529
FS( 28 ),11361018.880000000819564,11361018.880000000819564
FS( 29 ),11290731.520000001415610,11290731.520000001415610
FS( 30 ),11277951.999999998137355,11277951.999999998137355
FS( 31 ),11162936.319999998435378,11162936.319999998435378
FS( 32 ),11830666.240000000223517,11830666.240000000223517
FS( 33 ),12162933.759999999776483,12162933.759999999776483
FS( 34 ),12361016.319999998435378,12361016.319999998435378
FS( 35 ),12300313.599999999627471,12300313.599999999627471
FS( 36 ),11958461.439999999478459,11958461.439999999478459
FS( 37 ),11939292.159999998286366,11939292.159999998286366
FS( 38 ),12261975.040000000968575,12261975.040000000968575
FS( 39 ),11916927.999999998137355,11916927.999999998137355
FS( 40 ),12156543.999999998137355,12156543.999999998137355
FS( 41 ),11805107.200000001117587,11805107.200000001117587
FS( 42 ),11683701.759999999776483,11683701.759999999776483
FS( 43 ),11239613.439999999478459,11239613.439999999478459
FS( 44 ),10763576.319999998435378,10763576.319999998435378
FS( 45 ),11591050.240000000223517,11591050.240000000223517
FS( 46 ),11709260.799999998882413,11709260.799999998882413
FS( 47 ),11961656.319999998435378,11961656.319999998435378
FS( 48 ),11792327.679999997839332,11792327.679999997839332
FS( 49 ),11584660.479999998584390,11584660.479999998584390
FS( 50 ),11603829.759999999776483,11603829.759999999776483
FS( 51 ),11517567.999999998137355,11517567.999999998137355
FS( 52 ),11335459.839999997988343,11335459.839999997988343
FS( 53 ),10853032.959999999031425,10853032.959999999031425
FS( 54 ),11060700.159999998286366,11060700.159999998286366
FS( 55 ),11261977.599999999627471,11261977.599999999627471
FS( 56 ),11191690.240000000223517,11191690.240000000223517
FS( 57 ),11140572.159999998286366,11140572.159999998286366
FS( 58 ),11562296.319999998435378,11562296.319999998435378
FS( 59 ),11725235.200000001117587,11725235.200000001117587
FS( 60 ),11904148.479999998584390,11904148.479999998584390
FS( 61 ),12047918.080000000074506,12047918.080000000074506
FS( 62 ),12009579.520000001415610,12009579.520000001415610
FS( 63 ),11683701.759999999776483,11683701.759999999776483
FS( 64 ),11453670.400000000372529,11453670.400000000372529
FS( 65 ),11380188.159999998286366,11380188.159999998286366
