訓練日期,20181017 - 20190122
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10803226.000000000000000
真實報酬,803226.000000000000000

夏普值報酬,0.071622600000000
夏普值風險,0.027041612764552
夏普值,2.648606820296121

預期報酬,19657.179159557996172
風險,373996.530844628461637
趨勢值,0.052559790100631
找到最佳解世代,1892
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MRK[17](3),PG[21](1),
Stock#,MRK[17](3),PG[21](1),
張數,69618,61079,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,35.240000000223517,73.059999999590218,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5027151.019999999552965,4901052.019999999552965,9928203.039999999105930
FS( 3 ),5036897.540000000037253,5332269.759999999776483,10369167.300000000745058
FS( 4 ),5052213.500000000000000,5289514.459999999031425,10341727.959999999031425
FS( 5 ),5019493.040000000037253,5323718.699999999254942,10343211.739999998360872
FS( 6 ),4910888.960000000894070,5464200.399999999441206,10375089.359999999403954
FS( 7 ),4870510.519999999552965,5436104.059999999590218,10306614.579999998211861
FS( 8 ),4901142.440000000409782,5366474.000000000000000,10267616.440000001341105
FS( 9 ),4974241.340000000782311,5389684.019999999552965,10363925.359999999403954
FS( 10 ),5073098.900000000372529,5447709.069999999366701,10520807.969999998807907
FS( 11 ),5124616.219999999739230,5416558.780000000260770,10541175.000000000000000
FS( 12 ),5090503.400000000372529,5472140.669999999925494,10562644.070000000298023
FS( 13 ),5031328.099999999627471,5485578.049999999813735,10516906.149999998509884
FS( 14 ),5090503.400000000372529,5570477.859999999403954,10660981.259999999776483
FS( 15 ),5103730.820000000298023,5589412.349999999627471,10693143.169999999925494
FS( 16 ),5226954.679999999701977,5575974.969999999739230,10802929.649999998509884
FS( 17 ),5254801.880000000819564,5580250.500000000000000,10835052.380000000819564
FS( 18 ),5211638.719999999739230,5644383.449999999254942,10856022.169999998062849
FS( 19 ),5199803.660000000149012,5662096.359999999403954,10861900.019999999552965
FS( 20 ),5194234.219999999739230,5709127.189999999478459,10903361.410000000149012
FS( 21 ),5158032.860000000335276,5710348.769999999552965,10868381.629999998956919
FS( 22 ),5210246.360000000335276,5731115.629999999888241,10941361.990000000223517
FS( 23 ),5295180.320000000298023,5730504.839999998919666,11025685.160000000149012
FS( 24 ),5315369.540000000037253,5698132.969999999739230,11013502.509999999776483
FS( 25 ),5206069.280000000260770,5625448.959999999031425,10831518.239999998360872
FS( 26 ),5206765.460000000894070,5583304.449999999254942,10790069.910000000149012
FS( 27 ),5198411.300000000745058,5591244.719999999739230,10789656.019999999552965
FS( 28 ),5252017.160000000149012,5615676.319999999366701,10867693.480000000447035
FS( 29 ),5314673.360000000335276,5663317.939999999478459,10977991.300000000745058
FS( 30 ),5376633.380000000819564,5681030.849999999627471,11057664.230000000447035
FS( 31 ),5423973.620000000111759,5669425.839999998919666,11093399.459999999031425
FS( 32 ),5523527.360000000335276,5772649.349999999627471,11296176.710000000894070
FS( 33 ),5515173.200000000186265,5699965.339999998919666,11215138.539999999105930
FS( 34 ),5444859.019999999552965,5699354.549999999813735,11144213.570000000298023
FS( 35 ),5455997.900000000372529,5714013.509999999776483,11170011.410000000149012
FS( 36 ),5341128.200000000186265,5646826.609999999403954,10987954.809999998658895
FS( 37 ),5389860.800000000745058,5682252.429999999701977,11072113.230000000447035
FS( 38 ),5368279.219999999739230,5736001.949999999254942,11104281.169999998062849
FS( 39 ),5430935.420000000856817,5743331.429999999701977,11174266.850000001490116
FS( 40 ),5500553.420000000856817,5893585.769999999552965,11394139.190000001341105
FS( 41 ),5324419.880000000819564,5902747.619999999180436,11227167.500000000000000
FS( 42 ),5237397.380000000819564,5666371.889999999664724,10903769.269999999552965
FS( 43 ),5174741.179999999701977,5649269.769999999552965,10824010.949999999254942
FS( 44 ),5135755.099999999627471,5604682.099999999627471,10740437.199999999254942
FS( 45 ),5116262.059999999590218,5557040.479999999515712,10673302.539999999105930
FS( 46 ),5075187.440000000409782,5556429.689999999478459,10631617.129999998956919
FS( 47 ),4953355.940000000409782,5335934.500000000000000,10289290.440000001341105
FS( 48 ),5151767.240000000223517,5502680.169999999925494,10654447.410000000149012
FS( 49 ),5247840.080000000074506,5620562.639999999664724,10868402.719999998807907
FS( 50 ),5247143.900000000372529,5569256.280000000260770,10816400.179999999701977
FS( 51 ),5319546.620000000111759,5614454.739999999292195,10934001.359999999403954
FS( 52 ),5262459.860000000335276,5575364.179999999701977,10837824.039999999105930
FS( 53 ),5154551.960000000894070,5536273.619999999180436,10690825.580000000074506
FS( 54 ),5309800.099999999627471,5649269.769999999552965,10959069.869999999180436
FS( 55 ),5251320.980000000447035,5626670.540000000037253,10877991.519999999552965
FS( 56 ),5290307.059999999590218,5647437.399999999441206,10937744.459999999031425
FS( 57 ),5249928.620000000111759,5555208.109999999403954,10805136.730000000447035
FS( 58 ),5185183.880000000819564,5568645.489999999292195,10753829.370000001043081
FS( 59 ),5214423.440000000409782,5605292.889999999664724,10819716.330000000074506
FS( 60 ),5107907.900000000372529,5567423.910000000149012,10675331.810000000521541
FS( 61 ),5186576.240000000223517,5619951.849999999627471,10806528.089999999850988
FS( 62 ),5194234.219999999739230,5580861.290000000037253,10775095.509999999776483
FS( 63 ),5263156.040000000037253,5536273.619999999180436,10799429.660000000149012
FS( 64 ),5281952.900000000372529,5583915.239999999292195,10865868.140000000596046
FS( 65 ),5279168.179999999701977,5524057.819999999366701,10803226.000000000000000
