訓練日期,20100319 - 20100621
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12157476.000000000000000
真實報酬,2157476.000000000000000

夏普值報酬,0.207047600000000
夏普值風險,0.050674474713083
夏普值,4.085836136877486

預期報酬,33461.923390807663964
風險,532987.378740304731764
趨勢值,0.062781830725323
找到最佳解世代,2021
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
AAPL[0](1),
Stock#,AAPL[0](1),
張數,314960,
分配資金,10000000.000000000000000,
剩餘資金,20.000000000000000,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10113385.599999999627471,10113385.599999999627471
FS( 3 ),10274015.199999999254942,10274015.199999999254942
FS( 4 ),10321259.200000001117587,10321259.200000001117587
FS( 5 ),10198424.800000000745058,10198424.800000000745058
FS( 6 ),10390550.400000000372529,10390550.400000000372529
FS( 7 ),10456692.000000000000000,10456692.000000000000000
FS( 8 ),10611022.399999998509884,10611022.399999998509884
FS( 9 ),10573227.199999999254942,10573227.199999999254942
FS( 10 ),10617321.599999999627471,10617321.599999999627471
FS( 11 ),10730707.199999999254942,10730707.199999999254942
FS( 12 ),10777951.199999999254942,10777951.199999999254942
FS( 13 ),10825195.199999999254942,10825195.199999999254942
FS( 14 ),10796848.800000000745058,10796848.800000000745058
FS( 15 ),10878738.400000000372529,10878738.400000000372529
FS( 16 ),10900785.599999999627471,10900785.599999999627471
FS( 17 ),10907084.800000000745058,10907084.800000000745058
FS( 18 ),11055116.000000000000000,11055116.000000000000000
FS( 19 ),11199997.600000001490116,11199997.600000001490116
FS( 20 ),11130706.400000000372529,11130706.400000000372529
FS( 21 ),11118108.000000000000000,11118108.000000000000000
FS( 22 ),11004722.399999998509884,11004722.399999998509884
FS( 23 ),11662988.800000000745058,11662988.800000000745058
FS( 24 ),11990547.199999999254942,11990547.199999999254942
FS( 25 ),12185822.399999998509884,12185822.399999998509884
FS( 26 ),12125980.000000000000000,12125980.000000000000000
FS( 27 ),11788972.800000000745058,11788972.800000000745058
FS( 28 ),11770075.199999999254942,11770075.199999999254942
FS( 29 ),12088184.800000000745058,12088184.800000000745058
FS( 30 ),11748028.000000000000000,11748028.000000000000000
FS( 31 ),11984248.000000000000000,11984248.000000000000000
FS( 32 ),11637792.000000000000000,11637792.000000000000000
FS( 33 ),11518107.199999999254942,11518107.199999999254942
FS( 34 ),11080312.800000000745058,11080312.800000000745058
FS( 35 ),10611022.399999998509884,10611022.399999998509884
FS( 36 ),11426768.800000000745058,11426768.800000000745058
FS( 37 ),11543304.000000000000000,11543304.000000000000000
FS( 38 ),11792122.399999998509884,11792122.399999998509884
FS( 39 ),11625193.599999999627471,11625193.599999999627471
FS( 40 ),11420469.599999999627471,11420469.599999999627471
FS( 41 ),11439367.199999999254942,11439367.199999999254942
FS( 42 ),11354328.000000000000000,11354328.000000000000000
FS( 43 ),11174800.799999998882413,11174800.799999998882413
FS( 44 ),10699211.199999999254942,10699211.199999999254942
FS( 45 ),10903935.199999999254942,10903935.199999999254942
FS( 46 ),11102360.000000000000000,11102360.000000000000000
FS( 47 ),11033068.800000000745058,11033068.800000000745058
FS( 48 ),10982675.199999999254942,10982675.199999999254942
FS( 49 ),11398422.399999998509884,11398422.399999998509884
FS( 50 ),11559052.000000000000000,11559052.000000000000000
FS( 51 ),11735429.599999999627471,11735429.599999999627471
FS( 52 ),11877161.599999999627471,11877161.599999999627471
FS( 53 ),11839366.400000000372529,11839366.400000000372529
FS( 54 ),11518107.199999999254942,11518107.199999999254942
FS( 55 ),11291336.000000000000000,11291336.000000000000000
FS( 56 ),11218895.199999999254942,11218895.199999999254942
FS( 57 ),10941730.400000000372529,10941730.400000000372529
FS( 58 ),11272438.400000000372529,11272438.400000000372529
FS( 59 ),11407871.199999999254942,11407871.199999999254942
FS( 60 ),11442516.799999998882413,11442516.799999998882413
FS( 61 ),11685036.000000000000000,11685036.000000000000000
FS( 62 ),12025192.800000000745058,12025192.800000000745058
FS( 63 ),12233066.400000000372529,12233066.400000000372529
FS( 64 ),12330704.000000000000000,12330704.000000000000000
FS( 65 ),12157476.000000000000000,12157476.000000000000000
